,season,team,league,sequenceNumber,timeOnIce,assists,goals,pim,games,powerPlayTimeOnIce,evenTimeOnIce,penaltyMinutes,faceOffPct,shortHandedTimeOnIce,points,shifts,powerPlayGoals,shortHandedGoals,plusMinus,gameWinningGoals,shots,hits,powerPlayPoints,shotPct,overTimeGoals,shortHandedPoints,blocked
0,20042005,Lon. Jr. Knights,Minor-ON,1,00:00,30,19,31,55,00:00,00:00,31,0.0,00:00,49,0.0,,,,,,,,,,,
0,20052006,Guelph,OHL,1,,28,5,40,65,,,40,0.0,,33,,4.0,0.0,-11.0,,,,,,,,
0,20062007,Guelph,OHL,1,,53,21,76,67,,,76,0.0,,74,,15.0,1.0,7.0,,,,,,,,
0,20062007,Canada,WJ18-A,3,00:00,3,2,8,6,00:00,00:00,8,0.0,00:00,5,0.0,,,,,,,,,,,
0,20072008,Guelph,OHL,1,,37,13,68,58,,,68,,,50,,9.0,0.0,-1.0,,,,,,,,
0,20072008,Canada,WJC-A,2,,4,0,0,7,,,0,,,4,,0.0,0.0,0.0,0.0,,,,,,,
0,20082009,Los Angeles Kings,National Hockey League,1,1930:07,21,6,56,81,293:37,1395:29,56,0.0,241:01,27,2237.0,3.0,0.0,-17.0,1.0,126.0,90.0,16.0,4.76,0.0,0.0,114.0
0,20082009,Canada,WC-A,2,,6,1,4,9,,,4,0.0,,7,,,,,,,,,,,,
0,20092010,Los Angeles Kings,National Hockey League,1,2047:57,43,16,54,82,362:35,1519:51,54,0.0,165:31,59,2165.0,9.0,0.0,20.0,5.0,142.0,157.0,31.0,11.27,1.0,0.0,76.0
0,20092010,Canada,Olympics,3,,2,0,2,7,,,2,0.0,,2,,,,,,,,,,,,
0,20102011,Los Angeles Kings,National Hockey League,1,1948:52,29,11,68,76,317:20,1476:28,68,0.0,155:04,40,2127.0,5.0,0.0,13.0,3.0,139.0,137.0,15.0,7.91,0.0,0.0,101.0
0,20112012,Los Angeles Kings,National Hockey League,1,1917:15,26,10,69,77,285:46,1455:39,69,0.0,175:50,36,2195.0,3.0,0.0,-2.0,3.0,168.0,124.0,13.0,5.95,1.0,0.0,70.0
0,20122013,Los Angeles Kings,National Hockey League,1,1266:56,16,6,36,48,146:42,1017:01,36,0.0,103:13,22,1544.0,3.0,0.0,4.0,0.0,114.0,128.0,10.0,5.26,0.0,0.0,46.0
0,20132014,Los Angeles Kings,National Hockey League,1,2005:35,27,10,64,78,303:48,1499:03,64,0.0,202:44,37,2449.0,6.0,0.0,17.0,2.0,177.0,180.0,16.0,5.65,0.0,1.0,91.0
0,20132014,Canada,Olympics,2,,2,4,0,6,,,0,,,6,,1.0,0.0,4.0,1.0,15.0,,,,,,
0,20142015,Los Angeles Kings,National Hockey League,1,2377:40,39,7,56,82,282:11,1878:18,56,0.0,217:11,46,2674.0,1.0,0.0,3.0,2.0,219.0,152.0,17.0,3.2,0.0,1.0,144.0
0,20152016,Los Angeles Kings,National Hockey League,1,2297:28,37,14,52,82,251:06,1805:14,52,0.0,241:08,51,2730.0,9.0,1.0,24.0,3.0,197.0,125.0,24.0,7.11,0.0,2.0,105.0
0,20162017,Los Angeles Kings,National Hockey League,1,2225:50,32,12,46,82,269:39,1745:28,46,100.0,210:43,44,2657.0,5.0,0.0,8.0,1.0,181.0,129.0,19.0,6.63,1.0,1.0,109.0
0,20162017,Canada,WCup,17216,,2,0,2,6,,,2,,,2,,,,5.0,,,,,,,,
0,20172018,Los Angeles Kings,National Hockey League,1,2200:31,50,10,54,82,258:35,1715:59,54,0.0,225:57,60,2511.0,3.0,1.0,23.0,4.0,205.0,127.0,20.0,4.88,1.0,1.0,128.0
0,20182019,Los Angeles Kings,National Hockey League,1,2180:48,37,8,44,82,240:20,1739:15,44,0.0,201:13,45,2393.0,7.0,0.0,-34.0,1.0,154.0,168.0,24.0,5.19,1.0,1.0,120.0
0,20192020,Los Angeles Kings,National Hockey League,1,1730:11,28,7,36,67,208:31,1380:20,36,0.0,141:20,35,1831.0,5.0,0.0,-16.0,2.0,141.0,106.0,14.0,5.0,2.0,1.0,87.0
0,20202021,Los Angeles Kings,National Hockey League,1,1477:20,26,8,26,56,186:12,1173:55,26,0.0,117:13,34,1523.0,6.0,0.0,-14.0,0.0,101.0,91.0,18.0,7.9,0.0,1.0,83.0
0,20212022,Los Angeles Kings,National Hockey League,1,1003:50,24,7,30,39,122:22,803:15,30,0.0,78:13,31,1031.0,4.0,0.0,4.0,1.0,99.0,60.0,13.0,7.1,0.0,0.0,53.0
