,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus
0,20142015,Los Angeles Jr. Kings U13 AAA,T1EMBHL,175570,0,0,0.0,1,0,0,
0,20152016,Shattuck St. Mary's 14U AAA,14U AAA,91408,28,6,14.0,46,14,34,
0,20152016,MN Kings 15U AAA,MNBEL 14U,259418,2,0,,6,,2,
0,20162017,Shattuck St. Mary's 16U AAA,16U AAA,108235,31,6,30.0,52,30,37,
0,20162017,Team Royal,USA-S15,178263,0,0,,3,,0,
0,20172018,U.S. National U17 Team,USDP,19734,35,5,28.0,61,28,40,
0,20172018,USNTDP Juniors,USHL,52486,16,2,14.0,34,14,18,1.0
0,20172018,USA U17,WHC-17,61270,0,1,4.0,6,4,1,
0,20182019,USA U18,WJC-18,17253,3,0,0.0,7,0,3,5.0
0,20182019,U.S. National U18 Team,USDP,19564,18,5,28.0,64,28,23,
0,20182019,USNTDP Juniors,USHL,52486,7,4,18.0,28,18,11,16.0
0,20192020,Boston College,NCAA,9670,5,1,12.0,28,12,6,12.0
0,20202021,Boston College,NCAA,9670,11,4,8.0,22,8,15,23.0
0,20202021,USA U20,WJC-20,17276,2,2,2.0,7,2,4,9.0
0,20212022,Boston College,NCAA,9670,21,4,30.0,32,30,25,-9.0
0,20212022,USA,OG,16972,1,0,0.0,3,0,1,1.0
0,20212022,San Diego Gulls,AHL,85177,2,0,4.0,17,4,2,-14.0
