,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,timeOnIce,shots,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20112012,Nanaimo Clippers Bantam A1,VIBHL,140985,10,6,6,38,6,0.0,16,,,,,,,,,,,,,,,,
0,20122013,Nanaimo Clippers Bantam A1,VIBHL,140985,22,18,72,34,72,0.0,40,,,,,,,,,,,,,,,,
0,20132014,Nanaimo Clippers,BCHL,20814,0,0,0,2,0,,0,,,,,,,,,,,,,,,,
0,20132014,North Island Silvertips U18 AAA,BC U18,55352,17,2,52,39,52,,19,,,,,,,,,,,,,,,,
0,20132014,Team British Columbia,WCCC-16,113403,0,0,4,4,4,,0,,,,,,,,,,,,,,,,
0,20142015,Tri-City Americans,WHL,8496,3,2,16,55,16,-9.0,5,,,,,,,,,,,,,,,,
0,20152016,Tri-City Americans,WHL,9481,20,4,39,70,39,5.0,24,,,,,,,,,,,,,,,,
0,20162017,Tri-City Americans,WHL,9481,38,15,26,71,26,17.0,53,,,,,,,,,,,,,,,,
0,20172018,Tri-City Americans,WHL,9481,46,17,65,69,65,-5.0,63,,,,,,,,,,,,,,,,
0,20182019,Chicago Wolves,AHL,957,25,15,22,66,22,4.0,40,,,,,,,,,,,,,,,,
0,20192020,Chicago Wolves,AHL,957,13,11,14,60,14,-9.0,24,,,,,,,,,,,,,,,,
0,20202021,Vegas Golden Knights,National Hockey League,1,3,3,2,29,2,-3.0,6,391:09,31.0,29.0,0.0,0.0,12:54,376:03,0.0,9.7,0.0,0.0,0.0,0.0,02:12,16.0,501.0
0,20212022,Vegas Golden Knights,National Hockey League,1,10,3,18,59,18,-5.0,13,837:49,108.0,62.0,2.0,4.0,61:12,760:05,0.0,2.8,1.0,0.0,0.0,0.0,16:32,61.0,1091.0
