,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,powerPlayGoals,gameWinningGoals,shortHandedGoals,plusMinus,shots,shotPct,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20082009,Lon. Jr. Knights,Minor-ON,1,34,11,46,74,46,45,,,,,,,,,,,,,,,,,
0,20092010,Mississauga,OJAHL,1,20,9,24,36,24,29,4.0,0.0,0.0,,,,,,,,,,,,,,
0,20092010,St. Michael's,OHL,2,1,0,12,20,12,1,0.0,0.0,0.0,3.0,,,,,,,,,,,,,
0,20102011,St. Michael's,OHL,1,24,3,70,67,70,27,3.0,,0.0,31.0,,,,,,,,,,,,,
0,20112012,St. Michael's,OHL,1,40,7,70,67,70,47,4.0,,1.0,9.0,,,,,,,,,,,,,
0,20112012,Worcester,AHL,2,1,0,2,4,2,1,0.0,0.0,0.0,3.0,6.0,0.0,,,,,,,,,,,
0,20122013,Mississauga,OHL,1,35,15,68,64,68,50,7.0,,0.0,-9.0,,,,,,,,,,,,,
0,20122013,Worcester,AHL,2,4,0,6,10,6,4,0.0,0.0,0.0,-1.0,9.0,0.0,,,,,,,,,,,
0,20132014,Worcester,AHL,1,22,2,51,68,51,24,1.0,0.0,0.0,-17.0,105.0,1.9,,,,,,,,,,,
0,20142015,Worcester,AHL,1,17,5,32,65,32,22,3.0,2.0,0.0,-7.0,89.0,5.6,,,,,,,,,,,
0,20152016,San Jose Sharks,National Hockey League,1,2,2,14,45,14,4,2.0,0.0,0.0,0.0,42.0,4.76,612:49,39.0,4.0,49:34,557:26,0.0,0.0,0.0,05:49,35.0,830.0
0,20152016,San Jose,AHL,2,6,0,2,15,2,6,0.0,0.0,0.0,0.0,23.0,0.0,,,,,,,,,,,
0,20152016,San Jose Barracuda,AHL,187427,6,0,2,15,2,6,,,,0.0,,,,,,,,,,,,,
0,20162017,San Jose Sharks,National Hockey League,1,7,1,14,25,14,8,0.0,0.0,0.0,2.0,32.0,3.13,397:19,36.0,0.0,33:05,355:49,0.0,0.0,0.0,08:25,32.0,537.0
0,20172018,San Jose Sharks,National Hockey League,1,20,0,34,63,34,20,0.0,0.0,0.0,-1.0,67.0,0.0,894:58,75.0,3.0,28:48,848:17,0.0,0.0,0.0,17:53,70.0,1245.0
0,20182019,Ottawa Senators,National Hockey League,1,18,4,32,77,32,22,0.0,0.0,0.0,-1.0,109.0,3.67,1484:53,121.0,3.0,36:37,1320:19,0.0,0.0,1.0,127:57,130.0,1972.0
0,20192020,Ottawa Senators,National Hockey League,1,10,0,31,49,31,10,0.0,0.0,0.0,3.0,64.0,0.0,976:04,94.0,0.0,41:16,819:07,0.0,0.0,2.0,115:41,63.0,1265.0
0,20192020,Winnipeg Jets,National Hockey League,2,0,0,6,10,6,0,0.0,0.0,0.0,1.0,10.0,0.0,212:22,11.0,0.0,03:57,189:32,0.0,0.0,0.0,18:53,14.0,252.0
0,20202021,Winnipeg Jets,National Hockey League,1,9,0,20,52,20,9,0.0,0.0,0.0,10.0,44.0,0.0,882:29,76.0,0.0,01:00,746:29,0.0,0.0,1.0,135:00,58.0,1113.0
0,20212022,Winnipeg Jets,National Hockey League,1,12,1,28,76,28,13,0.0,0.0,1.0,10.0,78.0,1.3,1405:56,113.0,0.0,01:42,1205:23,0.0,0.0,2.0,198:51,108.0,1764.0
