,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,shots,powerPlayGoals,shotPct,gameWinningGoals,shortHandedGoals,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20092010,Belle Tire Bantam Minor AAA,T1EMBHL,168360,35,17,22,31,22,0.0,52,,,,,,,,,,,,,,,,
0,20102011,Belle Tire Bantam Major AAA,T1EBHL,122819,24,23,41,30,41,0.0,47,,,,,,,,,,,,,,,,
0,20112012,Det. Belle Tire,T1EHL,1,18,18,24,25,24,,36,,,,,,,,,,,,,,,,
0,20122013,USNTDP,USHL,1,7,7,40,37,40,-21.0,14,91.0,1.0,7.7,0.0,0.0,,,,,,,,,,,
0,20122013,USNTDP,U-17,2,7,6,14,18,14,,13,,,,,,,,,,,,,,,,
0,20132014,USNTDP,USHL,1,9,17,24,26,24,13.0,26,113.0,2.0,15.0,1.0,0.0,,,,,,,,,,,
0,20132014,USNTDP,U-18,2,17,14,32,34,32,,31,,,,,,,,,,,,,,,,
0,20132014,U.S.A.,WJ18-A,4,2,2,2,6,2,3.0,4,24.0,0.0,,0.0,0.0,,,,,,,,,,,
0,20142015,U. of Michigan,Big Ten,1,32,15,38,35,38,,47,,6.0,,3.0,0.0,,,,,,,,,,,
0,20142015,U.S.A.,WJC-A,2,2,5,4,5,4,7.0,7,24.0,0.0,,0.0,0.0,,,,,,,,,,,
0,20142015,U.S.A.,WC-A,4,1,0,6,10,6,-2.0,1,17.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
0,20152016,Detroit Red Wings,National Hockey League,1,22,23,34,80,34,11.0,45,221.0,4.0,10.41,5.0,0.0,1323:32,65.0,5.0,163:26,1151:41,41.0,0.0,0.0,08:25,25.0,1755.0
0,20152016,U.S.A.,WC-A,2,7,2,8,10,8,3.0,9,32.0,1.0,,0.0,0.0,,,,,,,,,,,
0,20152016,USA,WC,17215,7,2,8,10,8,3.0,9,,,,,,,,,,,,,,,,
0,20162017,Detroit Red Wings,National Hockey League,1,15,17,37,80,37,-28.0,32,178.0,5.0,9.55,1.0,1.0,1292:14,67.0,7.0,149:56,1115:08,45.37,0.0,1.0,27:10,22.0,1715.0
0,20162017,USA,WC,17215,8,2,6,8,6,7.0,10,,,,,,,,,,,,,,,,
0,20162017,Team North America,WCup,176776,1,0,2,2,2,-1.0,1,,,,,,,,,,,,,,,,
0,20172018,Detroit Red Wings,National Hockey League,1,47,16,61,82,61,-9.0,63,232.0,1.0,6.9,4.0,2.0,1627:10,76.0,8.0,177:35,1286:42,49.92,0.0,3.0,162:53,42.0,2076.0
0,20172018,USA,WC,17215,6,3,8,10,8,6.0,9,,,,,,,,,,,,,,,,
0,20182019,Detroit Red Wings,National Hockey League,1,41,32,75,76,75,-6.0,73,287.0,7.0,11.15,4.0,2.0,1660:00,80.0,15.0,185:53,1374:25,54.51,4.0,3.0,99:42,38.0,1973.0
0,20182019,USA,WC,17215,2,3,4,7,4,1.0,5,,,,,,,,,,,,,,,,
0,20192020,Detroit Red Wings,National Hockey League,1,34,19,39,71,39,-21.0,53,223.0,5.0,8.5,0.0,0.0,1508:41,52.0,14.0,229:11,1226:22,52.42,0.0,0.0,53:08,45.0,1702.0
0,20202021,Detroit Red Wings,National Hockey League,1,14,9,34,44,34,-14.0,23,134.0,1.0,6.7,0.0,0.0,897:42,38.0,6.0,122:08,761:39,49.45,0.0,0.0,13:55,17.0,979.0
0,20212022,Detroit Red Wings,National Hockey League,1,38,31,47,71,47,-18.0,69,212.0,6.0,14.6,4.0,0.0,1395:40,76.0,13.0,203:19,1156:23,52.33,3.0,1.0,35:58,28.0,1520.0
