,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,powerPlayGoals,gameWinningGoals,shortHandedGoals,plusMinus,shots,shotPct,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20102011,Pursuit of Ex. H.A.,High-BC,1,33,8,30,51,30,41,,,,,,,,,,,,,,,,,
0,20112012,Pursuit of Ex. Acad.,NAPHL,1,1,3,12,17,12,4,,,,,,,,,,,,,,,,,
0,20112012,Vic. Cougars,VIJHL,2,1,0,0,1,0,1,,,,,,,,,,,,,,,,,
0,20122013,Edmonton,WHL,1,4,1,12,42,12,5,0.0,0.0,0.0,-3.0,,,,,,,,,,,,,
0,20132014,Edmonton,WHL,1,28,7,50,63,50,35,1.0,1.0,0.0,17.0,,,,,,,,,,,,,
0,20142015,Edmonton,WHL,1,37,14,75,72,75,51,5.0,0.0,0.0,14.0,,,,,,,,,,,,,
0,20152016,Edmonton,WHL,1,37,6,86,71,86,43,2.0,,0.0,0.0,,,,,,,,,,,,,
0,20152016,Springfield,AHL,2,1,0,2,5,2,1,0.0,0.0,0.0,-4.0,8.0,0.0,,,,,,,,,,,
0,20152016,Springfield Falcons,AHL,927,1,0,2,5,2,1,,,,-4.0,,,,,,,,,,,,,
0,20152016,Edmonton Oil Kings,WHL,18851,37,6,86,71,86,43,,,,0.0,,,,,,,,,,,,,
0,20162017,Rapid City Rush,ECHL,27275,15,1,4,25,4,16,,,,-8.0,,,,,,,,,,,,,
0,20162017,Tucson Roadrunners,AHL,218897,2,1,0,25,0,3,,,,-8.0,,,,,,,,,,,,,
0,20172018,Tucson Roadrunners,AHL,218897,11,5,45,66,45,16,,,,7.0,,,,,,,,,,,,,
0,20182019,Tucson Roadrunners,AHL,218897,4,2,46,67,46,6,,,,-3.0,,,,,,,,,,,,,
0,20192020,Tucson Roadrunners,AHL,218897,8,4,34,58,34,12,,,,24.0,,,,,,,,,,,,,
0,20202021,Tucson Roadrunners,AHL,218897,3,1,22,35,22,4,,,,-7.0,,,,,,,,,,,,,
0,20212022,Arizona Coyotes,National Hockey League,1,8,4,27,67,27,12,0.0,0.0,0.0,-22.0,76.0,5.3,1401:22,129.0,0.0,04:07,1198:56,0.0,0.0,0.0,198:19,133.0,1728.0
0,20212022,Canada,WC,17155,1,1,2,10,2,2,,,,8.0,,,,,,,,,,,,,
0,20212022,Tucson Roadrunners,AHL,218897,0,0,2,2,2,0,,,,-1.0,,,,,,,,,,,,,
