,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,timeOnIce,shots,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,plusMinus,shifts
0,20082009,Gästrikland,Rikspucken,11838,4,2,0,6,0,6,,,,,,,,,,,,,,,,,
0,20092010,Brynas U18,Swe-U18,1,6,4,0,9,0,10,,,,,,,,,,,,,,,,,
0,20102011,Brynas U18,Swe-U18,1,44,17,32,40,32,61,,,,,,,,,,,,,,,,,
0,20102011,Brynas Jr.,Swe-Jr.,2,0,0,0,2,0,0,,,,,,,,,,,,,,,,,
0,20112012,Brynas U18,Swe-U18,1,6,1,0,4,0,7,,,,,,,,,,,,,,,,,
0,20112012,Brynas Jr.,Swe-Jr.,2,35,14,45,36,45,49,,,,,,,,,,,,,,,,,
0,20112012,Brynas,Sweden,3,0,0,0,12,0,0,,,,,,,,,,,,,,,,,
0,20122013,Brynas,Sweden,1,19,11,2,48,2,30,,,,,,,,,,,,,,,,,
0,20132014,Carolina Hurricanes,National Hockey League,1,12,9,4,58,4,21,842:30,70.0,51.0,4.0,7.0,145:16,694:04,46.29,12.86,2.0,0.0,0.0,0.0,03:10,17.0,-14.0,1162.0
0,20132014,Sweden,Olympics,2,7,2,6,6,6,9,,14.0,,2.0,,,,,,0.0,,0.0,,,,-1.0,
0,20132014,Charlotte Checkers,AHL,2357,2,1,4,6,4,3,,,,,,,,,,,,,,,,-4.0,
0,20142015,Carolina Hurricanes,National Hockey League,1,22,17,14,81,14,39,1330:18,170.0,106.0,4.0,15.0,203:16,1123:47,52.27,10.0,4.0,1.0,0.0,0.0,03:15,30.0,-23.0,1815.0
0,20142015,Sweden,WC-A,2,4,2,6,8,6,6,,13.0,,0.0,,,,,,0.0,,0.0,,,,0.0,
0,20152016,Carolina Hurricanes,National Hockey League,1,28,11,24,82,24,39,1485:08,176.0,112.0,2.0,16.0,212:51,1205:20,49.08,6.25,3.0,0.0,0.0,0.0,66:57,45.0,-23.0,2005.0
0,20162017,Carolina Hurricanes,National Hockey League,1,34,11,16,72,16,45,1309:03,151.0,99.0,2.0,11.0,158:47,1061:17,55.59,7.28,0.0,0.0,1.0,5.0,88:59,43.0,-2.0,1743.0
0,20162017,Sweden,WC,6815,2,5,10,10,10,7,,,,,,,,,,,,,,,,4.0,
0,20162017,Sweden,EHT,89816,0,1,2,3,2,1,,,,,,,,,,,,,,,,-1.0,
0,20172018,Carolina Hurricanes,National Hockey League,1,28,16,18,81,18,44,1449:19,153.0,98.0,6.0,9.0,212:16,1128:14,54.48,10.46,4.0,1.0,0.0,1.0,108:49,41.0,-8.0,1924.0
0,20182019,Calgary Flames,National Hockey League,1,51,27,20,81,20,78,1623:07,182.0,82.0,9.0,26.0,259:07,1178:22,54.32,14.84,5.0,0.0,1.0,4.0,185:38,39.0,30.0,2062.0
0,20182019,Sweden,WC,6815,5,1,2,8,2,6,,,,,,,,,,,,,,,,2.0,
0,20182019,Sweden,EHT,89816,0,1,0,2,0,1,,,,,,,,,,,,,,,,-1.0,
0,20192020,Calgary Flames,National Hockey League,1,25,29,22,70,22,54,1380:30,169.0,93.0,8.0,19.0,198:06,1035:48,49.31,17.2,7.0,1.0,0.0,0.0,146:36,41.0,-8.0,1754.0
0,20202021,Calgary Flames,National Hockey League,1,28,19,22,56,22,47,1114:06,130.0,53.0,6.0,16.0,177:35,803:48,51.36,14.6,4.0,1.0,0.0,1.0,132:43,34.0,10.0,1430.0
0,20212022,Calgary Flames,National Hockey League,1,40,42,22,82,22,82,1635:29,235.0,66.0,10.0,19.0,236:39,1224:50,52.89,17.9,9.0,2.0,1.0,2.0,174:00,52.0,61.0,2077.0
