,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus,timeOnIce,shots,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20092010,Philadelphia Flyers Elite 14UAAA,AYHL 14U,142570,18,8,14,37,14,26,,,,,,,,,,,,,,,,,
0,20112012,Virtua Hockey 16U,T1EHL U16,103898,10,6,8,40,8,16,,,,,,,,,,,,,,,,,
0,20122013,Virtua Hockey 18U,T1EHL U18,103887,26,16,0,40,0,42,,,,,,,,,,,,,,,,,
0,20132014,Dubuque Fighting Saints,USHL,11658,16,8,24,50,24,24,-1.0,,,,,,,,,,,,,,,,
0,20142015,Princeton Univ.,NCAA,15580,2,2,8,27,8,4,-17.0,,,,,,,,,,,,,,,,
0,20152016,Princeton Univ.,NCAA,16070,4,7,10,31,10,11,-13.0,,,,,,,,,,,,,,,,
0,20162017,Princeton Univ.,NCAA,16070,8,13,12,34,12,21,-3.0,,,,,,,,,,,,,,,,
0,20172018,Columbus Blue Jackets,National Hockey League,1,0,0,0,1,0,0,1.0,11:21,2.0,0.0,0.0,0.0,00:16,11:05,0.0,0.0,0.0,0.0,0.0,0.0,00:00,0.0,14.0
0,20172018,Princeton Univ.,NCAA,16070,14,17,44,36,44,31,4.0,,,,,,,,,,,,,,,,
0,20182019,Columbus Blue Jackets,National Hockey League,1,0,0,0,13,0,0,-4.0,153:50,18.0,24.0,0.0,0.0,01:15,152:35,0.0,0.0,0.0,0.0,0.0,0.0,00:00,1.0,197.0
0,20182019,Cleveland Monsters,AHL,22447,12,12,15,45,15,24,3.0,,,,,,,,,,,,,,,,
0,20192020,Columbus Blue Jackets,National Hockey League,1,5,7,12,50,12,12,10.0,547:32,69.0,79.0,0.0,0.0,01:39,545:53,36.36,10.1,3.0,0.0,0.0,0.0,00:00,15.0,774.0
0,20192020,Cleveland Monsters,AHL,22447,2,3,6,14,6,5,2.0,,,,,,,,,,,,,,,,
0,20202021,Columbus Blue Jackets,National Hockey League,1,10,8,4,56,4,18,6.0,694:04,75.0,94.0,0.0,0.0,02:03,636:51,50.0,10.7,2.0,0.0,1.0,1.0,55:10,16.0,943.0
0,20202021,USA,WC,17215,3,0,2,10,2,3,1.0,,,,,,,,,,,,,,,,
0,20212022,Columbus Blue Jackets,National Hockey League,1,17,10,18,67,18,27,-1.0,930:46,104.0,95.0,0.0,0.0,02:03,773:13,50.0,9.6,1.0,0.0,2.0,2.0,155:30,20.0,1275.0
