,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,timeOnIce,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shortHandedTimeOnIce,shifts,powerPlayGoals,gameWinningGoals,shortHandedGoals,plusMinus,shots,hits,powerPlayPoints,shotPct,overTimeGoals,shortHandedPoints,blocked
0,20022003,Academy of Holy Angels,USHS-MN,47178,9,2,20.0,31,20,11,,,,,,,,,,,,,,,,,
0,20032004,Holy Angels,High-MN,1,21,13,,31,,34,00:00,00:00,00:00,0.0,00:00,0.0,,,,,,,,,,,
0,20042005,USNTDP,U-17,1,9,5,14.0,26,14,14,00:00,00:00,00:00,0.0,00:00,0.0,,,,,,,,,,,
0,20042005,USNTDP,NAHL,2,6,6,12.0,31,12,12,00:00,00:00,00:00,0.0,00:00,0.0,3.0,0.0,0.0,0.0,,,,,,,
0,20042005,United States,WJ18-A,4,0,0,0.0,6,0,0,,,,0.0,,,,,,,,,,,,,
0,20052006,USNTDP,U-18,1,22,12,78.0,36,78,34,00:00,00:00,00:00,0.0,00:00,0.0,,,,,,,,,,,
0,20052006,USNTDP,NAHL,2,11,4,10.0,11,10,15,00:00,00:00,00:00,0.0,00:00,0.0,4.0,1.0,0.0,,,,,,,,
0,20052006,United States,WJ18-A,3,6,4,27.0,6,27,10,,,,0.0,,,,,,,,,,,,,
0,20062007,U. Of Minnesota,WCHA,1,20,4,50.0,41,50,24,,,,,,,,,,,,,,,,,
0,20062007,United States,WJC-A,2,6,4,16.0,7,16,10,,,,,,,,,,,,,,,,,
0,20062007,United States,WC-A,3,2,0,4.0,7,4,2,,,,,,,,,,,,,,,,,
0,20072008,St. Louis Blues,National Hockey League,1,28,5,28.0,69,28,33,1254:54,258:05,978:35,0.0,18:14,1548.0,4.0,3.0,0.0,-9.0,105.0,87.0,18.0,4.76,0.0,0.0,64.0
0,20072008,Peoria,AHL,2,0,0,2.0,1,2,0,,,,,,,0.0,,0.0,1.0,,,,,,,
0,20092010,St. Louis Blues,National Hockey League,1,29,10,79.0,79,79,39,1693:55,256:47,1374:05,0.0,63:03,2248.0,6.0,2.0,0.0,1.0,186.0,70.0,15.0,5.38,2.0,0.0,77.0
0,20092010,U.S.A.,Olympics,3,0,1,4.0,6,4,1,,,,0.0,,,,,,,,,,,,,
0,20102011,St. Louis Blues,National Hockey League,1,14,5,37.0,55,37,19,1217:08,141:34,938:51,0.0,136:43,1573.0,1.0,2.0,1.0,-8.0,108.0,67.0,5.0,4.63,1.0,1.0,92.0
0,20102011,Colorado Avalanche,National Hockey League,2,7,3,19.0,22,19,10,540:10,68:16,420:29,0.0,51:25,674.0,2.0,0.0,0.0,-5.0,53.0,32.0,5.0,5.66,0.0,1.0,41.0
0,20112012,Colorado Avalanche,National Hockey League,1,22,4,26.0,73,26,26,1521:24,169:10,1237:22,0.0,114:52,1996.0,1.0,1.0,0.0,-7.0,155.0,123.0,12.0,2.58,0.0,0.0,94.0
0,20122013,Colorado Avalanche,National Hockey League,1,4,0,18.0,31,18,4,643:22,58:28,511:03,0.0,73:51,876.0,0.0,0.0,0.0,-3.0,64.0,44.0,0.0,0.0,0.0,0.0,58.0
0,20122013,U.S.A.,WC-A,2,2,2,20.0,10,20,4,,,,,,,1.0,0.0,0.0,5.0,,,,,,,
0,20132014,Colorado Avalanche,National Hockey League,1,30,9,61.0,80,61,39,1840:33,211:41,1548:24,0.0,80:28,2258.0,2.0,2.0,0.0,5.0,157.0,136.0,14.0,5.73,0.0,0.0,130.0
0,20142015,Colorado Avalanche,National Hockey League,1,11,12,33.0,47,33,23,1147:43,124:07,906:35,0.0,117:01,1455.0,3.0,2.0,0.0,2.0,115.0,93.0,6.0,10.43,0.0,1.0,107.0
0,20152016,Colorado Avalanche,National Hockey League,1,16,11,50.0,73,50,27,1711:18,149:21,1336:12,0.0,225:45,2102.0,3.0,0.0,2.0,-19.0,175.0,126.0,6.0,6.29,0.0,3.0,197.0
0,20162017,Colorado Avalanche,National Hockey League,1,15,2,9.0,46,9,17,1015:45,96:38,788:55,0.0,130:12,1351.0,0.0,1.0,0.0,-6.0,96.0,87.0,6.0,2.08,1.0,0.0,98.0
0,20162017,USA,WCup,17286,0,0,2.0,2,2,0,,,,,,,,,,-2.0,,,,,,,
0,20172018,Colorado Avalanche,National Hockey League,1,16,9,58.0,62,58,25,1577:03,109:56,1239:29,0.0,227:38,1901.0,0.0,3.0,0.0,3.0,168.0,114.0,3.0,5.36,1.0,1.0,135.0
0,20182019,Colorado Avalanche,National Hockey League,1,18,7,38.0,80,38,25,1745:10,28:41,1468:43,0.0,247:46,2157.0,0.0,1.0,0.0,8.0,144.0,124.0,0.0,4.86,1.0,0.0,143.0
0,20192020,Colorado Avalanche,National Hockey League,1,13,3,20.0,59,20,16,1241:45,22:12,1041:47,0.0,177:46,1537.0,0.0,1.0,0.0,9.0,99.0,97.0,0.0,3.0,0.0,0.0,115.0
0,20202021,Colorado Avalanche,National Hockey League,1,1,0,2.0,4,2,1,53:42,01:58,41:45,0.0,09:59,71.0,0.0,0.0,0.0,2.0,5.0,7.0,0.0,0.0,0.0,0.0,5.0
0,20212022,Colorado Avalanche,National Hockey League,1,17,8,24.0,77,24,25,1330:23,17:53,1112:33,0.0,199:57,1833.0,0.0,1.0,1.0,22.0,139.0,165.0,1.0,5.8,0.0,2.0,136.0
