,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus
0,20152016,Bishop's College School Prep U16,PSHF U16,224303,10,0,4,30,4,10,
0,20162017,Team New Brunswick U14 (ACC),ACC-U14,163920,0,1,0,5,0,1,
0,20162017,Bishop's College School Prep U16,PSHF U16,224303,5,2,12,25,12,7,
0,20172018,Notre Dame Hounds U18 AAA,SMAAAHL,49284,0,0,0,1,0,0,
0,20172018,Notre Dame Hounds U15 Prep,CSSHL U15,129723,1,0,4,7,4,1,
0,20172018,Team New Brunswick U15 (ACC),ACC-U15,163891,2,0,2,5,2,2,
0,20172018,Newbridge Academy U18,PSHF U18,224364,11,4,10,16,10,15,
0,20172018,Newbridge Academy U18,ECEL 18U,224777,1,3,0,10,0,4,
0,20182019,Team New Brunswick,CWG,144315,5,1,12,7,12,6,
0,20182019,Team New Brunswick,QGC-16,154215,0,2,6,5,6,2,
0,20182019,Newbridge Academy U18,USPHL 18U,224598,0,0,2,8,2,0,
0,20182019,Newbridge Academy U18,ECEL 18U,273337,0,0,0,2,0,0,
0,20192020,Sioux Falls Stampede,USHL,9966,14,3,26,44,26,17,16.0
0,20192020,Canada Red U17,WHC-17,163770,1,0,12,5,12,1,
0,20202021,Québec Remparts,QMJHL,9640,18,4,32,32,32,22,-10.0
0,20212022,Québec Remparts,QMJHL,9640,38,8,42,59,42,46,25.0
