,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,timeOnIce,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shortHandedTimeOnIce,shifts,shots,hits,powerPlayGoals,powerPlayPoints,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,blocked
0,20042005,Traktor Chelyabinsk-2,Russia3,18394,0,1,0,2,0,0.0,1,,,,,,,,,,,,,,,,
0,20052006,Chelyabinsk 2,Russia-3,1,4,1,2,12,2,,5,,,,,,,,,,,,,,,,
0,20062007,Chelyabinsk 2,Russia-3,1,0,2,14,4,14,,2,,,,,,,,,,,,,,,,
0,20062007,Chelyabinsk,Russia,2,1,1,8,24,8,,2,,,,,,,,,,,,,,,,
0,20062007,Russia,WJ18-A,3,2,2,2,7,2,,4,00:00,00:00,00:00,0.0,00:00,0.0,,,,,,,,,,
0,20072008,Chelyabinsk 2,Russia-3,1,7,4,32,12,32,,11,00:00,00:00,00:00,0.0,00:00,0.0,,,,,,,,,,
0,20072008,Chelyabinsk,Russia,2,13,7,20,43,20,,20,00:00,00:00,00:00,0.0,00:00,0.0,,,,,,,,,,
0,20072008,Russia,WJC-A,3,0,0,4,7,4,,0,00:00,00:00,00:00,0.0,00:00,0.0,,,,,,,,,,
0,20082009,Chelyabinsk,Rus-KHL,1,4,11,8,40,8,,15,,,,0.0,,,,,,,,,,,,
0,20082009,Russia,WJC-A,3,5,2,2,7,2,,7,,,,0.0,,,,,,,,,,,,
0,20092010,Florida Panthers,National Hockey League,1,0,0,0,4,0,-1.0,0,52:54,06:52,46:02,0.0,00:00,76.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0,20092010,Rochester,AHL,2,23,17,36,76,36,,40,,,,0.0,,,,,,,,,,,,
0,20102011,Florida Panthers,National Hockey League,1,9,8,14,36,14,0.0,17,513:09,32:48,480:15,20.0,00:06,686.0,60.0,45.0,1.0,1.0,13.33,0.0,0.0,0.0,0.0,11.0
0,20102011,Rochester,AHL,2,8,8,4,24,4,-3.0,16,,,,,,,47.0,,2.0,,17.02,2.0,,0.0,,
0,20112012,Florida Panthers,National Hockey League,1,1,2,2,15,2,-4.0,3,150:44,04:32,145:14,0.0,00:58,229.0,21.0,13.0,0.0,0.0,9.52,0.0,0.0,0.0,0.0,1.0
0,20112012,San Antonio,AHL,2,4,5,4,20,4,-2.0,9,,,,,,,46.0,,0.0,,10.87,0.0,,0.0,,
0,20112012,Charlotte,AHL,3,16,3,6,35,6,-4.0,19,,,,,,,65.0,,0.0,,4.62,0.0,,0.0,,
0,20122013,Donetsk,KHL,1,24,14,12,54,12,8.0,38,,,,,,,,,,,,,,,,
0,20132014,Donetsk,KHL,1,14,15,24,54,24,,29,,,,,,,,,,,,,,,,
0,20132014,Russia,WC-A,2,2,0,0,10,0,1.0,2,,,,,,,9.0,,0.0,,,0.0,,0.0,,
0,20142015,St. Petersburg,KHL,1,27,19,10,53,10,,46,,,,,,,,,,,,,,,,
0,20142015,Russia,WC-A,2,7,4,2,10,2,4.0,11,,,,,,,17.0,,3.0,,,1.0,,0.0,,
0,20152016,Russia,WC-A,2,7,6,6,10,6,10.0,13,,,,,,,23.0,,0.0,,,1.0,,0.0,,
0,20152016,SKA St. Petersburg,KHL,2434,23,23,4,59,4,-1.0,46,,,,,,,,,,,,,,,,
0,20152016,Russia,WC,17485,7,6,6,10,6,10.0,13,,,,,,,,,,,,,,,,
0,20152016,Russia,EHT,64546,5,1,4,10,4,-1.0,6,,,,,,,,,,,,,,,,
0,20162017,SKA St. Petersburg,KHL,2434,36,30,39,53,39,33.0,66,,,,,,,,,,,,,,,,
0,20162017,Russia,WC,17485,5,3,0,10,0,1.0,8,,,,,,,,,,,,,,,,
0,20162017,Russia,WCup,17546,1,0,0,4,0,2.0,1,,,,,,,,,,,,,,,,
0,20162017,Russia,EHT,64546,1,1,0,1,0,-1.0,2,,,,,,,,,,,,,,,,
0,20172018,Florida Panthers,National Hockey League,1,37,28,8,74,8,10.0,65,1383:43,245:47,1137:42,0.0,00:14,1669.0,188.0,27.0,6.0,13.0,14.89,6.0,0.0,0.0,0.0,33.0
0,20172018,Russia,WC,17485,5,2,2,8,2,4.0,7,,,,,,,,,,,,,,,,
0,20172018,Russia,EHT,64546,0,2,4,5,4,0.0,2,,,,,,,,,,,,,,,,
0,20182019,Florida Panthers,National Hockey League,1,42,28,8,82,8,-6.0,70,1506:26,275:09,1230:31,40.0,00:46,1834.0,195.0,33.0,8.0,17.0,14.36,4.0,0.0,0.0,0.0,42.0
0,20182019,Russia,WC,17485,4,7,0,10,0,3.0,11,,,,,,,,,,,,,,,,
0,20182019,Russia,EHT,64546,0,0,0,3,0,0.0,0,,,,,,,,,,,,,,,,
0,20192020,Florida Panthers,National Hockey League,1,22,25,10,69,10,-7.0,47,1180:16,230:33,948:59,0.0,00:44,1399.0,167.0,29.0,11.0,17.0,15.0,2.0,0.0,0.0,0.0,24.0
0,20202021,Ottawa Senators,National Hockey League,1,7,13,4,55,4,-9.0,20,856:50,161:30,694:50,0.0,00:30,1099.0,89.0,38.0,0.0,1.0,14.6,3.0,1.0,0.0,0.0,26.0
0,20212022,Vegas Golden Knights,National Hockey League,1,23,20,18,78,18,4.0,43,1234:08,186:34,1047:22,20.0,00:12,1556.0,177.0,65.0,5.0,8.0,11.3,4.0,2.0,0.0,0.0,25.0
