,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,powerPlayGoals,gameWinningGoals,shortHandedGoals,plusMinus,timeOnIce,shots,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20082009,Leksand U18 2,Swe-U18,1,9,12,14,15,14,21,,,,,,,,,,,,,,,,,
0,20092010,Leksand U18,Swe-U18,1,16,21,22,31,22,37,,,,,,,,,,,,,,,,,
0,20102011,Leksand U18,Swe-U18,1,5,1,4,3,4,6,,,,,,,,,,,,,,,,,
0,20102011,Leksand Jr.,Swe-Jr.,2,19,21,22,36,22,40,,,,,,,,,,,,,,,,,
0,20102011,Leksand,Sweden-2,3,1,1,0,16,0,2,,,,,,,,,,,,,,,,,
0,20112012,Leksand U18,Swe-U18,1,2,0,0,1,0,2,,,,,,,,,,,,,,,,,
0,20112012,Leksand Jr.,Swe-Jr.,2,1,0,2,6,2,1,,,,,,,,,,,,,,,,,
0,20112012,Leksand,Sweden-2,3,10,10,33,53,33,20,,,,,,,,,,,,,,,,,
0,20112012,Sweden,WJC-A,4,1,0,2,6,2,1,0.0,0.0,0.0,-1.0,,,,,,,,,,,,,
0,20112012,Sweden,WJ18-A,5,2,5,6,6,6,7,3.0,2.0,0.0,-1.0,,,,,,,,,,,,,
0,20122013,Nashville Predators,National Hockey League,1,1,0,0,5,0,1,0.0,0.0,0.0,-5.0,77:23,14.0,3.0,0.0,10:01,67:22,0.0,0.0,0.0,0.0,00:00,0.0,103.0
0,20122013,Sweden,WJC-A,2,2,3,0,6,0,5,1.0,1.0,0.0,1.0,,,,,,,,,,,,,
0,20122013,Leksand,Sweden-2,3,22,20,22,47,22,42,,,,11.0,,,,,,,,,,,,,
0,20132014,Nashville Predators,National Hockey League,1,4,1,4,13,4,5,1.0,0.0,0.0,-8.0,148:16,20.0,6.0,4.0,25:10,123:06,0.0,5.0,0.0,0.0,00:00,2.0,187.0
0,20132014,Milwaukee,AHL,2,19,15,14,47,14,34,7.0,0.0,0.0,7.0,,146.0,,,,,,10.3,,,,,
0,20132014,Sweden,WJC-A,3,8,4,2,7,2,12,2.0,0.0,0.0,3.0,,40.0,,,,,,,,,,,
0,20142015,Nashville Predators,National Hockey League,1,37,26,24,82,24,63,6.0,6.0,0.0,15.0,1421:08,237.0,108.0,19.0,232:15,1186:58,42.86,10.97,2.0,0.0,01:55,28.0,1791.0
0,20142015,Sweden,WC-A,2,1,8,10,8,10,9,2.0,2.0,0.0,5.0,,28.0,,,,,,,,,,,
0,20152016,Nashville Predators,National Hockey League,1,31,33,47,82,47,64,8.0,3.0,1.0,1.0,1562:19,247.0,114.0,23.0,217:07,1200:18,22.22,13.36,0.0,1.0,144:54,41.0,2048.0
0,20162017,Nashville Predators,National Hockey League,1,27,31,32,82,32,58,3.0,9.0,3.0,-4.0,1518:29,234.0,97.0,9.0,214:42,1184:44,27.78,13.25,1.0,3.0,119:03,26.0,2080.0
0,20162017,Sweden,WCup,8596,1,1,2,4,2,2,,,,1.0,,,,,,,,,,,,,
0,20172018,Nashville Predators,National Hockey League,1,38,26,38,67,38,64,13.0,6.0,0.0,27.0,1170:46,179.0,86.0,21.0,194:02,938:49,44.44,14.53,2.0,1.0,37:55,37.0,1601.0
0,20172018,Sweden,WC,6815,1,2,0,4,0,3,,,,4.0,,,,,,,,,,,,,
0,20182019,Nashville Predators,National Hockey League,1,22,28,26,64,26,50,7.0,4.0,2.0,8.0,1191:27,217.0,100.0,10.0,193:39,930:54,14.29,12.9,1.0,2.0,66:54,29.0,1577.0
0,20192020,Nashville Predators,National Hockey League,1,27,21,29,63,29,48,7.0,2.0,0.0,-7.0,1093:05,198.0,82.0,14.0,180:25,887:56,33.33,10.6,0.0,0.0,24:44,27.0,1354.0
0,20202021,Nashville Predators,National Hockey League,1,20,12,16,39,16,32,3.0,3.0,0.0,-9.0,713:22,129.0,47.0,13.0,114:49,598:04,37.5,9.3,1.0,0.0,00:29,14.0,842.0
0,20212022,Nashville Predators,National Hockey League,1,42,42,22,69,22,84,10.0,8.0,0.0,12.0,1248:45,226.0,112.0,27.0,217:01,1029:43,100.0,18.6,1.0,0.0,02:01,48.0,1515.0
