,season,team,league,sequenceNumber,timeOnIce,shutouts,ties,wins,losses,goalAgainstAverage,games,goalsAgainst,savePercentage,shotsAgainst,ot,saves,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShots,evenShots,powerPlayShots,gamesStarted,powerPlaySavePercentage,shortHandedSavePercentage,evenStrengthSavePercentage
0,20122013,Skelleftea U18,Swe-U18,1,60:00,0.0,0.0,1.0,0.0,3.0,1,3.0,,,,,,,,,,,,,,
0,20132014,Skelleftea U18,Swe-U18,1,1082:00,4.0,0.0,15.0,3.0,1.55,18,28.0,,,,,,,,,,,,,,
0,20142015,Lulea U18,Swe-U18,1,1092:00,2.0,0.0,9.0,9.0,2.2,18,40.0,,,,,,,,,,,,,,
0,20142015,Lulea Jr.,Swe-Jr.,2,424:00,0.0,0.0,1.0,6.0,3.96,7,28.0,,,,,,,,,,,,,,
0,20142015,Luleå HF J20,J20 Nationell,5849,,,,,,3.96,7,,0.881,,,,,,,,,,,,,
0,20142015,Luleå HF J18,J18 Allsvenskan,6289,,,,,,2.18,9,,0.908,,,,,,,,,,,,,
0,20142015,Sweden U17,WHC-17,61300,,,,,,1.61,5,,0.942,,,,,,,,,,,,,
0,20152016,Lulea Jr.,Swe-Jr.,1,1154:00,0.0,0.0,8.0,11.0,3.22,20,62.0,,,,,,,,,,,,,,
0,20152016,Lulea,Sweden,2,359:00,0.0,0.0,4.0,2.0,2.17,6,13.0,,,,,,,,,,,,,,
0,20152016,Sweden,WJ18-A,3,289:00,0.0,0.0,3.0,1.0,2.7,5,13.0,,138.0,,,,,,,,,,,,
0,20152016,Luleå HF,SHL,869,,,,,,2.17,6,,0.91,,,,,,,,,,,,,
0,20152016,Luleå HF J20,J20 Nationell,5849,,,,,,3.22,20,,0.893,,,,,,,,,,,,,
0,20152016,Sweden U18,WJC-18,8573,,,,,,2.7,5,,0.906,,,,,,,,,,,,,
0,20162017,Luleå HF,SHL,869,,,,,,2.7,15,,0.912,,,,,,,,,,,,,
0,20162017,Luleå HF J20,J20 Nationell,5849,,,,,,2.09,6,,0.928,,,,,,,,,,,,,
0,20162017,Sweden U20,WJC-20,8596,,,,,,2.0,1,,0.947,,,,,,,,,,,,,
0,20172018,Luleå HF,SHL,869,,,,,,2.07,22,,0.918,,,,,,,,,,,,,
0,20172018,Luleå HF J20,J20 Nationell,5849,,,,,,1.71,7,,0.925,,,,,,,,,,,,,
0,20172018,Sweden U20,WJC-20,8596,,,,,,1.81,6,,0.924,,,,,,,,,,,,,
0,20172018,Belleville Senators,AHL,227817,,,,,,3.01,7,,0.912,,,,,,,,,,,,,
0,20182019,Brampton Beast,ECHL,150795,,,,,,5.38,2,,0.827,,,,,,,,,,,,,
0,20182019,Belleville Senators,AHL,227817,,,,,,3.38,31,,0.887,,,,,,,,,,,,,
0,20192020,Belleville Senators,AHL,227817,,,,,,3.23,24,,0.889,,,,,,,,,,,,,
0,20202021,Ottawa Senators,National Hockey League,1,471:34,0.0,0.0,5.0,1.0,2.163,9,17.0,0.933,254.0,2.0,237.0,26.0,11.0,200.0,12.0,213.0,29.0,7.0,89.65517241379311,91.66666666666666,93.89671361502347
0,20202021,Södertälje SK,HockeyAllsvenskan,1330,,,,,,2.3,19,,0.919,,,,,,,,,,,,,
0,20202021,Belleville Senators,AHL,227817,,,,,,2.86,13,,0.91,,,,,,,,,,,,,
0,20212022,Ottawa Senators,National Hockey League,1,1047:33,0.0,0.0,5.0,12.0,3.55114,18,62.0,0.892,574.0,1.0,512.0,69.0,15.0,428.0,16.0,476.0,82.0,16.0,84.14634146341463,93.75,89.91596638655463
0,20212022,Belleville Senators,AHL,227817,,,,,,2.5,20,,0.915,,,,,,,,,,,,,
