,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points
0,20122013,HC Kometa Brno U16,Czech U16,83447,0,0,0,1,0,-1.0,0
0,20132014,HC Kometa Brno U16,Czech U16,83447,5,6,6,33,6,9.0,11
0,20142015,HC Kometa Brno U18,Czech U18,40622,4,0,0,8,0,10.0,4
0,20142015,HC Kometa Brno U16,Czech U16,83447,31,12,12,31,12,37.0,43
0,20152016,HC Kometa Brno U18,Czechia U18,42444,29,11,57,40,57,25.0,40
0,20152016,Czechia U17,WHC-17,61320,0,0,0,5,0,,0
0,20162017,HC Kometa Brno,Czechia,13876,2,0,2,23,2,3.0,2
0,20162017,SK Horacka Slavia Trebic,Czechia2,15160,1,1,6,12,6,-1.0,2
0,20162017,Czechia U18,WJC-18,17013,1,1,0,5,0,-1.0,2
0,20162017,HC Kometa Brno U20,Czechia U20,35977,6,4,10,13,10,9.0,10
0,20162017,Czechia U18,Hlinka Gretzky Cup,158320,0,0,2,5,2,0.0,0
0,20172018,Spokane Chiefs,WHL,7901,26,9,24,54,24,9.0,35
0,20172018,HC Kometa Brno,Champions HL,12012,0,0,2,2,2,0.0,0
0,20172018,HC Kometa Brno,Czechia,13876,0,0,0,4,0,1.0,0
0,20172018,SK Horacka Slavia Trebic,Czechia2,15160,0,0,2,3,2,2.0,0
0,20172018,Czechia U20,WJC-20,17046,0,1,2,7,2,-4.0,1
0,20182019,Spokane Chiefs,WHL,7901,26,10,14,47,14,17.0,36
0,20182019,Czechia U20,WJC-20,17046,0,1,2,5,2,-3.0,1
0,20192020,Spokane Chiefs,WHL,7901,37,12,8,53,8,18.0,49
0,20202021,Toronto Marlies,AHL,13377,0,2,0,10,0,-3.0,2
0,20202021,HC Kometa Brno,Czechia,13876,15,6,12,48,12,12.0,21
0,20202021,HC Zubr Prerov,Czechia2,15420,8,2,4,7,4,4.0,10
0,20202021,Czechia,EHT,68526,0,0,0,3,0,-3.0,0
0,20212022,Toronto Marlies,AHL,13377,18,3,24,58,24,-1.0,21
