,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,timeOnIce,shots,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20122013,HC Dynamo Pardubice U16,Czech U16,83487,1,5,2,8,2,0.0,6,,,,,,,,,,,,,,,,
0,20132014,HC Dynamo Pardubice U18,Czech U18,39432,10,9,2,27,2,2.0,19,,,,,,,,,,,,,,,,
0,20132014,HC Dynamo Pardubice U16,Czech U16,83487,13,24,61,24,61,7.0,37,,,,,,,,,,,,,,,,
0,20142015,HC Dynamo Pardubice U20,Czech U20,30213,2,4,2,6,2,-1.0,6,,,,,,,,,,,,,,,,
0,20142015,HC Dynamo Pardubice U18,Czech U18,39432,13,21,12,20,12,7.0,34,,,,,,,,,,,,,,,,
0,20142015,HC Dynamo Pardubice U16,Czech U16,83487,16,18,6,11,6,23.0,34,,,,,,,,,,,,,,,,
0,20152016,HC Dynamo Pardubice,Czechia,3566,0,0,0,2,0,0.0,0,,,,,,,,,,,,,,,,
0,20152016,Czechia U18,WJC-18,17013,1,4,2,5,2,-3.0,5,,,,,,,,,,,,,,,,
0,20152016,HC Dynamo Pardubice U20,Czechia U20,32037,7,10,8,19,8,2.0,17,,,,,,,,,,,,,,,,
0,20152016,HC Dynamo Pardubice U18,Czechia U18,41254,2,10,0,6,0,9.0,12,,,,,,,,,,,,,,,,
0,20152016,Czechia U17,WHC-17,61320,3,1,0,5,0,,4,,,,,,,,,,,,,,,,
0,20162017,HC Dynamo Pardubice,Champions HL,1702,0,0,2,4,2,-3.0,0,,,,,,,,,,,,,,,,
0,20162017,HC Dynamo Pardubice,Czechia,3566,1,1,4,25,4,-9.0,2,,,,,,,,,,,,,,,,
0,20162017,Czechia U18,WJC-18,17013,3,3,0,5,0,-2.0,6,,,,,,,,,,,,,,,,
0,20162017,HC Dynamo Pardubice U20,Czechia U20,32037,9,9,18,20,18,2.0,18,,,,,,,,,,,,,,,,
0,20162017,Czechia U18,Hlinka Gretzky Cup,158320,2,5,0,4,0,4.0,7,,,,,,,,,,,,,,,,
0,20172018,Halifax Mooseheads,QMJHL,9610,38,44,36,57,36,23.0,82,,,,,,,,,,,,,,,,
0,20172018,Czechia U20,WJC-20,17046,1,7,2,7,2,-4.0,8,,,,,,,,,,,,,,,,
0,20172018,Czechia,EHT,68526,1,1,2,6,2,0.0,2,,,,,,,,,,,,,,,,
0,20182019,Detroit Red Wings,National Hockey League,1,2,1,0,9,0,-5.0,3,138:28,18.0,6.0,1.0,2.0,20:44,117:44,50.0,5.56,0.0,0.0,0.0,0.0,00:00,3.0,182.0
0,20182019,Grand Rapids Griffins,AHL,987,19,16,18,59,18,-17.0,35,,,,,,,,,,,,,,,,
0,20182019,Czechia U20,WJC-20,17046,1,0,2,5,2,-3.0,1,,,,,,,,,,,,,,,,
0,20192020,Detroit Red Wings,National Hockey League,1,7,8,2,28,2,-13.0,15,424:51,60.0,11.0,4.0,7.0,70:50,353:41,100.0,13.3,1.0,0.0,0.0,0.0,00:20,10.0,514.0
0,20192020,Grand Rapids Griffins,AHL,987,7,9,8,21,8,-9.0,16,,,,,,,,,,,,,,,,
0,20202021,Detroit Red Wings,National Hockey League,1,13,6,0,49,0,-4.0,19,823:29,97.0,22.0,3.0,6.0,105:10,717:44,33.33,6.2,1.0,0.0,0.0,0.0,00:35,22.0,960.0
0,20202021,HC Ocelari Trinec,Czechia,3586,6,8,18,17,18,5.0,14,,,,,,,,,,,,,,,,
0,20202021,Czechia,WC,17015,2,2,0,8,0,4.0,4,,,,,,,,,,,,,,,,
0,20212022,Detroit Red Wings,National Hockey League,1,14,10,10,74,10,-24.0,24,1049:03,154.0,57.0,4.0,8.0,135:40,913:07,50.0,6.5,1.0,0.0,0.0,0.0,00:16,34.0,1252.0
