,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,shots,powerPlayGoals,shotPct,gameWinningGoals,shortHandedGoals,plusMinus
0,20102011,Colorado Thunderbirds 14U AAA,14U AAA,131868,38,14,4,29,4,52,,,,,,
0,20112012,Col. T-birds Ban.,T1EHL,1,37,28,26,56,26,65,,,,,,
0,20112012,Col. T-birds U16,T1EHL,2,1,2,4,4,4,3,,,,,,
0,20122013,Col. T-birds U16,T1EHL,1,43,26,8,31,8,69,,,,,,
0,20122013,Green Bay,USHL,2,0,0,0,8,0,0,4.0,0.0,0.0,0.0,0.0,-3.0
0,20132014,Green Bay,USHL,1,4,2,21,28,21,6,25.0,1.0,8.0,0.0,0.0,-6.0
0,20132014,Chicago,USHL,2,11,4,24,24,24,15,53.0,2.0,7.5,1.0,0.0,-2.0
0,20142015,Chicago,USHL,1,33,27,14,57,14,60,158.0,7.0,17.1,2.0,0.0,9.0
0,20152016,Nebraska-Omaha,NCHC,1,9,8,14,34,14,17,53.0,2.0,,2.0,0.0,-7.0
0,20152016,Univ. of Nebraska-Omaha,NCAA,7640,9,8,14,34,14,17,,,,,,-7.0
0,20162017,Univ. of Nebraska-Omaha,NCAA,7640,13,11,21,34,21,24,,,,,,-2.0
0,20172018,Univ. of Nebraska-Omaha,NCAA,7640,14,6,16,33,16,20,,,,,,-1.0
0,20182019,Univ. of Nebraska-Omaha,NCAA,7640,24,10,12,36,12,34,,,,,,-14.0
0,20182019,Rockford IceHogs,AHL,8267,0,0,0,2,0,0,,,,,,-2.0
0,20192020,MoDo Hockey,HockeyAllsvenskan,1320,24,10,12,52,12,34,,,,,,15.0
0,20202021,IK Oskarshamn,SHL,1109,21,13,12,51,12,34,,,,,,-5.0
0,20202021,Sweden,EHT,89816,1,0,0,2,0,1,,,,,,2.0
0,20212022,IK Oskarshamn,SHL,1109,27,15,6,49,6,42,,,,,,2.0
0,20212022,Sweden,OG,8302,1,0,0,6,0,1,,,,,,1.0
0,20212022,Sweden,EHT,89816,1,0,0,3,0,1,,,,,,2.0
