,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,powerPlayGoals,shortHandedGoals,plusMinus,timeOnIce,shots,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20072008,Djurgarden U18,Swe-U18,1,10,12,4,23,4,22,,,,,,,,,,,,,,,,,
0,20072008,Djurgarden Jr.,Swe-Jr.,2,0,0,0,1,0,0,,,,,,,,,,,,,,,,,
0,20082009,Djurgarden U18,Swe-U18,1,7,5,41,8,41,12,,,,,,,,,,,,,,,,,
0,20082009,Djurgarden Jr.,Swe-Jr.,2,14,7,63,31,63,21,,,,,,,,,,,,,,,,,
0,20082009,Djurgarden,Sweden,3,1,0,2,3,2,1,,,,,,,,,,,,,,,,,
0,20092010,Kitchener,OHL,1,22,24,51,61,51,46,7.0,1.0,0.0,,,,,,,,,,,,,,
0,20102011,Kitchener,OHL,1,30,36,61,53,61,66,11.0,1.0,27.0,,,,,,,,,,,,,,
0,20112012,Colorado Avalanche,National Hockey League,1,30,22,51,82,51,52,6.0,0.0,20.0,1526:11,270.0,219.0,12.0,176:30,1239:36,22.22,8.15,5.0,1.0,2.0,110:05,58.0,1996.0
0,20112012,Sweden,WC-A,2,4,1,6,8,6,5,0.0,0.0,3.0,,,,,,,,,0.0,,,,,
0,20122013,Colorado Avalanche,National Hockey League,1,8,9,22,36,22,17,0.0,3.0,-4.0,695:44,109.0,86.0,2.0,88:54,539:33,33.33,8.26,1.0,0.0,3.0,67:17,32.0,894.0
0,20122013,Sweden,WC-A,3,1,3,18,10,18,4,0.0,0.0,4.0,,,,,,,,,1.0,,,,,
0,20122013,Djurgarden,Sweden-2,99,8,6,32,17,32,14,,,,,,,,,,,,,,,,,
0,20132014,Colorado Avalanche,National Hockey League,1,39,26,71,81,71,65,5.0,0.0,21.0,1512:49,222.0,176.0,10.0,195:26,1300:22,72.22,11.71,4.0,1.0,0.0,17:01,52.0,1835.0
0,20132014,Sweden,Olympics,2,1,0,4,6,4,1,0.0,0.0,1.0,,9.0,,,,,,,0.0,,,,,
0,20142015,Colorado Avalanche,National Hockey League,1,36,23,79,82,79,59,8.0,0.0,-2.0,1517:27,214.0,169.0,17.0,204:07,1275:31,35.56,10.75,2.0,0.0,0.0,37:49,73.0,1861.0
0,20152016,Colorado Avalanche,National Hockey League,1,33,20,69,75,69,53,4.0,1.0,-5.0,1419:26,169.0,141.0,14.0,206:51,1104:48,55.36,11.83,2.0,1.0,3.0,107:47,66.0,1784.0
0,20162017,Colorado Avalanche,National Hockey League,1,15,18,62,72,62,33,5.0,1.0,-25.0,1352:16,169.0,143.0,6.0,169:39,1053:40,49.6,10.65,2.0,1.0,1.0,128:57,41.0,1729.0
0,20162017,Sweden,WC,6815,3,2,2,10,2,5,,,7.0,,,,,,,,,,,,,,
0,20162017,Sweden,WCup,8596,0,1,2,4,2,1,,,-1.0,,,,,,,,,,,,,,
0,20162017,Sweden,EHT,89816,1,2,6,3,6,3,,,-2.0,,,,,,,,,,,,,,
0,20172018,Colorado Avalanche,National Hockey League,1,37,25,37,78,37,62,8.0,0.0,16.0,1571:10,183.0,149.0,17.0,279:42,1204:06,51.44,13.66,1.0,0.0,1.0,87:22,51.0,1870.0
0,20182019,Colorado Avalanche,National Hockey League,1,41,34,51,73,51,75,10.0,0.0,17.0,1543:51,243.0,120.0,27.0,299:13,1222:45,52.02,13.99,9.0,0.0,0.0,21:53,64.0,1711.0
0,20182019,Sweden,WC,6815,5,2,0,5,0,7,,,3.0,,,,,,,,,,,,,,
0,20192020,Colorado Avalanche,National Hockey League,1,23,21,47,54,47,44,6.0,0.0,-2.0,1081:35,145.0,86.0,15.0,204:43,874:08,56.38,14.5,4.0,0.0,0.0,02:44,35.0,1199.0
0,20202021,Colorado Avalanche,National Hockey League,1,32,20,34,54,34,52,9.0,0.0,14.0,1077:41,155.0,81.0,15.0,223:49,851:47,56.58,12.9,8.0,2.0,0.0,02:05,28.0,1203.0
0,20212022,Colorado Avalanche,National Hockey League,1,29,30,78,51,78,59,7.0,0.0,27.0,1036:12,150.0,94.0,15.0,202:48,829:50,54.9,20.0,5.0,1.0,0.0,03:34,34.0,1201.0
