,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus
0,20152016,Yale Hockey Academy U15 Prep,CSSHL U15,212063,5,6,4,23,4,11,
0,20162017,Yale Hockey Academy Elite 15s,CSSHL U16,166014,17,13,22,30,22,30,
0,20162017,Yale Hockey Academy U18 Prep,CSSHL U18,178286,0,0,0,1,0,0,
0,20172018,Chilliwack Chiefs,BCHL,13824,1,1,4,4,4,2,0.0
0,20172018,Everett Silvertips,WHL,16391,0,0,2,1,2,0,0.0
0,20172018,Fraser Valley Thunderbirds U18,BCEHL U18,135649,41,30,52,40,52,71,
0,20182019,Everett Silvertips,WHL,16391,14,1,26,67,26,15,10.0
0,20192020,Everett Silvertips,WHL,16391,38,33,44,60,44,71,32.0
0,20202021,Syracuse Crunch,AHL,1057,1,0,0,2,0,1,-3.0
0,20202021,Everett Silvertips,WHL,16391,22,12,12,23,12,34,17.0
0,20212022,Syracuse Crunch,AHL,1057,15,17,39,70,39,32,-2.0
