,season,team,league,sequenceNumber,assists,goals,games,points,pim,penaltyMinutes,plusMinus,powerPlayGoals,gameWinningGoals,shortHandedGoals,shots,shotPct,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20062007,Phillips Academy Andover,USHS-Prep,47042,6,0,25,6,,,,,,,,,,,,,,,,,,,
0,20072008,Phillips Academy Andover,USHS-Prep,47042,9,5,27,14,,,,,,,,,,,,,,,,,,,
0,20082009,Phillips Andover,USHS-Prep,46328,13,16,26,29,0.0,0,0.0,,,,,,,,,,,,,,,,
0,20092010,Phillips Andover,USHS-Prep,46328,20,17,28,37,32.0,32,0.0,,,,,,,,,,,,,,,,
0,20102011,Brown U.,ECAC,1,9,5,31,14,42.0,42,,0.0,1.0,0.0,,,,,,,,,,,,,
0,20112012,Brown U.,ECAC,1,5,3,26,8,48.0,48,,2.0,0.0,0.0,,,,,,,,,,,,,
0,20122013,Brown U.,ECAC,1,15,6,33,21,47.0,47,,0.0,0.0,0.0,,,,,,,,,,,,,
0,20132014,Brown U.,ECAC,1,9,6,31,15,41.0,41,,0.0,1.0,0.0,,,,,,,,,,,,,
0,20132014,Abbotsford,AHL,2,0,0,8,0,10.0,10,1.0,0.0,0.0,0.0,7.0,0.0,,,,,,,,,,,
0,20142015,Adirondack,AHL,1,17,19,72,36,77.0,77,-8.0,6.0,0.0,2.0,123.0,15.4,,,,,,,,,,,
0,20152016,Calgary Flames,National Hockey League,1,3,0,14,3,31.0,31,-1.0,0.0,0.0,0.0,11.0,0.0,168:15,50.0,0.0,01:37,158:00,25.0,0.0,1.0,08:38,17.0,262.0
0,20152016,Stockton,AHL,2,13,8,44,21,39.0,39,-4.0,1.0,0.0,3.0,87.0,9.2,,,,,,,,,,,
0,20152016,Stockton Heat,AHL,186037,13,8,44,21,39.0,39,-4.0,,,,,,,,,,,,,,,,
0,20162017,Calgary Flames,National Hockey League,1,4,1,26,5,44.0,44,0.0,0.0,0.0,0.0,22.0,4.55,237:37,56.0,0.0,01:16,234:25,52.63,0.0,0.0,01:56,14.0,350.0
0,20162017,Stockton Heat,AHL,186037,12,8,31,20,67.0,67,22.0,,,,,,,,,,,,,,,,
0,20172018,Calgary Flames,National Hockey League,1,9,4,59,13,88.0,88,3.0,0.0,0.0,1.0,68.0,5.88,680:26,154.0,0.0,02:19,613:00,10.0,0.0,1.0,65:07,32.0,905.0
0,20172018,Stockton Heat,AHL,186037,8,11,18,19,30.0,30,16.0,,,,,,,,,,,,,,,,
0,20182019,Calgary Flames,National Hockey League,1,8,11,76,19,56.0,56,14.0,0.0,5.0,2.0,77.0,14.29,800:01,200.0,0.0,13:57,656:31,46.67,0.0,2.0,129:33,36.0,1160.0
0,20192020,Washington Capitals,National Hockey League,1,7,9,66,16,79.0,79,6.0,0.0,1.0,0.0,80.0,11.3,711:19,189.0,0.0,02:40,622:48,31.03,0.0,1.0,85:51,46.0,967.0
0,20202021,Washington Capitals,National Hockey League,1,12,6,56,18,66.0,66,7.0,0.0,0.0,0.0,62.0,9.7,689:55,179.0,0.0,01:56,614:33,41.67,0.0,1.0,73:26,30.0,996.0
0,20212022,Washington Capitals,National Hockey League,1,12,14,76,26,57.0,57,19.0,0.0,4.0,0.0,124.0,11.3,1017:34,250.0,0.0,11:50,917:44,35.71,0.0,1.0,88:00,62.0,1472.0
