,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,timeOnIce,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shortHandedTimeOnIce,shifts,powerPlayGoals,gameWinningGoals,shortHandedGoals,shots,shotPct,plusMinus,hits,powerPlayPoints,overTimeGoals,shortHandedPoints,blocked
0,20042005,Malmö Redhawks U16,U16 SM,44057,2,3,0,3,0,5,,,,,,,,,,,,,,,,,
0,20052006,Malmo U18,Swe-U18,1,3,9,10,14,10,12,00:00,00:00,00:00,0.0,00:00,0.0,,,,,,,,,,,
0,20062007,Malmo Jr.,Swe-Jr.,1,23,21,57,42,57,44,00:00,00:00,00:00,0.0,00:00,0.0,,,,,,,,,,,
0,20072008,Malmo Jr.,Swe-Jr.,1,20,11,20,24,20,31,00:00,00:00,00:00,0.0,00:00,0.0,,,,,,,,,,,
0,20082009,U. Of Maine,H-East,1,19,13,28,38,28,32,,,,,,,,,,,,,,,,,
0,20092010,U. Of Maine,H-East,1,42,19,20,39,20,61,,,,,,,,,,,,,,,,,
0,20102011,U. of Maine,H-East,1,33,18,20,36,20,51,,,,,,,6.0,1.0,2.0,,,,,,,,
0,20102011,Grand Rapids,AHL,2,3,1,2,8,2,4,,,,,,,0.0,0.0,0.0,14.0,7.14,1.0,,,,,
0,20112012,Detroit Red Wings,National Hockey League,1,6,1,2,18,2,7,190:43,04:46,185:53,0.0,00:04,269.0,0.0,0.0,0.0,19.0,5.26,2.0,4.0,0.0,0.0,0.0,0.0
0,20112012,Grand Rapids,AHL,2,36,22,18,56,18,58,,,,,,,7.0,1.0,0.0,152.0,14.47,7.0,,,,,
0,20122013,Detroit Red Wings,National Hockey League,1,3,3,6,22,6,6,286:52,47:18,239:24,25.0,00:10,384.0,0.0,0.0,0.0,46.0,6.52,0.0,2.0,2.0,0.0,0.0,3.0
0,20122013,Grand Rapids,AHL,2,37,23,34,58,34,60,,,,,,,9.0,2.0,0.0,169.0,13.61,10.0,,,,,
0,20132014,Detroit Red Wings,National Hockey League,1,20,28,10,57,10,48,960:36,184:51,775:20,55.56,00:25,1265.0,6.0,6.0,0.0,153.0,18.3,16.0,18.0,9.0,1.0,0.0,14.0
0,20132014,Grand Rapids,AHL,2,14,7,6,15,6,21,,,,,,,1.0,1.0,0.0,36.0,19.4,6.0,,,,,
0,20132014,Sweden,Olympics,3,0,0,0,6,0,0,,,,,,,0.0,0.0,0.0,2.0,,1.0,,,,,
0,20132014,Sweden,WC-A,4,2,4,2,10,2,6,,,,,,,2.0,0.0,0.0,19.0,,2.0,,,,,
0,20142015,Detroit Red Wings,National Hockey League,1,27,27,26,82,26,54,1365:51,246:44,1117:43,11.11,01:24,1817.0,14.0,4.0,0.0,195.0,13.85,-11.0,43.0,24.0,1.0,0.0,31.0
0,20152016,Detroit Red Wings,National Hockey League,1,26,17,34,82,34,43,1243:58,228:39,1014:12,0.0,01:07,1644.0,7.0,3.0,0.0,161.0,10.56,-2.0,58.0,12.0,2.0,0.0,19.0
0,20152016,Sweden,WC-A,2,1,7,4,8,4,8,,,,,,,3.0,2.0,1.0,19.0,,-1.0,,,,,
0,20152016,Sweden,WC,6815,1,7,4,8,4,8,,,,,,,,,,,,-1.0,,,,,
0,20162017,Detroit Red Wings,National Hockey League,1,36,12,18,76,18,48,1325:02,214:07,1108:41,80.0,02:14,1675.0,2.0,2.0,0.0,165.0,7.27,0.0,54.0,9.0,0.0,0.0,20.0
0,20172018,Detroit Red Wings,National Hockey League,1,19,21,20,82,20,40,1463:48,201:19,1261:59,46.15,00:30,1816.0,3.0,2.0,0.0,213.0,9.86,-2.0,65.0,8.0,0.0,0.0,36.0
0,20172018,Sweden,WC,6815,1,4,8,9,8,5,,,,,,,,,,,,3.0,,,,,
0,20182019,Detroit Red Wings,National Hockey League,1,33,16,8,62,8,49,1123:27,132:56,988:52,44.44,01:39,1435.0,1.0,2.0,0.0,163.0,9.82,0.0,24.0,11.0,1.0,0.0,16.0
0,20182019,San Jose Sharks,National Hockey League,2,5,6,4,19,4,11,295:39,40:29,254:51,75.0,00:19,383.0,1.0,1.0,0.0,41.0,14.63,1.0,12.0,1.0,0.0,0.0,7.0
0,20192020,Columbus Blue Jackets,National Hockey League,1,27,15,16,70,16,42,1262:16,180:31,1035:49,51.52,45:56,1594.0,3.0,3.0,1.0,151.0,9.9,4.0,37.0,9.0,1.0,1.0,26.0
0,20212022,Columbus Blue Jackets,National Hockey League,1,35,18,26,82,26,53,1462:56,150:22,1167:23,46.67,145:11,1855.0,4.0,0.0,4.0,122.0,14.8,-12.0,41.0,10.0,0.0,4.0,51.0
