,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,timeOnIce,shots,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20112012,Leamington Flyers,GOJHL,43150,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,
0,20122013,Erie Otters,OHL,8689,4,8,60,60,60,-26,12,,,,,,,,,,,,,,,,
0,20132014,Erie Otters,OHL,8689,5,4,45,34,45,-5,9,,,,,,,,,,,,,,,,
0,20142015,Sarnia Sting,OHL,8789,15,23,62,59,62,-11,38,,,,,,,,,,,,,,,,
0,20152016,Saginaw Spirit,OHL,9488,5,4,21,20,21,-8,9,,,,,,,,,,,,,,,,
0,20152016,Sarnia Sting,OHL,9498,9,5,53,36,53,1,14,,,,,,,,,,,,,,,,
0,20162017,Saginaw Spirit,OHL,9488,28,38,71,67,71,-1,66,,,,,,,,,,,,,,,,
0,20172018,Manchester Monarchs,ECHL,1055,2,0,2,2,2,0,2,,,,,,,,,,,,,,,,
0,20172018,Florida Everblades,ECHL,2565,0,0,9,3,9,-2,0,,,,,,,,,,,,,,,,
0,20172018,Cleveland Monsters,AHL,22447,3,3,35,41,35,-11,6,,,,,,,,,,,,,,,,
0,20182019,Wichita Thunder,ECHL,8565,2,2,22,13,22,-2,4,,,,,,,,,,,,,,,,
0,20182019,HC Detva,Slovakia,22038,7,7,43,21,43,-12,14,,,,,,,,,,,,,,,,
0,20192020,Reading Royals,ECHL,6595,8,12,49,36,49,5,20,,,,,,,,,,,,,,,,
0,20202021,Utah Grizzlies,ECHL,1255,6,6,86,26,86,-7,12,,,,,,,,,,,,,,,,
0,20202021,Wheeling Nailers,ECHL,2765,4,2,41,18,41,-11,6,,,,,,,,,,,,,,,,
0,20212022,Philadelphia Flyers,National Hockey League,1,2,1,11,6,11,-1,3,79:12,10.0,12.0,0.0,0.0,03:17,75:55,50.0,10.0,0.0,0.0,0.0,0.0,00:00,2.0,119.0
0,20212022,Lehigh Valley Phantoms,AHL,173347,12,19,70,46,70,6,31,,,,,,,,,,,,,,,,
