,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus,timeOnIce,shots,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20112012,Montréal Ice Storm,Brick Invitational,128796,3,1,2,6,2,4,,,,,,,,,,,,,,,,,
0,20152016,Gatineau Intrépide M15 AAA,QM15AAA,133357,1,0,4,10,4,1,,,,,,,,,,,,,,,,,
0,20152016,Outaouais Olympiques U15 AA,QM15AA,133365,24,8,14,27,14,32,,,,,,,,,,,,,,,,,
0,20162017,Outaouais Intrépide M17 Espoir,QM17E,115231,3,4,4,6,4,7,,,,,,,,,,,,,,,,,
0,20162017,Gatineau Intrépide M15 AAA,QM15AAA,133357,25,13,8,24,8,38,,,,,,,,,,,,,,,,,
0,20172018,Gatineau L'Intrépide,QM18AAA,64504,40,17,6,35,6,57,5.0,,,,,,,,,,,,,,,,
0,20172018,Team Québec Blue,QGC-16,154185,6,3,0,5,0,9,,,,,,,,,,,,,,,,,
0,20182019,Chicoutimi Saguenéens,QMJHL,6090,32,13,18,48,18,45,5.0,,,,,,,,,,,,,,,,
0,20192020,Chicoutimi Saguenéens,QMJHL,6090,15,2,10,19,10,17,4.0,,,,,,,,,,,,,,,,
0,20192020,Canada U18,Hlinka Gretzky Cup,144760,8,3,4,5,4,11,9.0,,,,,,,,,,,,,,,,
0,20202021,Chicoutimi Saguenéens,QMJHL,6090,23,8,12,21,12,31,8.0,,,,,,,,,,,,,,,,
0,20212022,Washington Capitals,National Hockey League,1,0,1,2,6,2,1,2.0,57:32,7.0,1.0,0.0,0.0,05:44,51:48,26.09,14.3,0.0,0.0,0.0,0.0,00:00,2.0,74.0
0,20212022,Acadie-Bathurst Titan,QMJHL,9570,30,21,22,40,22,51,15.0,,,,,,,,,,,,,,,,
