,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus
0,20132014,Edina High,USHS-MN,28388,0,0,2.0,25,2,0,
0,20142015,Edina High,USHS-MN,28388,16,7,31.0,25,31,23,
0,20142015,B17 - Red (Final 54),MNHP-17,283055,0,0,,3,,0,
0,20152016,Lincoln Stars,USHL,9366,10,5,30.0,56,30,15,2.0
0,20162017,Lincoln Stars,USHL,9366,15,17,32.0,53,32,32,9.0
0,20172018,Harvard Univ.,NCAA,13950,8,8,10.0,24,10,16,10.0
0,20182019,Harvard Univ.,NCAA,13950,8,5,33.0,29,33,13,1.0
0,20192020,Harvard Univ.,NCAA,13950,8,8,18.0,31,18,16,5.0
0,20202021,Syracuse Crunch,AHL,1057,6,8,10.0,23,10,14,14.0
0,20212022,Charlotte Checkers,AHL,2357,16,12,36.0,64,36,28,14.0
