,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus,timeOnIce,shots,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20132014,Greater Kingston Fr. Mn Mdgt AAA,ETAMMHL,106072,9,1,22,36,22,10,,,,,,,,,,,,,,,,,
0,20142015,Gananoque Islanders,EOJHL,62758,13,5,72,43,72,18,,,,,,,,,,,,,,,,,
0,20152016,Collingwood Blues,OJHL,21840,2,1,2,10,2,3,,,,,,,,,,,,,,,,,
0,20152016,Gananoque Islanders,EBJCHL,62595,18,6,81,34,81,24,,,,,,,,,,,,,,,,,
0,20152016,UHT Sabres Oswiecim,OJDL,340735,3,1,4,10,4,4,,,,,,,,,,,,,,,,,
0,20162017,Charlottetown Islanders,QMJHL,46620,3,0,69,42,69,3,5.0,,,,,,,,,,,,,,,,
0,20172018,Charlottetown Islanders,QMJHL,46620,31,8,159,64,159,39,12.0,,,,,,,,,,,,,,,,
0,20182019,Charlottetown Islanders,QMJHL,46620,34,16,141,61,141,50,14.0,,,,,,,,,,,,,,,,
0,20192020,Tulsa Oilers,ECHL,7415,4,0,13,5,13,4,1.0,,,,,,,,,,,,,,,,
0,20192020,San Diego Gulls,AHL,85177,5,2,33,29,33,7,6.0,,,,,,,,,,,,,,,,
0,20202021,HC Banska Bystrica,Slovakia,8578,7,9,111,20,111,16,-6.0,,,,,,,,,,,,,,,,
0,20202021,San Diego Gulls,AHL,85177,6,6,29,33,29,12,4.0,,,,,,,,,,,,,,,,
0,20212022,Anaheim Ducks,National Hockey League,1,0,0,5,2,5,0,0.0,19:43,0.0,5.0,0.0,0.0,00:00,19:43,0.0,0.0,0.0,0.0,0.0,0.0,00:00,0.0,26.0
0,20212022,San Diego Gulls,AHL,85177,21,17,134,64,134,38,2.0,,,,,,,,,,,,,,,,
