,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus
0,20162017,Team Belarus U18,Belarus Vysshaya,230187,4,4,12,16,12,8,
0,20162017,Team Belarus U17,Belarus Vysshaya,230197,13,6,23,29,23,19,
0,20162017,Team Belarus U20,Belarus,230364,0,0,0,1,0,0,1.0
0,20162017,Belarus U17,EYOF,234827,1,1,2,3,2,2,1.0
0,20172018,Belarus U18,WJC-18,17773,0,0,2,5,2,0,-2.0
0,20172018,Team Belarus U18,Belarus Vysshaya,230187,21,8,58,47,58,29,
0,20182019,Belarus,WC D1A,17737,0,0,0,5,0,0,-1.0
0,20182019,Belarus U20,WJC-20 D1A,17797,0,0,0,5,0,0,-3.0
0,20182019,Team Belarus U20,Belarus,230364,5,3,30,53,30,8,-38.0
0,20192020,Saginaw Spirit,OHL,9488,33,7,35,53,35,40,43.0
0,20192020,Belarus U20,WJC-20 D1A,17797,2,1,2,5,2,3,3.0
0,20202021,Dinamo Minsk,KHL,17224,7,2,36,41,36,9,-3.0
0,20202021,Belarus,WC,17735,0,0,2,4,2,0,0.0
0,20202021,Dinamo-Molodechno,Belarus,172564,0,1,0,1,0,1,2.0
0,20212022,Belarus,OGQ,17485,0,0,0,3,0,0,0.0
0,20212022,Stockton Heat,AHL,186037,5,3,24,51,24,8,5.0
