,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus
0,20152016,Team Colorado U15,WSI U15,225420,1,4,6.0,5,6,5,
0,20162017,Colorado Evolution 15U AAA,15U AAA,232332,34,26,20.0,21,20,60,
0,20172018,Belarus U18,WJC-18,17773,0,2,2.0,5,2,2,-2.0
0,20172018,Salisbury School,USHS-Prep,47622,9,8,,28,,17,
0,20172018,Central Illinois Flying Aces,USHL,172056,0,0,2.0,4,2,0,-1.0
0,20182019,Belarus U18,WJC-18,17773,3,0,10.0,5,10,3,0.0
0,20182019,Salisbury School,USHS-Prep,47622,9,7,,28,,16,
0,20192020,Prince Albert Raiders,WHL,7891,30,22,29.0,58,29,52,14.0
0,20192020,Belarus U20,WJC-20 D1A,17797,2,1,4.0,5,4,3,4.0
0,20202021,Dinamo Minsk,KHL,17224,3,3,64.0,56,64,6,-12.0
0,20212022,Dinamo Minsk,KHL,17224,17,9,12.0,40,12,26,9.0
0,20212022,Belarus,OGQ,17485,0,0,2.0,3,2,0,-1.0
