,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus
0,20152016,Leksands IF U16 2,U16 Div.1,202704,1,0,0,1,0,1,
0,20162017,Leksands IF U16,U16 SM,44077,0,0,0,3,0,0,
0,20162017,Leksands IF U16,U16 Region,44422,1,2,2,12,2,3,
0,20162017,Leksands IF U16 2,U16 Div.1,202704,4,2,2,8,2,6,
0,20172018,Leksands IF J18,J18 Region,7128,0,0,0,1,0,0,
0,20172018,Leksands IF J18,J18 Nationell,7888,3,1,0,10,0,4,0.0
0,20172018,Dalarna,TV-Pucken,10956,2,0,0,5,0,2,
0,20172018,Leksands IF U16,U16 Region,44422,19,19,22,25,22,38,
0,20182019,Leksands IF J18,J18 Region,7128,4,3,0,12,0,7,
0,20182019,Leksands IF J18,J18 Nationell,7888,7,15,2,16,2,22,15.0
0,20182019,Dalarna,TV-Pucken,10956,11,10,0,11,0,21,
0,20182019,Leksands IF U16,U16 Region,44422,11,14,6,14,6,25,
0,20192020,Leksands IF,SHL,1079,0,0,0,1,0,0,-1.0
0,20192020,Leksands IF J20,J20 Nationell,5839,14,21,8,38,8,35,31.0
0,20192020,Leksands IF J18,J18 Region,7128,1,2,0,1,0,3,
0,20192020,Sweden U17,WHC-17,61300,2,0,2,5,2,2,
0,20202021,Leksands IF,SHL,1079,1,0,2,22,2,1,-6.0
0,20202021,Leksands IF J20,J20 Nationell,5839,5,7,6,12,6,12,5.0
0,20202021,Leksands IF J18,J18 Region,7128,2,2,0,1,0,4,
0,20202021,Sweden U18,WJC-18,8573,2,7,0,7,0,9,3.0
0,20212022,Leksands IF,Champions HL,392,1,2,0,9,0,3,1.0
0,20212022,Leksands IF,SHL,1079,2,2,0,28,0,4,2.0
0,20212022,Mora IK,HockeyAllsvenskan,1520,1,1,0,3,0,2,2.0
0,20212022,Leksands IF J20,J20 Nationell,5839,5,4,0,8,0,9,2.0
0,20212022,Sweden U20,WJC-20,8596,1,4,0,7,0,5,4.0
