,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,shots,powerPlayGoals,gameWinningGoals,shortHandedGoals,plusMinus,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20102011,Wilkes-Barre Knights 13U AAA,AYHL 13U,222479,3,2,14.0,5,14,5,,,,,,,,,,,,,,,,,
0,20112012,Wilkes Barre Bant.,AYHL,1,33,28,39.0,27,39,61,,,,,,,,,,,,,,,,,
0,20122013,Wilkes Barre U16,AYHL,1,22,14,47.0,24,47,36,,,,,,,,,,,,,,,,,
0,20122013,Wilkes Barre U16,Other,2,33,28,,27,,61,,,,,,,,,,,,,,,,,
0,20132014,Cedar Rapids,USHL,1,13,6,32.0,56,32,19,,,,,,,,,,,,,,,,,
0,20132014,Russia,WJ18-A,2,0,0,0.0,5,0,0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
0,20142015,Brandon,WHL,1,46,15,42.0,60,42,61,,8.0,1.0,0.0,36.0,,,,,,,,,,,,
0,20152016,Brandon,WHL,1,52,21,16.0,62,16,73,,7.0,,1.0,64.0,,,,,,,,,,,,
0,20152016,Russia,WJC-A,2,8,0,2.0,7,2,8,8.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,
0,20152016,Brandon Wheat Kings,M-Cup,9071,2,0,4.0,3,4,2,,,,,-4.0,,,,,,,,,,,,
0,20152016,Brandon Wheat Kings,WHL,9591,52,21,16.0,62,16,73,,,,,64.0,,,,,,,,,,,,
0,20152016,Russia U20,WJC-20,17546,8,0,2.0,7,2,8,,,,,2.0,,,,,,,,,,,,
0,20162017,Philadelphia Flyers,National Hockey League,1,24,6,34.0,82,34,30,161.0,0.0,1.0,0.0,-7.0,1802:12,111.0,5.0,139:04,1430:49,0.0,3.73,0.0,0.0,232:19,166.0,2337.0
0,20162017,Russia,WC,17485,3,0,6.0,10,6,3,,,,,-1.0,,,,,,,,,,,,
0,20162017,Russia,EHT,64546,0,1,2.0,3,2,1,,,,,0.0,,,,,,,,,,,,
0,20172018,Philadelphia Flyers,National Hockey League,1,24,17,20.0,82,20,41,203.0,2.0,2.0,0.0,17.0,1980:32,148.0,5.0,145:13,1623:41,0.0,8.37,0.0,0.0,211:38,169.0,2372.0
0,20182019,Philadelphia Flyers,National Hockey League,1,19,7,32.0,82,32,26,145.0,0.0,1.0,0.0,-16.0,2059:11,123.0,2.0,127:24,1693:34,0.0,4.83,0.0,0.0,238:13,149.0,2369.0
0,20192020,Philadelphia Flyers,National Hockey League,1,23,13,24.0,69,24,36,150.0,7.0,3.0,0.0,11.0,1714:09,84.0,16.0,210:05,1314:34,0.0,8.7,1.0,1.0,189:30,111.0,2025.0
0,20202021,Philadelphia Flyers,National Hockey League,1,19,7,28.0,56,28,26,126.0,0.0,2.0,0.0,4.0,1399:55,56.0,10.0,133:51,1105:16,0.0,5.6,1.0,0.0,160:48,106.0,1709.0
0,20202021,Russia,WC,17485,2,0,0.0,8,0,2,,,,,0.0,,,,,,,,,,,,
0,20212022,Philadelphia Flyers,National Hockey League,1,22,9,34.0,79,34,31,170.0,1.0,1.0,0.0,-20.0,1966:20,74.0,7.0,176:48,1578:42,0.0,5.3,1.0,2.0,210:50,172.0,2348.0
