,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus,timeOnIce,shots,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20152016,Don Mills Flyers U16 AAA,GTHL U16,93540,48,25,44,45,44,73,,,,,,,,,,,,,,,,,
0,20152016,Team GTHL Red,OGC-16,154287,3,5,2,5,2,8,,,,,,,,,,,,,,,,,
0,20162017,Toronto Jr. Canadiens,OJHL,37610,28,13,36,42,36,41,,,,,,,,,,,,,,,,,
0,20162017,Canada East U19,WJAC-19,87362,0,0,0,4,0,0,,,,,,,,,,,,,,,,,
0,20162017,Canada Black U17,WHC-17,163780,0,0,0,1,0,0,,,,,,,,,,,,,,,,,
0,20172018,Canada U18,WJC-18,17193,2,1,2,5,2,3,4.0,,,,,,,,,,,,,,,,
0,20172018,Toronto Jr. Canadiens,OJHL,37610,37,21,74,48,74,58,,,,,,,,,,,,,,,,,
0,20172018,Canada East U19,WJAC-19,87362,4,2,0,4,0,6,,,,,,,,,,,,,,,,,
0,20172018,Canada U18,Hlinka Gretzky Cup,144760,2,3,8,5,8,5,,,,,,,,,,,,,,,,,
0,20182019,Boston College,NCAA,9670,7,6,39,35,39,13,-3.0,,,,,,,,,,,,,,,,
0,20192020,Boston College,NCAA,9670,15,6,39,34,39,21,5.0,,,,,,,,,,,,,,,,
0,20202021,Boston College,NCAA,9670,13,6,12,24,12,19,14.0,,,,,,,,,,,,,,,,
0,20212022,Arizona Coyotes,National Hockey League,1,1,2,6,10,6,3,-6.0,141:45,13.0,33.0,0.0,0.0,05:42,116:14,33.98,15.4,0.0,0.0,0.0,0.0,19:49,9.0,241.0
0,20212022,Boston College,NCAA,9670,14,19,14,24,14,33,13.0,,,,,,,,,,,,,,,,
0,20212022,Canada,OG,16922,1,1,2,5,2,2,0.0,,,,,,,,,,,,,,,,
