,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,timeOnIce,shots,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20142015,Dexter School,USHS-Prep,70258,4,3,0.0,31,0,0.0,7,,,,,,,,,,,,,,,,
0,20142015,Cape Cod Whalers U16,MHSL U16,154060,8,5,12.0,15,12,0.0,13,,,,,,,,,,,,,,,,
0,20152016,Dexter Southfield School,USHS-Prep,70972,15,11,,29,,,26,,,,,,,,,,,,,,,,
0,20152016,Cape Cod Whalers 16U AAA,MHSL U16,153713,8,5,18.0,12,18,,13,,,,,,,,,,,,,,,,
0,20152016,Team Orange,USA-S16,177844,2,1,2.0,5,2,,3,,,,,,,,,,,,,,,,
0,20162017,Youngstown Phantoms,USHL,27206,1,0,0.0,4,0,1.0,1,,,,,,,,,,,,,,,,
0,20162017,Dexter Southfield School,USHS-Prep,70972,19,16,,22,,,35,,,,,,,,,,,,,,,,
0,20162017,Cape Cod Whalers 18U AAA,MHSL U18,126264,8,4,8.0,14,8,,12,,,,,,,,,,,,,,,,
0,20162017,Cape Cod Whalers 18U AAA,18U AAA,126938,10,8,,23,,,18,,,,,,,,,,,,,,,,
0,20162017,Team Royal,USA-S17,177555,1,0,,5,,,1,,,,,,,,,,,,,,,,
0,20172018,Dexter Southfield School,USHS-Prep,70972,19,11,,17,,,30,,,,,,,,,,,,,,,,
0,20172018,Cape Cod Whalers 18U AAA,MHSL U18,126264,0,4,,8,,,4,,,,,,,,,,,,,,,,
0,20182019,Harvard Univ.,NCAA,13950,15,7,8.0,33,8,13.0,22,,,,,,,,,,,,,,,,
0,20192020,Harvard Univ.,NCAA,13950,24,7,16.0,28,16,0.0,31,,,,,,,,,,,,,,,,
0,20202021,Vancouver Canucks,National Hockey League,1,2,1,0.0,8,0,1.0,3,124:03,17.0,9.0,0.0,1.0,10:44,112:48,0.0,5.9,0.0,0.0,0.0,0.0,00:31,8.0,152.0
0,20202021,Utica Comets,AHL,152247,7,2,2.0,8,2,6.0,9,,,,,,,,,,,,,,,,
0,20212022,Vancouver Canucks,National Hockey League,1,0,0,2.0,9,2,-5.0,0,124:28,10.0,5.0,0.0,0.0,04:41,117:47,0.0,0.0,0.0,0.0,0.0,0.0,02:00,8.0,175.0
0,20212022,Abbotsford Canucks,AHL,33767,30,10,15.0,39,15,4.0,40,,,,,,,,,,,,,,,,
