,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus
0,20112012,Toronto Pro Hockey,Brick Invitational,128756,0,0,0,6,0,0,
0,20162017,Clarington Toros U16 AAA,ETAHL U16,112244,3,0,0,3,0,3,
0,20162017,Oshawa Generals Selects U15,WSI U15,222750,3,1,0,9,0,4,
0,20172018,Haliburton County Huskies,OJHL,37600,0,0,0,3,0,0,
0,20172018,Clarington Toros U16 AAA,ETAHL U16,112244,21,17,38,36,38,38,
0,20172018,Team OMHA White,OGC-16,156337,1,0,0,4,0,1,
0,20182019,Sudbury Wolves,OHL,6228,10,6,18,52,18,16,14.0
0,20182019,Canada Red U17,WHC-17,163770,0,0,6,6,6,0,
0,20192020,Sudbury Wolves,OHL,6228,19,13,20,63,20,32,-9.0
0,20202021,Syracuse Crunch,AHL,1057,1,0,0,1,0,1,2.0
0,20202021,Surahammars IF,HockeyEttan,4291,9,9,14,18,14,18,9.0
0,20212022,Sudbury Wolves,OHL,6228,15,8,24,29,24,23,1.0
0,20212022,Soo Greyhounds,OHL,6918,21,13,10,36,10,34,1.0
0,20212022,Canada U20,WJC-20,17216,3,1,2,7,2,4,10.0
