,season,team,league,sequenceNumber,shutouts,goalAgainstAverage,games,goalsAgainst,timeOnIce,ties,wins,losses,saves,savePercentage,shotsAgainst,ot,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShots,evenShots,powerPlayShots,gamesStarted,powerPlaySavePercentage,evenStrengthSavePercentage,shortHandedSavePercentage
0,20062007,Brynas U18,Swe-U18,1,0.0,2.05,13,27.0,,,,,,,,,,,,,,,,,,
0,20062007,Brynas Jr.,Swe-Jr.,2,0.0,2.77,1,3.0,,,,,,,,,,,,,,,,,,
0,20072008,Brynas U18,Swe-U18,1,0.0,3.0,1,3.0,,,,,,,,,,,,,,,,,,
0,20072008,Brynas Jr.,Swe-Jr.,2,2.0,2.0,22,44.0,,,,,,,,,,,,,,,,,,
0,20072008,Brynas,Sweden,3,0.0,3.12,7,22.0,,,,,,,,,,,,,,,,,,
0,20072008,Brynas,Sweden-Q,4,2.0,1.78,9,15.0,,,,,,,,,,,,,,,,,,
0,20072008,Sweden,WJ18-A,5,1.0,3.04,6,18.0,355:00,0.0,4.0,2.0,,,,,,,,,,,,,,
0,20082009,Brynas,Sweden,1,3.0,2.38,35,79.0,1992:00,,,,,,,,,,,,,,,,,
0,20082009,Sweden,WJC-A,3,1.0,1.61,5,8.0,298:00,0.0,4.0,1.0,,,,,,,,,,,,,,
0,20092010,Brynas,Sweden,1,5.0,2.01,43,85.0,2542:00,,,,,,,,,,,,,,,,,
0,20092010,Sweden,WJC-A,3,0.0,2.21,5,11.0,299:00,0.0,4.0,1.0,,,,,,,,,,,,,,
0,20092010,Sweden,WC-A,5,1.0,1.33,3,4.0,180:00,0.0,3.0,0.0,68.0,0.944444,72.0,,,,,,,,,,,
0,20102011,Florida Panthers,National Hockey League,1,0.0,3.013813,1,2.0,39:49,,0.0,1.0,12.0,0.857143,14.0,0.0,5.0,0.0,7.0,0.0,7.0,7.0,0.0,71.42857142857143,100.0,
0,20102011,Rochester,AHL,2,1.0,2.98,37,108.0,2174:00,1.0,16.0,20.0,1159.0,0.907,1051.0,,,,,,,,,,,
0,20112012,Florida Panthers,National Hockey League,1,0.0,2.661448,7,17.0,383:15,,2.0,4.0,205.0,0.923423,222.0,1.0,36.0,5.0,164.0,5.0,179.0,38.0,6.0,94.73684210526315,91.62011173184358,100.0
0,20112012,San Antonio,AHL,2,1.0,2.32,32,71.0,1839:00,1.0,17.0,12.0,908.0,0.927,979.0,,,,,,,,,,,
0,20122013,Florida Panthers,National Hockey League,1,0.0,3.223385,23,68.0,1265:45,,8.0,14.0,617.0,0.90073,685.0,1.0,74.0,14.0,529.0,14.0,580.0,91.0,23.0,81.31868131868131,91.20689655172414,100.0
0,20122013,Sweden,WC-A,2,0.0,1.58,3,5.0,190:00,0.0,2.0,1.0,71.0,0.934211,76.0,,,,,,,,,,,
0,20122013,San Antonio,AHL,3,3.0,2.65,33,87.0,1972:00,2.0,16.0,15.0,994.0,0.92,1081.0,,,,,,,,,,,
0,20132014,Florida Panthers,National Hockey League,1,0.0,3.519157,12,36.0,613:47,,1.0,6.0,249.0,0.873684,285.0,3.0,35.0,6.0,208.0,7.0,236.0,42.0,9.0,83.33333333333334,88.13559322033898,85.71428571428571
0,20132014,Vancouver Canucks,National Hockey League,2,0.0,3.006514,4,10.0,199:34,,1.0,2.0,66.0,0.868421,76.0,0.0,10.0,3.0,53.0,3.0,62.0,11.0,3.0,90.9090909090909,85.48387096774194,100.0
0,20132014,San Antonio,AHL,3,2.0,2.56,29,72.0,1688:00,3.0,12.0,11.0,803.0,0.918,875.0,,,,,,,,,,,
0,20142015,Vancouver Canucks,National Hockey League,1,0.0,3.091456,3,4.0,77:38,,1.0,1.0,29.0,0.878788,33.0,0.0,0.0,0.0,29.0,0.0,33.0,0.0,2.0,,87.87878787878788,
0,20142015,Utica,AHL,2,5.0,1.88,32,59.0,1880:00,2.0,22.0,7.0,836.0,0.934,895.0,,,,,,,,,,,
0,20142015,Utica Comets,AHL,152247,,1.88,32,,,,,,,0.934,,,,,,,,,,,,
0,20152016,Vancouver Canucks,National Hockey League,1,0.0,2.728109,33,84.0,1847:26,,13.0,14.0,904.0,0.91498,988.0,4.0,148.0,17.0,739.0,21.0,804.0,163.0,30.0,90.79754601226993,91.91542288557214,80.95238095238095
0,20152016,Sweden,WC,6815,,3.16,6,,,,,,,0.896,,,,,,,,,,,,
0,20152016,Utica Comets,AHL,152247,,2.4,2,,,,,,,0.909,,,,,,,,,,,,
0,20162017,Vancouver Canucks,National Hockey League,1,0.0,2.625326,26,62.0,1416:58,,10.0,11.0,630.0,0.910405,692.0,3.0,99.0,20.0,511.0,22.0,556.0,114.0,23.0,86.8421052631579,91.90647482014388,90.9090909090909
0,20162017,Sweden,WCup,8596,,1.0,1,,,,,,,0.964,,,,,,,,,,,,
0,20172018,Vancouver Canucks,National Hockey League,1,2.0,2.706727,60,154.0,3413:43,0.0,23.0,26.0,1591.0,0.911748,1745.0,7.0,193.0,53.0,1345.0,58.0,1457.0,230.0,57.0,83.91304347826087,92.31297185998628,91.37931034482759
0,20182019,Vancouver Canucks,National Hockey League,1,1.0,2.767423,60,166.0,3599:01,0.0,28.0,23.0,1730.0,0.912447,1896.0,9.0,213.0,49.0,1468.0,54.0,1599.0,243.0,60.0,87.65432098765432,91.80737961225766,90.74074074074075
0,20182019,Sweden,WC,6815,,4.0,2,,,,,,,0.843,,,,,,,,,,,,
0,20192020,Vancouver Canucks,National Hockey League,1,2.0,2.7509,43,117.0,2551:53,0.0,23.0,16.0,1303.0,0.918,1420.0,4.0,183.0,30.0,1090.0,32.0,1179.0,209.0,43.0,87.5598086124402,92.45122985581001,93.75
0,20202021,Calgary Flames,National Hockey League,1,3.0,2.6769,43,111.0,2487:56,0.0,22.0,19.0,1050.0,0.904,1161.0,2.0,146.0,42.0,862.0,47.0,941.0,173.0,43.0,84.39306358381504,91.60467587672689,89.36170212765957
0,20212022,Calgary Flames,National Hockey League,1,9.0,2.22413,63,137.0,3695:50,0.0,37.0,15.0,1617.0,0.922,1754.0,9.0,214.0,57.0,1346.0,58.0,1453.0,243.0,63.0,88.06584362139918,92.63592567102546,98.27586206896551
