,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,shots,powerPlayGoals,gameWinningGoals,shortHandedGoals,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20122013,Skellefteå AIK J18,J18 Allsvenskan,8339,0,0,0,15,0,-5.0,0,,,,,,,,,,,,,,,,
0,20122013,Västerbotten,TV-Pucken,11126,2,0,0,8,0,5.0,2,,,,,,,,,,,,,,,,
0,20122013,Skellefteå AIK U16,U16 SM,44117,5,0,2,6,2,,5,,,,,,,,,,,,,,,,
0,20132014,Skelleftea U18,Swe-U18,1,7,1,22,34,22,,8,,,,,,,,,,,,,,,,
0,20142015,HV 71 U18,Swe-U18,1,1,1,2,4,2,,2,,,,,,,,,,,,,,,,
0,20142015,HV 71 Jr.,Swe-Jr.,2,9,1,6,42,6,,10,,,,,,,,,,,,,,,,
0,20152016,HV 71 U18,Swe-U18,1,1,1,31,5,31,,2,,,,,,,,,,,,,,,,
0,20152016,HV 71 Jr.,Swe-Jr.,2,16,5,22,41,22,,21,,,,,,,,,,,,,,,,
0,20152016,HV 71,Sweden,3,0,0,0,4,0,,0,,,,,,,,,,,,,,,,
0,20152016,Sweden,WJ18-A,4,4,1,0,7,0,0.0,5,12.0,0.0,1.0,0.0,,,,,,,,,,,,
0,20152016,HV71,Champions HL,162,1,0,0,3,0,0.0,1,,,,,,,,,,,,,,,,
0,20152016,HV71,SHL,849,0,0,0,4,0,0.0,0,,,,,,,,,,,,,,,,
0,20152016,HV71 J20,J20 Nationell,5829,16,5,22,41,22,3.0,21,,,,,,,,,,,,,,,,
0,20152016,HV71 J18,J18 Region,7118,0,0,27,1,27,1.0,0,,,,,,,,,,,,,,,,
0,20152016,HV71 J18,J18 Nationell,7878,1,1,4,4,4,3.0,2,,,,,,,,,,,,,,,,
0,20152016,Sweden U18,WJC-18,8573,4,1,0,7,0,0.0,5,,,,,,,,,,,,,,,,
0,20152016,Sweden U18,Hlinka Gretzky Cup,158290,0,0,0,3,0,1.0,0,,,,,,,,,,,,,,,,
0,20162017,Mississauga Steelheads,OHL,126668,30,2,20,63,20,21.0,32,,,,,,,,,,,,,,,,
0,20172018,Sweden U20,WJC-20,8596,0,0,0,7,0,0.0,0,,,,,,,,,,,,,,,,
0,20172018,Mississauga Steelheads,OHL,126668,18,3,8,32,8,-9.0,21,,,,,,,,,,,,,,,,
0,20182019,Frölunda HC,Champions HL,232,1,0,6,8,6,8.0,1,,,,,,,,,,,,,,,,
0,20182019,Frölunda HC,SHL,919,3,4,10,42,10,-2.0,7,,,,,,,,,,,,,,,,
0,20192020,Frölunda HC,Champions HL,232,5,0,6,13,6,1.0,5,,,,,,,,,,,,,,,,
0,20192020,Frölunda HC,SHL,919,12,7,14,51,14,17.0,19,,,,,,,,,,,,,,,,
0,20202021,SaiPa,Liiga,949,5,0,29,11,29,-1.0,5,,,,,,,,,,,,,,,,
0,20202021,Ontario Reign,AHL,26957,14,1,0,26,0,2.0,15,,,,,,,,,,,,,,,,
0,20212022,Los Angeles Kings,National Hockey League,1,2,0,2,19,2,3.0,2,15.0,0.0,0.0,0.0,310:29,16.0,0.0,01:28,284:55,0.0,0.0,0.0,0.0,24:06,21.0,395.0
0,20212022,Ontario Reign,AHL,26957,7,3,8,30,8,6.0,10,,,,,,,,,,,,,,,,
