,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus,timeOnIce,shots,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20132014,HC Lidköping U16,U16 Div.1,176476,3,8,2,9,2,11,,,,,,,,,,,,,,,,,
0,20132014,HC Lidköping U16 2,U16 Div.2,197270,21,29,16,13,16,50,,,,,,,,,,,,,,,,,
0,20142015,HC Lidköping,Division 3,19165,12,9,6,13,6,21,,,,,,,,,,,,,,,,,
0,20142015,HC Lidköping J18,J18 Div.1,25708,19,22,14,17,14,41,,,,,,,,,,,,,,,,,
0,20142015,HC Lidköping U16,U16 Div.1,176476,20,30,35,14,35,50,,,,,,,,,,,,,,,,,
0,20152016,Frölunda HC J18,J18 Allsvenskan,6349,1,5,8,14,8,6,-1.0,,,,,,,,,,,,,,,,
0,20152016,Frölunda HC J18,J18 Region,7198,12,8,12,19,12,20,13.0,,,,,,,,,,,,,,,,
0,20162017,Frölunda HC J20,J20 Nationell,5919,12,15,8,44,8,27,0.0,,,,,,,,,,,,,,,,
0,20162017,Frölunda HC J18,J18 Allsvenskan,6349,1,3,6,3,6,4,3.0,,,,,,,,,,,,,,,,
0,20162017,Frölunda HC J18,J18 Region,7198,6,10,4,7,4,16,12.0,,,,,,,,,,,,,,,,
0,20162017,Sweden U18,WJC-18,8573,1,1,2,7,2,2,-1.0,,,,,,,,,,,,,,,,
0,20172018,Frölunda HC,Champions HL,232,0,0,0,1,0,0,1.0,,,,,,,,,,,,,,,,
0,20172018,Frölunda HC,SHL,919,0,0,0,9,0,0,-1.0,,,,,,,,,,,,,,,,
0,20172018,IF Björklöven,HockeyAllsvenskan,1380,2,3,2,10,2,5,2.0,,,,,,,,,,,,,,,,
0,20172018,Frölunda HC J20,J20 Nationell,5919,21,13,26,33,26,34,3.0,,,,,,,,,,,,,,,,
0,20182019,Frölunda HC,SHL,919,2,0,2,2,2,2,2.0,,,,,,,,,,,,,,,,
0,20182019,IF Björklöven,HockeyAllsvenskan,1380,13,14,16,49,16,27,-3.0,,,,,,,,,,,,,,,,
0,20192020,Frölunda HC,Champions HL,232,2,1,0,13,0,3,0.0,,,,,,,,,,,,,,,,
0,20192020,Frölunda HC,SHL,919,11,5,12,43,12,16,11.0,,,,,,,,,,,,,,,,
0,20202021,Färjestad BK,SHL,839,19,14,14,46,14,33,17.0,,,,,,,,,,,,,,,,
0,20212022,Dallas Stars,National Hockey League,1,5,12,12,65,12,17,-1.0,719:06,85.0,22.0,0.0,1.0,45:51,672:52,51.3,14.1,5.0,0.0,0.0,0.0,00:23,23.0,1026.0
0,20212022,Sweden,WC,6815,3,2,0,5,0,5,4.0,,,,,,,,,,,,,,,,
0,20212022,Texas Stars,AHL,45177,3,2,6,6,6,5,-1.0,,,,,,,,,,,,,,,,
