,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,powerPlayGoals,gameWinningGoals,shortHandedGoals,timeOnIce,shots,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20072008,Compuware Bantam Minor AAA,T1EMBHL,167820,8,4,28,31,28,0.0,12,,,,,,,,,,,,,,,,
0,20082009,Compuware Bantam Major AAA,T1EBHL,143939,13,4,54,31,54,0.0,17,,,,,,,,,,,,,,,,
0,20092010,Det. Compuware,T1EHL,1,14,14,40,38,40,,28,,,,,,,,,,,,,,,,
0,20092010,Det. Compuware,Exhib.,2,5,3,12,6,12,,8,,,,,,,,,,,,,,,,
0,20092010,Det. Comp. U-18,T1EHL,3,0,3,2,3,2,,3,,,,,,,,,,,,,,,,
0,20102011,USNTDP,USHL,1,4,3,31,31,31,-2.0,7,2.0,0.0,0.0,,,,,,,,,,,,,
0,20102011,USNTDP,U-17,2,12,4,18,17,18,,16,,,,,,,,,,,,,,,,
0,20102011,USNTDP,U-18,3,2,1,10,10,10,,3,,,,,,,,,,,,,,,,
0,20112012,USNTDP,USHL,1,14,4,35,22,35,,18,,,,,,,,,,,,,,,,
0,20112012,USNTDP,U-18,2,9,5,36,32,36,,14,,,,,,,,,,,,,,,,
0,20112012,U.S.A.,WJC-A,3,2,0,0,6,0,-1.0,2,0.0,0.0,0.0,,,,,,,,,,,,,
0,20112012,U.S.A.,WJ18-A,4,2,1,8,6,8,5.0,3,1.0,0.0,0.0,,,,,,,,,,,,,
0,20122013,U. of Michigan,CCHA,1,17,12,88,37,88,,29,7.0,2.0,0.0,,,,,,,,,,,,,
0,20122013,U.S.A.,WJC-A,2,5,4,10,7,10,2.0,9,3.0,0.0,0.0,,,,,,,,,,,,,
0,20122013,U.S.A.,WC-A,3,2,1,2,7,2,-1.0,3,1.0,0.0,0.0,,,,,,,,,,,,,
0,20132014,Winnipeg Jets,National Hockey League,1,19,10,43,65,43,4.0,29,0.0,1.0,1.0,1458:22,121.0,95.0,3.0,128:14,1139:44,0.0,8.26,1.0,1.0,190:24,132.0,1754.0
0,20132014,U.S.A.,WC-A,2,1,2,8,4,8,-5.0,3,1.0,1.0,0.0,,16.0,,,,,,12.5,,,,,
0,20142015,Winnipeg Jets,National Hockey League,1,15,7,46,65,46,2.0,22,1.0,0.0,0.0,1515:34,133.0,97.0,6.0,126:15,1171:18,0.0,5.26,0.0,0.0,218:01,120.0,1904.0
0,20152016,Winnipeg Jets,National Hockey League,1,15,6,62,81,62,10.0,21,0.0,0.0,1.0,1787:23,133.0,144.0,4.0,104:24,1462:37,0.0,4.51,0.0,2.0,220:22,177.0,2153.0
0,20162017,Winnipeg Jets,National Hockey League,1,25,8,54,60,54,4.0,33,2.0,1.0,0.0,1497:48,154.0,107.0,4.0,100:24,1217:40,0.0,5.19,0.0,1.0,179:44,118.0,1716.0
0,20162017,USA,WC,17215,2,1,2,8,2,5.0,3,,,,,,,,,,,,,,,,
0,20162017,Team North America,WCup,176776,0,0,0,2,0,-1.0,0,,,,,,,,,,,,,,,,
0,20172018,Winnipeg Jets,National Hockey League,1,21,3,34,55,34,9.0,24,0.0,2.0,0.0,1204:23,144.0,84.0,3.0,81:00,985:04,0.0,2.08,0.0,1.0,138:19,100.0,1403.0
0,20182019,Winnipeg Jets,National Hockey League,1,42,8,58,82,58,8.0,50,3.0,1.0,1.0,1876:00,162.0,112.0,18.0,168:52,1505:11,0.0,4.94,1.0,3.0,201:57,171.0,1997.0
0,20192020,New York Rangers,National Hockey League,1,20,7,61,70,61,-12.0,27,4.0,1.0,0.0,1579:30,168.0,173.0,8.0,125:01,1279:20,0.0,4.2,0.0,2.0,175:09,128.0,1908.0
0,20202021,New York Rangers,National Hockey League,1,10,2,22,38,22,3.0,12,0.0,1.0,0.0,816:40,70.0,111.0,1.0,59:17,672:12,0.0,2.9,0.0,0.0,85:11,84.0,1034.0
0,20212022,New York Rangers,National Hockey League,1,28,11,88,81,88,25.0,39,1.0,1.0,0.0,1816:56,204.0,207.0,4.0,97:10,1551:15,0.0,5.4,0.0,2.0,168:31,177.0,2240.0
