,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,timeOnIce,shots,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20122013,Saskatoon Stallions Bantam AA,GSHL,135354,6,20,30,23,30,0.0,26,,,,,,,,,,,,,,,,
0,20132014,Saskatoon Stallions Bantam AA,SBAAHL,135580,28,31,69,31,69,0.0,59,,,,,,,,,,,,,,,,
0,20142015,Saskatoon Blazers,SMHL,47011,20,15,30,38,30,0.0,35,,,,,,,,,,,,,,,,
0,20152016,Regina Pats,WHL,9641,9,7,38,66,38,-18.0,16,,,,,,,,,,,,,,,,
0,20152016,Canada Black U17,WHC-17,163780,1,1,4,5,4,,2,,,,,,,,,,,,,,,,
0,20152016,Team Black,U17-Dev,178209,0,0,0,3,0,,0,,,,,,,,,,,,,,,,
0,20162017,Regina Pats,WHL,9641,23,17,22,47,22,14.0,40,,,,,,,,,,,,,,,,
0,20172018,Regina Pats,M-Cup,9121,0,1,6,5,6,-1.0,1,,,,,,,,,,,,,,,,
0,20172018,Regina Pats,WHL,9641,22,18,67,64,67,-12.0,40,,,,,,,,,,,,,,,,
0,20182019,Chicago Wolves,AHL,957,0,0,0,3,0,0.0,0,,,,,,,,,,,,,,,,
0,20182019,Lethbridge Hurricanes,WHL,8951,25,24,30,44,30,17.0,49,,,,,,,,,,,,,,,,
0,20182019,Regina Pats,WHL,9641,16,16,18,24,18,-3.0,32,,,,,,,,,,,,,,,,
0,20192020,Chicago Wolves,AHL,957,4,4,20,61,20,-6.0,8,,,,,,,,,,,,,,,,
0,20202021,Henderson Silver Knights,AHL,307807,5,6,38,39,38,-7.0,11,,,,,,,,,,,,,,,,
0,20212022,Vegas Golden Knights,National Hockey League,1,4,2,8,41,8,-2.0,6,463:21,35.0,45.0,0.0,0.0,01:06,429:28,46.04,5.7,0.0,0.0,0.0,0.0,32:47,23.0,672.0
0,20212022,Henderson Silver Knights,AHL,307807,13,14,24,34,24,10.0,27,,,,,,,,,,,,,,,,
