,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,shots,powerPlayGoals,gameWinningGoals,shortHandedGoals,shotPct,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20092010,HC Kometa Brno U16,Czech U16,83447,0,0,4,4,4,0.0,0,,,,,,,,,,,,,,,,
0,20102011,HC Kometa Brno U16,Czech U16,83447,23,7,82,30,82,53.0,30,,,,,,,,,,,,,,,,
0,20112012,Brno U18,CzR-U18,1,4,2,69,35,69,,6,,,,,,,,,,,,,,,,
0,20122013,Brno U18,CzR-U18,1,5,4,70,27,70,,9,,,,,,,,,,,,,,,,
0,20132014,Brno U18,CzR-U18,1,1,1,0,2,0,,2,,,,,,,,,,,,,,,,
0,20132014,Brno Jr.,CzRep-Jr.,2,16,5,57,36,57,,21,,,,,,,,,,,,,,,,
0,20132014,Czech Republic,WJ18-A,3,3,0,8,7,8,2.0,3,8.0,0.0,0.0,0.0,,,,,,,,,,,,
0,20142015,Saint John,QMJHL,1,20,13,73,44,73,2.0,33,108.0,10.0,3.0,0.0,12.0,,,,,,,,,,,
0,20152016,Saint John,QMJHL,1,14,6,57,50,57,10.0,20,,2.0,1.0,0.0,,,,,,,,,,,,
0,20152016,Czech Republic,WJC-A,2,1,0,31,5,31,2.0,1,6.0,0.0,0.0,0.0,,,,,,,,,,,,
0,20152016,Czechia U20,WJC-20,17046,1,0,31,5,31,2.0,1,,,,,,,,,,,,,,,,
0,20152016,Saint John Sea Dogs,QMJHL,21410,14,6,57,50,57,10.0,20,,,,,,,,,,,,,,,,
0,20162017,Czechia U20,WJC-20,17046,4,0,10,5,10,2.0,4,,,,,,,,,,,,,,,,
0,20162017,Saint John Sea Dogs,M-Cup,21151,2,0,6,4,6,0.0,2,,,,,,,,,,,,,,,,
0,20162017,Saint John Sea Dogs,QMJHL,21410,32,9,44,50,44,19.0,41,,,,,,,,,,,,,,,,
0,20172018,Providence Bruins,AHL,897,15,4,38,68,38,12.0,19,,,,,,,,,,,,,,,,
0,20182019,Boston Bruins,National Hockey League,1,0,0,0,2,0,0.0,0,1.0,0.0,0.0,0.0,0.0,21:52,3.0,0.0,00:00,21:48,0.0,0.0,0.0,00:04,0.0,42.0
0,20182019,Providence Bruins,AHL,897,15,4,38,56,38,3.0,19,,,,,,,,,,,,,,,,
0,20192020,Providence Bruins,AHL,897,16,3,46,58,46,20.0,19,,,,,,,,,,,,,,,,
0,20202021,Boston Bruins,National Hockey League,1,9,0,18,42,18,0.0,9,35.0,0.0,0.0,0.0,0.0,716:13,63.0,2.0,25:11,666:29,0.0,0.0,0.0,24:33,33.0,1009.0
0,20202021,HC Kometa Brno,Czechia,13876,7,1,4,18,4,-2.0,8,,,,,,,,,,,,,,,,
0,20212022,Boston Bruins,National Hockey League,1,3,0,4,10,4,1.0,3,13.0,0.0,0.0,0.0,0.0,157:15,24.0,0.0,00:41,150:09,0.0,0.0,0.0,06:25,10.0,212.0
