,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,timeOnIce,shots,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20092010,Compuware Bantam Minor AAA,T1EMBHL,167820,7,5,30,31,30,0,12,,,,,,,,,,,,,,,,
0,20102011,Compuware Bantam Major AAA,T1EBHL,143939,12,6,22,31,22,0,18,,,,,,,,,,,,,,,,
0,20112012,Oakland Jr. Grizzlies  U16,T1EHL U16,124488,8,1,41,39,41,0,9,,,,,,,,,,,,,,,,
0,20122013,Belle Tire U18,T1EHL U18,30137,18,3,18,40,18,0,21,,,,,,,,,,,,,,,,
0,20132014,Belle Tire U18,T1EHL U18,30137,15,11,40,37,40,0,26,,,,,,,,,,,,,,,,
0,20142015,Windsor Spitfires,OHL,8799,20,1,35,60,35,-19,21,,,,,,,,,,,,,,,,
0,20152016,Windsor Spitfires,OHL,9508,27,10,45,68,45,22,37,,,,,,,,,,,,,,,,
0,20162017,Windsor Spitfires,M-Cup,9291,0,0,6,4,6,2,0,,,,,,,,,,,,,,,,
0,20162017,Windsor Spitfires,OHL,9508,20,8,56,61,56,14,28,,,,,,,,,,,,,,,,
0,20172018,Utica Comets,AHL,152247,5,2,26,60,26,-2,7,,,,,,,,,,,,,,,,
0,20182019,Utica Comets,AHL,152247,6,0,15,34,15,-13,6,,,,,,,,,,,,,,,,
0,20192020,Utica Comets,AHL,152247,4,0,16,48,16,12,4,,,,,,,,,,,,,,,,
0,20202021,Vancouver Canucks,National Hockey League,1,1,0,12,18,12,-11,1,241:52,14.0,11.0,0.0,0.0,00:00,229:00,0.0,0.0,0.0,0.0,0.0,0.0,12:52,10.0,331.0
0,20212022,Carolina Hurricanes,National Hockey League,1,3,0,8,16,8,1,3,236:37,25.0,32.0,0.0,0.0,00:10,230:28,0.0,0.0,0.0,0.0,0.0,0.0,05:59,10.0,327.0
0,20212022,Chicago Wolves,AHL,957,12,6,33,44,33,14,18,,,,,,,,,,,,,,,,
