,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,powerPlayGoals,shortHandedGoals,plusMinus,faceOffPct,timeOnIce,shots,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,shotPct,gameWinningGoals,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20042005,Peninsula,VIJHL,2,2,1,2,4,2,3,,,,,,,,,,,,,,,,,
0,20052006,Peninsula,VIJHL,1,24,31,92,38,92,55,,,,,,,,,,,,,,,,,
0,20062007,Victoria,BCHL,1,23,42,78,53,78,65,,,,,,,,,,,,,,,,,
0,20072008,Kelowna,WHL,1,32,33,68,51,68,65,15.0,0.0,32.0,,,,,,,,,,,,,,
0,20082009,Kelowna,WHL,1,36,46,71,56,71,82,15.0,6.0,27.0,,,,,,,,,,,,,,
0,20082009,Canada,WJC-A,4,2,4,4,6,4,6,,,,0.0,,,,,,,,,,,,,
0,20092010,Dallas Stars,National Hockey League,1,19,22,45,82,45,41,2.0,0.0,-1.0,46.19,1205:44,182.0,186.0,7.0,156:44,1044:48,12.09,3.0,0.0,0.0,04:12,39.0,1716.0
0,20102011,Dallas Stars,National Hockey League,1,34,22,52,69,52,56,6.0,4.0,-5.0,43.08,1242:59,177.0,124.0,11.0,158:14,972:21,12.43,3.0,0.0,6.0,112:24,41.0,1681.0
0,20112012,Dallas Stars,National Hockey League,1,37,26,55,71,55,63,2.0,1.0,15.0,46.21,1283:19,203.0,136.0,10.0,162:55,1070:55,12.81,7.0,0.0,1.0,49:29,52.0,1695.0
0,20112012,Canada,WC-A,2,2,3,4,8,4,5,0.0,0.0,4.0,,,,,,,,,1.0,,,,,
0,20122013,Dallas Stars,National Hockey League,1,21,12,40,41,40,33,3.0,0.0,-12.0,46.12,816:19,110.0,71.0,10.0,136:03,662:10,10.91,3.0,0.0,0.0,18:06,32.0,948.0
0,20122013,Hamburg Freez.,Germany,2,13,7,30,19,30,20,,,,,,,,,,,,,,,,,
0,20132014,Dallas Stars,National Hockey League,1,45,34,64,81,64,79,5.0,1.0,21.0,52.83,1551:20,279.0,118.0,19.0,297:23,1194:17,12.19,3.0,1.0,3.0,59:40,60.0,2029.0
0,20132014,Canada,Olympics,2,0,2,4,6,4,2,0.0,0.0,1.0,,,18.0,,,,,,2.0,,,,,
0,20142015,Dallas Stars,National Hockey League,1,52,35,64,82,64,87,10.0,2.0,1.0,51.74,1635:44,253.0,120.0,23.0,292:29,1222:01,13.83,6.0,0.0,5.0,121:14,50.0,2224.0
0,20152016,Dallas Stars,National Hockey League,1,48,41,64,82,64,89,17.0,2.0,7.0,47.28,1641:48,247.0,156.0,30.0,262:27,1250:36,16.6,5.0,1.0,5.0,128:45,55.0,2191.0
0,20162017,Dallas Stars,National Hockey League,1,43,26,66,77,66,69,12.0,1.0,-9.0,51.46,1491:47,201.0,89.0,26.0,239:20,1140:15,12.94,4.0,2.0,1.0,112:12,47.0,2085.0
0,20172018,Dallas Stars,National Hockey League,1,43,36,54,82,54,79,9.0,1.0,20.0,52.48,1625:29,241.0,140.0,22.0,250:07,1261:50,14.94,7.0,1.0,2.0,113:32,62.0,2367.0
0,20182019,Dallas Stars,National Hockey League,1,26,27,56,78,56,53,8.0,0.0,14.0,49.04,1421:42,189.0,142.0,11.0,205:22,1187:58,14.29,2.0,0.0,0.0,28:22,71.0,1968.0
0,20192020,Dallas Stars,National Hockey League,1,20,19,53,69,53,39,8.0,0.0,-4.0,55.84,1134:09,163.0,167.0,14.0,165:25,949:37,11.7,4.0,2.0,0.0,19:07,57.0,1628.0
0,20202021,Dallas Stars,National Hockey League,1,24,11,33,52,33,35,3.0,0.0,13.0,56.07,924:45,124.0,73.0,9.0,134:25,764:15,8.9,2.0,2.0,0.0,26:05,27.0,1255.0
0,20212022,Dallas Stars,National Hockey League,1,28,18,88,82,88,46,3.0,1.0,-13.0,55.22,1373:16,182.0,143.0,11.0,167:32,1145:19,9.9,2.0,2.0,1.0,60:25,60.0,1989.0
