,season,team,league,sequenceNumber,assists,goals,games,points,pim,penaltyMinutes,powerPlayGoals,gameWinningGoals,shortHandedGoals,plusMinus,shots,shotPct,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20112012,North Shore W.C.,Minor-BC,1,70,83,74,153,,,,,,,,,,,,,,,,,,,
0,20112012,Van. NW Giants,BCMML,2,5,2,6,7,0.0,0,,,,,,,,,,,,,,,,,
0,20122013,Van. NW Giants,BCMML,1,45,14,37,59,14.0,14,,,,,,,,,,,,,,,,,
0,20122013,Prince George,WHL,2,0,0,5,0,2.0,2,0.0,0.0,0.0,-3.0,,,,,,,,,,,,,
0,20132014,Prince George,WHL,1,24,10,67,34,18.0,18,1.0,,0.0,-9.0,,,,,,,,,,,,,
0,20142015,Prince George,WHL,1,59,20,70,79,45.0,45,3.0,4.0,1.0,7.0,,,,,,,,,,,,,
0,20152016,Prince George,WHL,1,33,24,69,57,51.0,51,6.0,,0.0,-11.0,,,,,,,,,,,,,
0,20152016,Manitoba,AHL,2,2,1,6,3,2.0,2,0.0,0.0,0.0,1.0,7.0,14.3,,,,,,,,,,,
0,20152016,Manitoba Moose,AHL,877,2,1,6,3,2.0,2,,,,1.0,,,,,,,,,,,,,
0,20152016,Prince George Cougars,WHL,9621,33,24,69,57,51.0,51,,,,-11.0,,,,,,,,,,,,,
0,20162017,Manitoba Moose,AHL,877,2,2,4,4,4.0,4,,,,3.0,,,,,,,,,,,,,
0,20162017,Prince George Cougars,WHL,9621,51,21,64,72,48.0,48,,,,19.0,,,,,,,,,,,,,
0,20172018,Manitoba Moose,AHL,877,11,2,46,13,17.0,17,,,,6.0,,,,,,,,,,,,,
0,20172018,Jacksonville Icemen,ECHL,41615,4,2,6,6,4.0,4,,,,0.0,,,,,,,,,,,,,
0,20182019,Manitoba Moose,AHL,877,16,15,70,31,37.0,37,,,,-2.0,,,,,,,,,,,,,
0,20192020,Winnipeg Jets,National Hockey League,1,5,2,29,7,5.0,5,0.0,0.0,0.0,-2.0,29.0,6.9,308:01,8.0,0.0,02:02,305:59,0.0,0.0,0.0,00:00,10.0,408.0
0,20192020,Manitoba Moose,AHL,877,24,7,30,31,28.0,28,,,,4.0,,,,,,,,,,,,,
0,20202021,Winnipeg Jets,National Hockey League,1,1,1,26,2,4.0,4,0.0,0.0,0.0,-2.0,16.0,6.3,218:19,11.0,0.0,01:20,216:59,61.11,0.0,0.0,00:00,3.0,295.0
0,20212022,Winnipeg Jets,National Hockey League,1,6,7,77,13,15.0,15,0.0,0.0,0.0,-8.0,67.0,10.4,729:42,51.0,0.0,03:57,724:40,63.64,0.0,0.0,01:05,18.0,992.0
