,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus,faceOffPct,powerPlayGoals,shortHandedGoals,gameWinningGoals,timeOnIce,shots,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,shotPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20052006,Washington Little Caps 13U AAA,AYHL 13U,222359,3,1,40,28,40,4,,,,,,,,,,,,,,,,,
0,20062007,Severna Park High,USHS-MD,179611,5,3,8,5,8,8,0.0,,,,,,,,,,,,,,,,
0,20072008,Washington Jr. Nationals,AtJHL,46885,8,4,44,39,44,12,0.0,,,,,,,,,,,,,,,,
0,20082009,USNTDP,NAHL,1,13,2,53,42,53,15,,,,,,,,,,,,,,,,,
0,20082009,USNTDP,U-17,2,1,3,12,16,12,4,,0.0,,,,,,,,,,,,,,,
0,20082009,USNTDP,U-18,3,1,0,0,1,0,1,,0.0,,,,,,,,,,,,,,,
0,20092010,USNTDP,USHL,1,5,4,68,26,68,9,,0.0,,,,,,,,,,,,,,,
0,20092010,USNTDP,U-18,2,6,2,37,39,37,8,,0.0,,,,,,,,,,,,,,,
0,20092010,U.S.A.,WJ18-A,5,1,1,10,7,10,2,,0.0,,,,,,,,,,,,,,,
0,20102011,London,OHL,1,13,1,140,63,140,14,-8.0,,0.0,0.0,,,,,,,,,,,,,
0,20112012,London,OHL,1,14,2,63,48,63,16,39.0,,0.0,0.0,,,,,,,,,,,,,
0,20112012,U.S.A.,WJC-A,2,1,1,6,6,6,2,7.0,,0.0,0.0,0.0,,,,,,,,,,,,
0,20122013,Montréal Canadiens,National Hockey League,1,2,0,2,8,2,2,5.0,0.0,0.0,0.0,0.0,93:42,5.0,14.0,0.0,00:00,86:28,0.0,0.0,0.0,07:14,6.0,131.0
0,20122013,Hamilton,AHL,2,11,2,71,67,71,13,-14.0,,0.0,0.0,0.0,,70.0,,,,,2.86,,,,,
0,20132014,Montréal Canadiens,National Hockey League,1,2,0,40,22,40,2,-2.0,0.0,0.0,0.0,0.0,319:41,10.0,42.0,0.0,02:26,268:45,0.0,0.0,0.0,48:30,27.0,438.0
0,20132014,Hamilton,AHL,2,6,3,70,47,70,9,-4.0,,0.0,0.0,1.0,,73.0,,,,,4.1,,,,,
0,20142015,Montréal Canadiens,National Hockey League,1,2,0,19,13,19,2,-5.0,0.0,0.0,0.0,0.0,156:52,5.0,20.0,0.0,00:00,151:55,0.0,0.0,0.0,04:57,18.0,211.0
0,20142015,Hamilton,AHL,2,6,1,36,44,36,7,9.0,,0.0,0.0,0.0,,53.0,,,,,1.9,,,,,
0,20152016,Montréal Canadiens,National Hockey League,1,0,0,5,3,5,0,-3.0,0.0,0.0,0.0,0.0,39:18,0.0,5.0,0.0,00:00,36:35,0.0,0.0,0.0,02:43,4.0,50.0
0,20152016,Arizona Coyotes,National Hockey League,2,0,0,12,7,12,0,-2.0,0.0,0.0,0.0,0.0,103:41,3.0,17.0,0.0,00:36,86:40,0.0,0.0,0.0,16:25,7.0,146.0
0,20152016,St. John's,AHL,99,2,0,6,6,6,2,3.0,,0.0,0.0,0.0,,6.0,,,,,0.0,,,,,
0,20152016,St. John's IceCaps,AHL,99687,2,0,6,6,6,2,3.0,,,,,,,,,,,,,,,,
0,20162017,Tucson Roadrunners,AHL,218897,10,1,102,64,102,11,-6.0,,,,,,,,,,,,,,,,
0,20172018,Wilkes-Barre/Scranton Penguins,AHL,1077,16,5,86,62,86,21,19.0,,,,,,,,,,,,,,,,
0,20182019,Milwaukee Admirals,AHL,1017,14,8,85,75,85,22,0.0,,,,,,,,,,,,,,,,
0,20192020,Nashville Predators,National Hockey League,1,4,1,34,28,34,5,-1.0,0.0,0.0,0.0,0.0,465:11,20.0,71.0,0.0,00:15,423:55,5.0,0.0,1.0,41:01,36.0,579.0
0,20192020,Milwaukee Admirals,AHL,1017,6,0,55,32,55,6,11.0,,,,,,,,,,,,,,,,
0,20202021,Nashville Predators,National Hockey League,1,0,0,4,7,4,0,-1.0,0.0,0.0,0.0,0.0,116:01,8.0,12.0,0.0,00:25,96:36,0.0,0.0,0.0,19:00,11.0,157.0
0,20202021,Boston Bruins,National Hockey League,2,1,0,7,14,7,1,-5.0,0.0,0.0,0.0,0.0,243:05,22.0,44.0,0.0,00:00,199:59,0.0,0.0,0.0,43:06,19.0,307.0
0,20212022,New York Rangers,National Hockey League,1,0,1,7,7,7,1,-5.0,0.0,0.0,0.0,1.0,89:54,5.0,17.0,0.0,00:41,88:35,20.0,0.0,0.0,00:38,8.0,129.0
0,20212022,Hartford Wolf Pack,AHL,847,4,1,56,32,56,5,-4.0,,,,,,,,,,,,,,,,
