,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,powerPlayGoals,gameWinningGoals,shortHandedGoals,plusMinus,shots,shotPct,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20072008,Gatineau Intrépide Espoir,QMEAA,113906,21,23,6,26,6,44,,,,,,,,,,,,,,,,,
0,20082009,Gatineau,QAAA,1,16,15,6,37,6,31,,,,,,,,,,,,,,,,,
0,20092010,Gatineau,QMJHL,1,15,16,20,62,20,31,2.0,1.0,0.0,4.0,,,,,,,,,,,,,
0,20102011,Gatineau,QMJHL,1,47,32,22,67,22,79,12.0,6.0,1.0,23.0,187.0,17.11,,,,,,,,,,,
0,20112012,Gatineau,QMJHL,1,16,23,12,23,12,39,4.0,3.0,2.0,0.0,,,,,,,,,,,,,
0,20112012,Chicoutimi,QMJHL,2,17,9,13,23,13,26,3.0,2.0,0.0,0.0,,,,,,,,,,,,,
0,20122013,Ottawa Senators,National Hockey League,1,2,2,0,9,0,4,0.0,2.0,0.0,3.0,14.0,14.29,103:28,11.0,0.0,00:47,95:14,48.78,0.0,0.0,07:27,3.0,154.0
0,20122013,Binghamton,AHL,2,22,7,33,69,33,29,1.0,1.0,2.0,8.0,119.0,5.88,,,,,,,,,,,
0,20132014,Ottawa Senators,National Hockey League,1,0,2,12,28,12,2,0.0,0.0,0.0,-5.0,31.0,6.45,286:57,41.0,0.0,00:06,241:31,47.97,0.0,0.0,45:20,12.0,455.0
0,20132014,Binghamton,AHL,2,24,20,23,46,23,44,6.0,5.0,3.0,15.0,116.0,17.2,,,,,,,,,,,
0,20142015,Ottawa Senators,National Hockey League,1,9,10,9,50,9,19,0.0,2.0,2.0,4.0,97.0,10.31,709:22,158.0,0.0,08:49,602:52,49.19,0.0,2.0,97:41,20.0,1019.0
0,20142015,Binghamton,AHL,2,10,11,27,27,27,21,1.0,2.0,3.0,9.0,103.0,10.7,,,,,,,,,,,
0,20152016,Ottawa Senators,National Hockey League,1,24,19,26,82,26,43,1.0,2.0,7.0,17.0,133.0,14.29,1369:35,166.0,2.0,68:35,1128:55,52.17,0.0,9.0,172:05,60.0,1892.0
0,20162017,Ottawa Senators,National Hockey League,1,21,12,24,82,24,33,0.0,2.0,0.0,13.0,169.0,7.1,1322:43,161.0,0.0,28:38,1115:33,54.81,0.0,2.0,178:32,79.0,1878.0
0,20172018,Ottawa Senators,National Hockey League,1,15,14,36,78,36,29,1.0,2.0,1.0,-14.0,147.0,9.52,1305:38,131.0,2.0,80:37,1070:04,51.19,1.0,1.0,154:57,69.0,1789.0
0,20172018,Canada,WC,17155,4,1,12,10,12,5,,,,3.0,,,,,,,,,,,,,
0,20182019,Ottawa Senators,National Hockey League,1,8,4,14,39,14,12,0.0,0.0,0.0,-12.0,83.0,4.82,695:57,63.0,0.0,35:30,582:44,53.85,0.0,0.0,77:43,38.0,932.0
0,20192020,Ottawa Senators,National Hockey League,1,16,24,32,60,32,40,4.0,5.0,3.0,10.0,135.0,17.8,1157:33,116.0,9.0,98:42,918:29,53.24,1.0,6.0,140:22,48.0,1691.0
0,20192020,New York Islanders,National Hockey League,2,0,2,17,7,17,2,1.0,0.0,0.0,-6.0,16.0,12.5,125:58,12.0,1.0,20:29,94:35,55.73,0.0,0.0,10:54,5.0,172.0
0,20202021,New York Islanders,National Hockey League,1,14,14,10,54,10,28,5.0,3.0,2.0,10.0,81.0,17.3,906:40,111.0,8.0,96:35,735:43,56.66,0.0,2.0,74:22,58.0,1267.0
0,20212022,New York Islanders,National Hockey League,1,21,18,30,77,30,39,4.0,0.0,1.0,0.0,126.0,14.3,1360:56,171.0,7.0,159:15,1054:05,55.33,0.0,4.0,147:36,53.0,1845.0
