,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,faceOffPct,points,powerPlayGoals,shortHandedGoals,plusMinus,timeOnIce,shots,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,shotPct,gameWinningGoals,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20072008,Tor. Young Nats,GTHL,1,35,62,139,50,139,0.0,97,,,,,,,,,,,,,,,,
0,20082009,Kitchener,OHL,1,24,27,34,63,34,,51,7.0,0.0,-5.0,,,,,,,,,,,,,
0,20092010,Kitchener,OHL,1,40,50,72,64,72,,90,21.0,1.0,7.0,,,,,,,,,,,,,
0,20102011,Carolina Hurricanes,National Hockey League,1,32,31,46,82,46,36.94,63,6.0,0.0,3.0,1371:59,215.0,70.0,18.0,260:15,1109:12,14.42,2.0,0.0,0.0,02:32,28.0,1818.0
0,20102011,Canada,WC-A,2,3,3,8,7,8,,6,0.0,0.0,3.0,,,,,,,,1.0,,,,,
0,20112012,Carolina Hurricanes,National Hockey League,1,24,20,56,64,56,42.14,44,4.0,0.0,-8.0,1191:59,210.0,44.0,13.0,215:09,962:14,9.52,5.0,0.0,0.0,14:36,15.0,1543.0
0,20112012,Canada,WC-A,2,2,3,4,8,4,,5,1.0,0.0,3.0,,,,,,,,0.0,,,,,
0,20122013,Carolina Hurricanes,National Hockey League,1,11,13,26,42,26,47.73,24,5.0,0.0,-21.0,775:28,159.0,21.0,9.0,117:06,654:24,8.18,0.0,0.0,0.0,03:58,11.0,966.0
0,20122013,Canada,WC-A,2,2,2,2,8,2,,4,0.0,0.0,4.0,,,,,,,,2.0,,,,,
0,20132014,Carolina Hurricanes,National Hockey League,1,21,33,22,71,22,45.1,54,11.0,0.0,-14.0,1220:46,274.0,22.0,20.0,219:29,998:57,12.04,6.0,1.0,0.0,02:20,8.0,1631.0
0,20142015,Carolina Hurricanes,National Hockey League,1,13,18,18,77,18,45.65,31,4.0,0.0,-24.0,1235:42,235.0,47.0,7.0,162:14,1072:47,7.66,2.0,0.0,0.0,00:41,12.0,1636.0
0,20152016,Carolina Hurricanes,National Hockey League,1,23,28,38,82,38,42.55,51,4.0,0.0,-2.0,1335:29,258.0,21.0,7.0,159:47,1173:43,10.85,7.0,1.0,0.0,01:59,17.0,1711.0
0,20162017,Carolina Hurricanes,National Hockey League,1,26,37,28,79,28,37.04,63,7.0,0.0,-3.0,1401:21,281.0,33.0,15.0,179:36,1221:08,13.17,4.0,0.0,0.0,00:37,28.0,1724.0
0,20162017,Canada,WC,17155,5,4,27,10,27,,9,,,8.0,,,,,,,,,,,,,
0,20172018,Carolina Hurricanes,National Hockey League,1,25,24,34,82,34,43.33,49,4.0,0.0,-27.0,1370:03,277.0,35.0,9.0,172:14,1197:08,8.66,2.0,0.0,0.0,00:41,24.0,1745.0
0,20182019,Buffalo Sabres,National Hockey League,1,23,40,36,82,36,52.16,63,8.0,0.0,0.0,1518:29,268.0,31.0,16.0,252:36,1263:28,14.93,7.0,3.0,0.0,02:25,24.0,1721.0
0,20192020,Buffalo Sabres,National Hockey League,1,9,14,18,59,18,37.21,23,0.0,0.0,-22.0,972:34,183.0,29.0,3.0,146:10,826:21,7.7,1.0,0.0,0.0,00:03,11.0,1146.0
0,20202021,Buffalo Sabres,National Hockey League,1,7,7,14,53,14,46.67,14,1.0,0.0,-11.0,769:37,111.0,20.0,1.0,66:14,702:23,6.3,0.0,0.0,0.0,01:00,12.0,990.0
0,20212022,Buffalo Sabres,National Hockey League,1,30,33,42,80,42,40.63,63,5.0,0.0,-14.0,1368:18,262.0,29.0,11.0,225:00,1142:14,12.6,4.0,0.0,0.0,01:04,20.0,1669.0
