,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus,timeOnIce,shots,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20142015,Selects Hockey Academy 16U,USPHL 16U,112490,25,8,16.0,28,16,33,,,,,,,,,,,,,,,,,
0,20152016,Selects Academy 16U AAA,USPHL 16U,112846,30,19,18.0,27,18,49,,,,,,,,,,,,,,,,,
0,20152016,Team Black,USA-S15,177983,3,0,,5,,3,,,,,,,,,,,,,,,,,
0,20162017,USA U18,WJC-18,17253,3,3,6.0,7,6,6,2.0,,,,,,,,,,,,,,,,
0,20162017,U.S. National U18 Team,USDP,19564,11,8,10.0,22,10,19,,,,,,,,,,,,,,,,,
0,20162017,U.S. National U17 Team,USDP,19734,14,17,48.0,42,48,31,,,,,,,,,,,,,,,,,
0,20162017,USNTDP Juniors,USHL,52486,11,12,22.0,30,22,23,0.0,,,,,,,,,,,,,,,,
0,20162017,USA U17,WHC-17,61270,2,4,6.0,5,6,6,,,,,,,,,,,,,,,,,
0,20172018,USA U18,WJC-18,17253,4,4,6.0,7,6,8,1.0,,,,,,,,,,,,,,,,
0,20172018,U.S. National U18 Team,USDP,19564,43,33,44.0,62,44,76,,,,,,,,,,,,,,,,,
0,20172018,USNTDP Juniors,USHL,52486,25,15,18.0,26,18,40,26.0,,,,,,,,,,,,,,,,
0,20182019,Boston Univ.,NCAA,6890,19,17,57.0,37,57,36,4.0,,,,,,,,,,,,,,,,
0,20182019,USA U20,WJC-20,17276,2,3,2.0,7,2,5,2.0,,,,,,,,,,,,,,,,
0,20192020,Philadelphia Flyers,National Hockey League,1,13,8,39.0,52,39,21,6.0,733:29,81.0,31.0,1.0,2.0,70:27,649:10,30.0,9.9,1.0,0.0,0.0,0.0,13:52,18.0,1013.0
0,20192020,Lehigh Valley Phantoms,AHL,173347,1,3,2.0,5,2,4,3.0,,,,,,,,,,,,,,,,
0,20202021,Philadelphia Flyers,National Hockey League,1,18,20,28.0,55,28,38,0.0,881:00,122.0,48.0,3.0,7.0,109:55,689:30,40.0,16.4,1.0,0.0,0.0,0.0,81:35,21.0,1233.0
0,20212022,Philadelphia Flyers,National Hockey League,1,17,17,50.0,63,50,34,-11.0,1107:59,119.0,73.0,1.0,3.0,156:00,865:44,28.67,14.3,1.0,0.0,1.0,1.0,86:15,38.0,1493.0
