,season,team,league,sequenceNumber,assists,goals,games,points,pim,penaltyMinutes,plusMinus
0,20162017,Salisbury School,USHS-Prep,47622,12,12,30,24,,,
0,20172018,U.S. National U17 Team,USDP,19734,24,17,60,41,44.0,44,14.0
0,20172018,USNTDP Juniors,USHL,52486,16,9,34,25,18.0,18,11.0
0,20172018,USA U17,WHC-17,61270,0,1,6,1,4.0,4,
0,20182019,USA U18,WJC-18,17253,1,3,7,4,8.0,8,4.0
0,20182019,U.S. National U18 Team,USDP,19564,28,15,63,43,88.0,88,27.0
0,20182019,USNTDP Juniors,USHL,52486,14,6,27,20,64.0,64,15.0
0,20192020,Univ. of Michigan,NCAA,8590,7,9,31,16,31.0,31,7.0
0,20192020,USA U20,WJC-20,17276,0,0,5,0,2.0,2,-3.0
0,20202021,Univ. of Michigan,NCAA,8590,4,4,16,8,4.0,4,4.0
0,20212022,Providence Bruins,AHL,897,2,3,9,5,0.0,0,-7.0
0,20212022,Univ. of Michigan,NCAA,8590,9,6,34,15,41.0,41,3.0
