,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus
0,20072008,Philadelphia Flyers Elite 13UAAA,AYHL 13U,222329,27,27,10,29,10,54,
0,20082009,Philadelphia Flyers Elite 14UAAA,AYHL 14U,142570,27,14,20,28,20,41,
0,20092010,Virtua Hockey 16U,AYHL 16U,142091,18,11,29,34,29,29,0.0
0,20102011,Salisbury School,USHS-Prep,46908,11,11,0,27,0,22,0.0
0,20112012,Salisbury School,USHS-Prep,46908,21,7,16,28,16,28,0.0
0,20122013,Dubuque Fighting Saints,USHL,11658,35,13,14,59,14,48,8.0
0,20132014,Northeastern Univ.,NCAA,14720,15,7,20,37,20,22,-12.0
0,20142015,Northeastern Univ.,NCAA,14720,17,4,16,36,16,21,3.0
0,20152016,Northeastern Univ.,NCAA,15210,25,10,45,40,45,35,9.0
0,20162017,Bridgeport Islanders,AHL,827,1,0,0,8,0,1,3.0
0,20162017,Northeastern Univ.,NCAA,15210,23,5,20,25,20,28,3.0
0,20172018,Bridgeport Islanders,AHL,827,12,7,23,68,23,19,2.0
0,20182019,Bridgeport Islanders,AHL,827,4,3,21,25,21,7,2.0
0,20192020,Bridgeport Islanders,AHL,827,2,3,12,16,12,5,2.0
0,20192020,Utica Comets,AHL,152247,6,3,10,24,10,9,1.0
0,20202021,Utica Comets,AHL,152247,4,6,12,24,12,10,3.0
0,20212022,Abbotsford Canucks,AHL,33767,24,19,72,68,72,43,14.0
