,season,team,league,sequenceNumber,timeOnIce,shutouts,goalAgainstAverage,games,goalsAgainst,ties,wins,losses,shotsAgainst,savePercentage,ot,saves,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShots,evenShots,powerPlayShots,gamesStarted,powerPlaySavePercentage,shortHandedSavePercentage,evenStrengthSavePercentage
0,20102011,Brynas U18,Swe-U18,1,37:00,0.0,1.63,1,1.0,,,,,,,,,,,,,,,,,
0,20112012,Brynas U18,Swe-U18,1,1239:00,2.0,2.23,21,46.0,,,,,,,,,,,,,,,,,
0,20112012,Brynas Jr.,Swe-Jr.,2,237:00,0.0,3.29,5,13.0,,,,,,,,,,,,,,,,,
0,20122013,Brynas U18,Swe-U18,1,365:00,0.0,2.3,6,14.0,0.0,5.0,1.0,,,,,,,,,,,,,,
0,20122013,Brynas Jr.,Swe-Jr.,2,1689:00,0.0,2.98,29,84.0,0.0,14.0,15.0,,,,,,,,,,,,,,
0,20122013,Sweden,WJ18-A,3,216:00,1.0,2.23,4,8.0,0.0,2.0,2.0,116.0,,,,,,,,,,,,,
0,20132014,Brynas Jr.,Swe-Jr.,1,1345:00,1.0,2.32,23,52.0,0.0,13.0,9.0,,,,,,,,,,,,,,
0,20132014,Brynas,Sweden,2,243:00,0.0,2.96,4,12.0,0.0,2.0,2.0,,,,,,,,,,,,,,
0,20142015,Brynas,Sweden,1,105:00,0.0,6.3,2,11.0,0.0,0.0,2.0,,,,,,,,,,,,,,
0,20142015,Brynas Jr.,Swe-Jr.,2,763:00,0.0,3.62,13,46.0,0.0,6.0,6.0,,,,,,,,,,,,,,
0,20142015,Brynäs IF,SHL,819,,,6.3,2,,,,,,0.843,,,,,,,,,,,,
0,20142015,Almtuna IS,HockeyAllsvenskan,1360,,,2.58,9,,,,,,0.896,,,,,,,,,,,,
0,20142015,Brynäs IF J20,J20 Nationell,5789,,,3.62,13,,,,,,0.886,,,,,,,,,,,,
0,20152016,Almtuna,Sweden-2,1,2795:00,2.0,2.45,46,114.0,0.0,25.0,20.0,,,,,,,,,,,,,,
0,20152016,Almtuna IS,HockeyAllsvenskan,1360,,,2.39,42,,,,,,0.913,,,,,,,,,,,,
0,20162017,Brynäs IF,SHL,819,,,2.0,2,,,,,,0.92,,,,,,,,,,,,
0,20162017,Rochester Americans,AHL,1047,,,2.85,7,,,,,,0.892,,,,,,,,,,,,
0,20162017,Almtuna IS,HockeyAllsvenskan,1360,,,2.26,37,,,,,,0.913,,,,,,,,,,,,
0,20172018,Rochester Americans,AHL,1047,,,3.89,7,,,,,,0.861,,,,,,,,,,,,
0,20172018,Cincinnati Cyclones,ECHL,6395,,,3.13,27,,,,,,0.909,,,,,,,,,,,,
0,20182019,Rochester Americans,AHL,1047,,,2.26,5,,,,,,0.926,,,,,,,,,,,,
0,20182019,Cincinnati Cyclones,ECHL,6395,,,2.6,27,,,,,,0.908,,,,,,,,,,,,
0,20192020,Buffalo Sabres,National Hockey League,1,326:44,0.0,2.9382,6,16.0,0.0,1.0,3.0,151.0,0.894,1.0,135.0,10.0,4.0,121.0,4.0,135.0,12.0,5.0,83.33333333333334,100.0,89.62962962962962
0,20192020,Rochester Americans,AHL,1047,,,2.28,22,,,,,,0.921,,,,,,,,,,,,
0,20202021,Buffalo Sabres,National Hockey League,1,379:53,0.0,3.7906,7,24.0,0.0,0.0,5.0,207.0,0.884,1.0,183.0,23.0,2.0,158.0,2.0,179.0,26.0,6.0,88.46153846153845,100.0,88.26815642458101
0,20202021,Colorado Avalanche,National Hockey League,2,436:57,1.0,2.0597,8,15.0,0.0,5.0,1.0,173.0,0.913,1.0,158.0,29.0,2.0,127.0,2.0,139.0,32.0,7.0,90.625,100.0,91.36690647482014
0,20202021,Colorado Eagles,AHL,8957,,,5.11,1,,,,,,0.808,,,,,,,,,,,,
0,20212022,Colorado Avalanche,National Hockey League,1,370:18,0.0,3.72671,9,23.0,0.0,3.0,2.0,200.0,0.885,1.0,177.0,16.0,8.0,152.0,8.0,173.0,19.0,6.0,84.21052631578947,100.0,87.86127167630057
0,20212022,Florida Panthers,National Hockey League,2,116:13,0.0,7.74416,2,15.0,0.0,0.0,2.0,64.0,0.766,0.0,49.0,3.0,4.0,42.0,4.0,56.0,4.0,2.0,75.0,100.0,75.0
0,20212022,Charlotte Checkers,AHL,2357,,,3.67,1,,,,,,0.889,,,,,,,,,,,,
