,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,timeOnIce,shots,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20122013,Rungsted U17,Denmark U17,131811,9,9,2,14,2,0.0,18,,,,,,,,,,,,,,,,
0,20132014,Gladsaxe U20,Denmark U20,26392,4,3,2,7,2,0.0,7,,,,,,,,,,,,,,,,
0,20132014,Rungsted U17,Denmark U17,131811,24,29,6,19,6,0.0,53,,,,,,,,,,,,,,,,
0,20142015,Rungsted Seier Capital,Denmark,1416,1,3,0,30,0,-9.0,4,,,,,,,,,,,,,,,,
0,20142015,Denmark U18,WJC-18 D1A,16598,1,1,2,5,2,-1.0,2,,,,,,,,,,,,,,,,
0,20142015,Rungsted IK,Denmark2,17012,8,6,4,11,4,0.0,14,,,,,,,,,,,,,,,,
0,20142015,Rungsted U17,Denmark U17,131811,19,16,0,6,0,0.0,35,,,,,,,,,,,,,,,,
0,20152016,Rungsted Seier Capital,Denmark,1570,4,10,6,35,6,3.0,14,,,,,,,,,,,,,,,,
0,20152016,Denmark U18,WJC-18,17313,3,0,2,5,2,-5.0,3,,,,,,,,,,,,,,,,
0,20152016,Denmark U20,WJC-20,17336,1,0,2,5,2,-4.0,1,,,,,,,,,,,,,,,,
0,20152016,Rungsted U20,Denmark U20,26304,0,0,0,1,0,,0,,,,,,,,,,,,,,,,
0,20162017,Växjö Lakers HC,Champions HL,3502,0,0,0,4,0,0.0,0,,,,,,,,,,,,,,,,
0,20162017,Växjö Lakers HC,SHL,4189,0,0,0,5,0,0.0,0,,,,,,,,,,,,,,,,
0,20162017,Växjö Lakers HC J20,J20 Nationell,14929,22,9,4,42,4,13.0,31,,,,,,,,,,,,,,,,
0,20162017,Växjö Lakers HC J18,J18 Region,14938,0,1,0,1,0,2.0,1,,,,,,,,,,,,,,,,
0,20162017,Denmark U18,WJC-18 D1A,17315,5,4,2,5,2,-2.0,9,,,,,,,,,,,,,,,,
0,20162017,Denmark U20,WJC-20,17336,2,0,0,5,0,0.0,2,,,,,,,,,,,,,,,,
0,20172018,IF Troja-Ljungby,HockeyAllsvenskan,1580,0,1,2,5,2,-2.0,1,,,,,,,,,,,,,,,,
0,20172018,Växjö Lakers HC,Champions HL,3502,1,3,0,12,0,4.0,4,,,,,,,,,,,,,,,,
0,20172018,Växjö Lakers HC,SHL,4189,5,6,4,35,4,8.0,11,,,,,,,,,,,,,,,,
0,20172018,Växjö Lakers HC J20,J20 Nationell,14929,0,0,0,1,0,0.0,0,,,,,,,,,,,,,,,,
0,20172018,Denmark U20,WJC-20,17336,5,2,0,6,0,0.0,7,,,,,,,,,,,,,,,,
0,20182019,Växjö Lakers HC,Champions HL,3502,0,1,2,6,2,3.0,1,,,,,,,,,,,,,,,,
0,20182019,Växjö Lakers HC,SHL,4189,4,2,6,45,6,-9.0,6,,,,,,,,,,,,,,,,
0,20182019,Denmark U20,WJC-20,17336,1,1,0,6,0,-5.0,2,,,,,,,,,,,,,,,,
0,20192020,Chicago Wolves,AHL,957,0,0,0,1,0,0.0,0,,,,,,,,,,,,,,,,
0,20202021,Rungsted Seier Capital,Denmark,1570,2,0,0,5,0,,2,,,,,,,,,,,,,,,,
0,20202021,Henderson Silver Knights,AHL,307807,7,6,6,38,6,9.0,13,,,,,,,,,,,,,,,,
0,20212022,Vegas Golden Knights,National Hockey League,1,4,2,4,30,4,0.0,6,300:22,30.0,13.0,0.0,0.0,00:23,285:20,0.0,6.7,0.0,0.0,0.0,0.0,14:39,11.0,432.0
0,20212022,Henderson Silver Knights,AHL,307807,13,14,4,39,4,8.0,27,,,,,,,,,,,,,,,,
