,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,shots,powerPlayGoals,gameWinningGoals,shortHandedGoals,shotPct,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20082009,ZSC III U15,Mini B,10086674,0,1,2,2,2,0.0,1,,,,,,,,,,,,,,,,
0,20092010,ZSC U15,Top Mini,80432,2,0,6,7,6,0.0,2,,,,,,,,,,,,,,,,
0,20102011,ZSC U17,Elite Novizen,49425,0,0,0,2,0,0.0,0,,,,,,,,,,,,,,,,
0,20112012,Zurich U17,Swiss-U17,1,9,3,103,29,103,,12,,,,,,,,,,,,,,,,
0,20112012,Zurich Jr.,Swiss-Jr.,2,0,0,0,2,0,,0,,,,,,,,,,,,,,,,
0,20112012,GCK Zurich Jr.,Swiss-Jr.,3,2,0,4,7,4,,2,,,,,,,,,,,,,,,,
0,20122013,Zurich U17,Swiss-U17,1,7,1,20,5,20,,8,,,,,,,,,,,,,,,,
0,20122013,GCK Zurich Jr.,Swiss-Jr.,2,12,2,54,34,54,,14,,,,,,,,,,,,,,,,
0,20132014,GCK Zurich,Swiss-2,2,6,2,24,40,24,,8,,,,,,,,,,,,,,,,
0,20132014,Zurich,Swiss,3,0,0,2,6,2,,0,,,,,,,,,,,,,,,,
0,20142015,GCK Zurich,Swiss-2,1,7,1,10,10,10,,8,,,,,,,,,,,,,,,,
0,20142015,Zurich,Swiss,2,3,0,39,41,39,,3,,,,,,,,,,,,,,,,
0,20152016,Zurich,Swiss,1,5,3,28,40,28,,8,,,,,,,,,,,,,,,,
0,20152016,Switzerland,WJC-A,2,1,0,6,6,6,-4.0,1,11.0,0.0,0.0,0.0,,,,,,,,,,,,
0,20152016,Switzerland,WJ18-A,4,1,0,2,5,2,6.0,1,4.0,0.0,0.0,0.0,,,,,,,,,,,,
0,20152016,Hershey,AHL,5,1,0,8,6,8,-4.0,1,4.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
0,20152016,Hershey Bears,AHL,997,1,0,8,6,8,-4.0,1,,,,,,,,,,,,,,,,
0,20152016,ZSC,Champions HL,1292,1,1,4,5,4,2.0,2,,,,,,,,,,,,,,,,
0,20152016,ZSC,NL,2436,5,3,28,40,28,16.0,8,,,,,,,,,,,,,,,,
0,20152016,Switzerland U20,WJC-20,17756,1,0,6,6,6,-4.0,1,,,,,,,,,,,,,,,,
0,20162017,Hershey Bears,AHL,997,0,0,2,7,2,2.0,0,,,,,,,,,,,,,,,,
0,20162017,ZSC,Champions HL,1292,0,0,4,4,4,0.0,0,,,,,,,,,,,,,,,,
0,20162017,ZSC,NL,2436,6,1,16,28,16,1.0,7,,,,,,,,,,,,,,,,
0,20162017,Switzerland U20,WJC-20,17756,5,1,2,5,2,-1.0,6,,,,,,,,,,,,,,,,
0,20172018,Hershey Bears,AHL,997,6,6,61,75,61,-20.0,12,,,,,,,,,,,,,,,,
0,20182019,Washington Capitals,National Hockey League,1,4,0,10,26,10,6.0,4,12.0,0.0,0.0,0.0,0.0,367:59,31.0,0.0,00:13,340:24,0.0,0.0,0.0,27:22,44.0,481.0
0,20182019,Hershey Bears,AHL,997,4,2,30,34,30,3.0,6,,,,,,,,,,,,,,,,
0,20192020,Washington Capitals,National Hockey League,1,7,2,43,64,43,11.0,9,49.0,0.0,1.0,0.0,4.1,1006:39,51.0,0.0,00:37,802:16,0.0,0.0,0.0,203:46,105.0,1248.0
0,20202021,Washington Capitals,National Hockey League,1,0,0,2,7,2,-3.0,0,3.0,0.0,0.0,0.0,0.0,93:40,6.0,0.0,00:00,77:57,0.0,0.0,0.0,15:43,10.0,114.0
0,20202021,New Jersey Devils,National Hockey League,2,0,0,2,8,2,-6.0,0,4.0,0.0,0.0,0.0,0.0,140:35,14.0,0.0,00:29,124:27,0.0,0.0,0.0,15:39,7.0,178.0
0,20202021,Switzerland,WC,16145,1,0,6,7,6,2.0,1,,,,,,,,,,,,,,,,
0,20212022,New Jersey Devils,National Hockey League,1,13,1,42,70,42,-5.0,14,92.0,0.0,0.0,0.0,1.1,1439:05,98.0,0.0,01:53,1269:49,0.0,0.0,1.0,167:23,106.0,1690.0
0,20212022,Switzerland,WC,16145,4,1,4,8,4,8.0,5,,,,,,,,,,,,,,,,
