,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus
0,20122013,École De L'Odyssée M15 Maj,LHPS M15 Majeur,268661,8,4,10.0,29,10,12,
0,20132014,École De L'Odyssée M17 Maj,LHPS M17 Majeur,265749,2,0,0.0,4,0,2,
0,20132014,École De L'Odyssée M15 Maj,LHPS M15 Majeur,268661,8,13,24.0,18,24,21,
0,20142015,École De L'Odyssée M17 Maj,LHPS M17 Majeur,265749,3,1,2.0,3,2,4,
0,20152016,Ulysse Prep Varsity,CAHS,124216,22,7,,47,,29,
0,20162017,Moncton Wildcats,QMJHL,9630,9,3,37.0,64,37,12,-46.0
0,20172018,Moncton Wildcats,QMJHL,9630,19,7,71.0,67,71,26,6.0
0,20182019,Moncton Wildcats,QMJHL,9630,23,12,59.0,57,59,35,20.0
0,20192020,Belleville Senators,AHL,227817,14,2,39.0,44,39,16,14.0
0,20202021,Belleville Senators,AHL,227817,6,7,32.0,27,32,13,0.0
0,20212022,Belleville Senators,AHL,227817,13,5,52.0,47,52,18,-8.0
