,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,shots,powerPlayGoals,shotPct,gameWinningGoals,shortHandedGoals,plusMinus,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20102011,Lac St-Louis,QAAA,1,36,22,38,38,38,58,,,,,,,,,,,,,,,,,
0,20112012,Lac St-Louis,QAAA,1,29,21,35,21,35,50,,,,,,,,,,,,,,,,,
0,20112012,Halifax,QMJHL,2,22,7,12,33,12,29,79.0,3.0,8.86,2.0,0.0,-5.0,,,,,,,,,,,
0,20122013,Halifax,QMJHL,1,64,41,32,49,32,105,173.0,7.0,23.7,5.0,4.0,48.0,,,,,,,,,,,
0,20132014,Halifax,QMJHL,1,79,29,43,46,43,108,217.0,10.0,13.4,6.0,3.0,50.0,,,,,,,,,,,
0,20132014,Canada,WJC-A,2,6,3,24,7,24,9,17.0,1.0,,0.0,0.0,5.0,,,,,,,,,,,
0,20142015,Tampa Bay Lightning,National Hockey League,1,28,4,34,70,34,32,76.0,3.0,5.26,0.0,0.0,3.0,926:33,55.0,6.0,133:44,788:34,52.38,0.0,0.0,04:15,16.0,1170.0
0,20142015,Syracuse,AHL,2,2,1,0,2,0,3,9.0,0.0,11.1,1.0,0.0,4.0,,,,,,,,,,,
0,20152016,Tampa Bay Lightning,National Hockey League,1,6,4,4,21,4,10,25.0,0.0,16.0,1.0,0.0,1.0,303:18,18.0,2.0,42:19,260:30,47.37,0.0,0.0,00:29,2.0,379.0
0,20152016,Syracuse,AHL,2,2,11,12,17,12,13,55.0,5.0,20.0,0.0,0.0,-9.0,,,,,,,,,,,
0,20152016,Syracuse Crunch,AHL,1057,2,11,12,17,12,13,,,,,,-9.0,,,,,,,,,,,
0,20162017,Tampa Bay Lightning,National Hockey League,1,32,21,16,73,16,53,183.0,9.0,11.48,6.0,0.0,-13.0,1292:35,50.0,26.0,225:08,1067:03,43.64,1.0,0.0,00:24,16.0,1538.0
0,20162017,Team North America,WCup,176776,0,1,0,3,0,1,,,,,,2.0,,,,,,,,,,,
0,20172018,Montréal Canadiens,National Hockey League,1,33,13,30,77,30,46,164.0,4.0,7.93,4.0,0.0,-28.0,1355:09,55.0,22.0,252:09,1094:32,42.53,0.0,0.0,08:28,27.0,1596.0
0,20182019,Montréal Canadiens,National Hockey League,1,35,18,26,81,26,53,190.0,3.0,9.47,3.0,0.0,-8.0,1371:26,55.0,16.0,231:27,1134:47,42.05,1.0,0.0,05:12,23.0,1706.0
0,20192020,Montréal Canadiens,National Hockey League,1,8,7,14,27,14,15,51.0,1.0,13.7,1.0,0.0,-6.0,423:56,25.0,4.0,64:54,358:35,33.33,0.0,0.0,00:27,5.0,543.0
0,20202021,Montréal Canadiens,National Hockey League,1,21,2,20,44,20,23,76.0,0.0,2.6,0.0,0.0,-8.0,707:57,42.0,5.0,100:37,606:42,46.67,0.0,0.0,00:38,7.0,940.0
0,20212022,Montréal Canadiens,National Hockey League,1,14,6,23,34,23,20,62.0,0.0,9.7,0.0,0.0,-9.0,581:13,27.0,4.0,80:28,490:03,46.97,0.0,0.0,10:42,11.0,750.0
