,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,powerPlayGoals,gameWinningGoals,shortHandedGoals,plusMinus,shots,shotPct,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20082009,Saint-Eustache,QAAA,1,30,20,60,43,60,50,,,,,,,,,,,,,,,,,
0,20092010,Saint John,QMJHL,1,20,15,43,61,43,35,3.0,0.0,0.0,28.0,,,,,,,,,,,,,
0,20102011,Saint John,QMJHL,1,62,43,88,67,88,105,13.0,7.0,3.0,59.0,202.0,21.29,,,,,,,,,,,
0,20112012,Saint John,QMJHL,1,42,30,50,37,50,72,7.0,6.0,1.0,53.0,,,,,,,,,,,,,
0,20112012,Canada,WJC-A,2,8,1,16,6,16,9,1.0,0.0,0.0,8.0,,,,,,,,,,,,,
0,20122013,Florida Panthers,National Hockey League,1,17,14,18,48,18,31,2.0,1.0,0.0,-15.0,112.0,12.5,812:31,33.0,9.0,113:29,697:38,33.33,0.0,0.0,01:24,19.0,1040.0
0,20122013,Canada,WJC-A,3,6,3,4,6,4,9,2.0,1.0,0.0,0.0,,,,,,,,,,,,,
0,20122013,Saint John,QMJHL,99,29,16,48,30,48,45,5.0,3.0,0.0,-1.0,114.0,14.04,,,,,,,,,,,
0,20132014,Florida Panthers,National Hockey League,1,19,9,37,69,37,28,2.0,1.0,0.0,-5.0,108.0,8.33,1080:53,73.0,5.0,137:06,942:18,45.45,0.0,0.0,01:29,23.0,1497.0
0,20132014,Canada,WC-A,2,4,1,2,7,2,5,0.0,0.0,0.0,5.0,10.0,,,,,,,,,,,,
0,20142015,Florida Panthers,National Hockey League,1,39,15,38,79,38,54,0.0,0.0,0.0,10.0,169.0,8.88,1323:05,68.0,12.0,185:21,1127:24,25.0,0.0,0.0,10:20,24.0,1636.0
0,20152016,Florida Panthers,National Hockey League,1,39,20,43,76,43,59,4.0,2.0,1.0,17.0,174.0,11.49,1378:55,53.0,13.0,204:58,1133:59,38.89,0.0,1.0,39:58,36.0,1639.0
0,20162017,Florida Panthers,National Hockey League,1,16,10,13,31,13,26,3.0,2.0,0.0,-2.0,86.0,11.63,555:30,18.0,7.0,78:45,473:52,44.44,1.0,0.0,02:53,7.0,697.0
0,20172018,Florida Panthers,National Hockey League,1,42,27,32,82,32,69,7.0,4.0,0.0,-2.0,204.0,13.24,1574:55,41.0,19.0,278:02,1288:45,47.73,0.0,0.0,08:08,42.0,1912.0
0,20182019,Florida Panthers,National Hockey League,1,62,30,40,82,40,92,11.0,5.0,0.0,-14.0,226.0,13.27,1545:59,57.0,34.0,279:58,1252:01,63.16,0.0,0.0,14:00,45.0,1846.0
0,20192020,Florida Panthers,National Hockey League,1,55,23,30,69,30,78,5.0,3.0,0.0,5.0,152.0,15.1,1295:13,51.0,29.0,246:26,1047:09,39.34,1.0,0.0,01:38,26.0,1490.0
0,20202021,Florida Panthers,National Hockey League,1,41,20,36,55,36,61,5.0,1.0,0.0,12.0,122.0,16.4,1012:34,51.0,24.0,237:16,774:12,43.59,1.0,0.0,01:06,11.0,1166.0
0,20212022,Florida Panthers,National Hockey League,1,85,30,54,80,54,115,5.0,7.0,3.0,35.0,222.0,13.5,1553:58,99.0,38.0,295:08,1112:22,33.33,2.0,5.0,146:28,28.0,1839.0
