,season,team,league,sequenceNumber,timeOnIce,shutouts,ties,wins,losses,goalAgainstAverage,games,goalsAgainst,savePercentage,ot,saves,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShots,evenShots,powerPlayShots,gamesStarted,shotsAgainst,powerPlaySavePercentage,shortHandedSavePercentage,evenStrengthSavePercentage
0,20022003,Avon Old Farms,High-CT,1,780:00,0.0,0.0,8.0,5.0,2.92,13,38.0,,,,,,,,,,,,,,
0,20032004,Avon Old Farms,High-CT,1,1260:00,2.0,0.0,20.0,1.0,1.71,21,26.0,,,,,,,,,,,,,,
0,20042005,Avon Old Farms,High-CT,1,1413:00,9.0,0.0,25.0,2.0,1.14,27,1.0,0.953,,,,,,,,,,,,,
0,20052006,Massachusetts,H-East,1,905:00,0.0,1.0,4.0,10.0,2.98,17,45.0,,,,,,,,,,,,,,
0,20062007,Massachusetts,H-East,1,2224:00,3.0,5.0,19.0,12.0,2.16,37,80.0,,,,,,,,,,,,,,
0,20072008,Los Angeles Kings,National Hockey League,1,140:31,0.0,,1.0,2.0,3.842961,3,9.0,0.854839,0.0,53.0,7.0,3.0,43.0,3.0,49.0,10.0,2.0,62.0,70.0,100.0,87.75510204081633
0,20072008,Manchester,AHL,2,,3.0,0.0,11.0,8.0,2.32,19,42.0,0.922,,494.0,,,,,,,,536.0,,,
0,20072008,Reading,ECHL,3,,1.0,3.0,23.0,11.0,2.79,38,105.0,0.905,,1005.0,,,,,,,,1110.0,,,
0,20082009,Los Angeles Kings,National Hockey League,1,2494:54,4.0,,21.0,18.0,2.477053,44,103.0,0.914167,2.0,1097.0,219.0,24.0,854.0,26.0,922.0,252.0,41.0,1200.0,86.90476190476191,92.3076923076923,92.62472885032538
0,20082009,Manchester,AHL,2,827:00,0.0,2.0,6.0,5.0,2.68,14,37.0,0.92,,458.0,,,,,,,,421.0,,,
0,20092010,Los Angeles Kings,National Hockey League,1,4258:35,4.0,,39.0,24.0,2.536134,72,180.0,0.906591,7.0,1747.0,296.0,49.0,1402.0,54.0,1526.0,347.0,72.0,1927.0,85.30259365994236,90.74074074074075,91.87418086500655
0,20102011,Los Angeles Kings,National Hockey League,1,3590:34,6.0,,35.0,22.0,2.239201,61,134.0,0.917842,3.0,1497.0,242.0,35.0,1220.0,39.0,1324.0,268.0,60.0,1631.0,90.29850746268657,89.74358974358975,92.14501510574019
0,20112012,Los Angeles Kings,National Hockey League,1,4099:26,10.0,,35.0,21.0,1.946611,69,133.0,0.92861,13.0,1730.0,315.0,35.0,1380.0,37.0,1479.0,347.0,69.0,1863.0,90.77809798270894,94.5945945945946,93.30628803245436
0,20122013,Los Angeles Kings,National Hockey League,1,2133:42,1.0,,18.0,13.0,2.446455,37,87.0,0.902137,4.0,802.0,126.0,11.0,665.0,12.0,731.0,146.0,36.0,889.0,86.3013698630137,91.66666666666666,90.97127222982216
0,20132014,Los Angeles Kings,National Hockey League,1,2904:45,6.0,,27.0,17.0,2.065807,49,100.0,0.915469,4.0,1083.0,187.0,34.0,862.0,38.0,928.0,217.0,49.0,1183.0,86.17511520737328,89.47368421052632,92.88793103448276
0,20132014,U.S.A.,Olympics,2,304:00,0.0,,,,2.17,5,11.0,0.923077,,132.0,,,,,,,,143.0,,,
0,20142015,Los Angeles Kings,National Hockey League,1,4184:15,6.0,,36.0,22.0,2.23696,72,156.0,0.917722,13.0,1740.0,231.0,54.0,1455.0,55.0,1572.0,269.0,71.0,1896.0,85.87360594795538,98.18181818181819,92.55725190839695
0,20152016,Los Angeles Kings,National Hockey League,1,4034:29,5.0,,40.0,23.0,2.215897,68,149.0,0.918132,5.0,1671.0,294.0,24.0,1353.0,26.0,1458.0,336.0,68.0,1820.0,87.5,92.3076923076923,92.79835390946502
0,20162017,Los Angeles Kings,National Hockey League,1,930:57,2.0,,8.0,5.0,2.25576,17,35.0,0.916865,2.0,386.0,47.0,6.0,333.0,6.0,360.0,55.0,17.0,421.0,85.45454545454545,100.0,92.5
0,20162017,USA,WCup,17286,,,,,,3.56,2,,0.863,,,,,,,,,,,,,
0,20172018,Los Angeles Kings,National Hockey League,1,3677:05,5.0,0.0,33.0,28.0,2.39864,64,147.0,0.921264,3.0,1720.0,257.0,56.0,1407.0,59.0,1521.0,287.0,63.0,1867.0,89.54703832752612,94.91525423728814,92.50493096646942
0,20182019,Los Angeles Kings,National Hockey League,1,2647:34,2.0,0.0,16.0,23.0,3.376686,46,149.0,0.887886,7.0,1180.0,132.0,37.0,1011.0,44.0,1125.0,160.0,46.0,1329.0,82.5,84.0909090909091,89.86666666666666
0,20192020,Los Angeles Kings,National Hockey League,1,2516:14,1.0,0.0,16.0,22.0,2.7899,42,117.0,0.904,4.0,1107.0,139.0,41.0,927.0,41.0,1016.0,167.0,42.0,1224.0,83.23353293413174,100.0,91.24015748031496
0,20202021,Los Angeles Kings,National Hockey League,1,1218:49,2.0,0.0,11.0,9.0,2.8552,22,58.0,0.898,2.0,508.0,72.0,26.0,410.0,26.0,461.0,79.0,22.0,566.0,91.13924050632912,100.0,88.93709327548807
0,20212022,Los Angeles Kings,National Hockey League,1,2685:52,2.0,0.0,23.0,13.0,2.59134,46,116.0,0.91,9.0,1168.0,158.0,36.0,974.0,41.0,1055.0,188.0,46.0,1284.0,84.04255319148936,87.8048780487805,92.32227488151659
