,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus,timeOnIce,shots,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20112012,Tappara U16,Jr. C SM-sarja,80112,0,1,0,3,0,1,,,,,,,,,,,,,,,,,
0,20122013,Tappara U16,Jr. C SM-sarja,80112,14,7,24,21,24,21,,,,,,,,,,,,,,,,,
0,20132014,Tappara U18,Jr. B SM-sarja,24979,14,8,26,48,26,22,,,,,,,,,,,,,,,,,
0,20142015,Tappara U20,Jr. A SM-liiga,17770,4,5,10,17,10,9,3.0,,,,,,,,,,,,,,,,
0,20142015,Tappara U18,Jr. B SM-sarja,24979,13,22,45,27,45,35,,,,,,,,,,,,,,,,,
0,20152016,Tappara U20,U20 SM-sarja,18680,15,20,26,36,26,35,4.0,,,,,,,,,,,,,,,,
0,20162017,Tappara,Champions HL,582,0,0,0,1,0,0,0.0,,,,,,,,,,,,,,,,
0,20162017,Tappara,Liiga,959,1,5,6,24,6,6,3.0,,,,,,,,,,,,,,,,
0,20162017,LeKi,Mestis,7347,3,5,65,24,65,8,-6.0,,,,,,,,,,,,,,,,
0,20162017,Finland U20,WJC-20,17116,1,1,2,6,2,2,1.0,,,,,,,,,,,,,,,,
0,20162017,Tappara U20,U20 SM-sarja,18680,4,2,2,4,2,6,3.0,,,,,,,,,,,,,,,,
0,20172018,Tappara,Champions HL,582,1,0,4,7,4,1,-3.0,,,,,,,,,,,,,,,,
0,20172018,Tappara,Liiga,959,8,8,14,47,14,16,5.0,,,,,,,,,,,,,,,,
0,20182019,Tappara,Champions HL,582,0,2,8,8,8,2,2.0,,,,,,,,,,,,,,,,
0,20182019,Tappara,Liiga,959,8,8,32,58,32,16,6.0,,,,,,,,,,,,,,,,
0,20192020,Winnipeg Jets,National Hockey League,1,0,0,2,16,2,0,-3.0,105:26,9.0,10.0,0.0,0.0,00:02,104:14,0.0,0.0,0.0,0.0,0.0,0.0,01:10,8.0,151.0
0,20192020,Manitoba Moose,AHL,877,4,0,13,18,13,4,-2.0,,,,,,,,,,,,,,,,
0,20202021,HIFK,Liiga,869,4,5,2,19,2,9,2.0,,,,,,,,,,,,,,,,
0,20202021,Manitoba Moose,AHL,877,2,2,9,11,9,4,1.0,,,,,,,,,,,,,,,,
0,20212022,Tappara,Champions HL,582,0,1,2,4,2,1,1.0,,,,,,,,,,,,,,,,
0,20212022,Tappara,Liiga,959,5,9,12,27,12,14,8.0,,,,,,,,,,,,,,,,
