,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus,timeOnIce,shots,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20142015,Islanders Hockey Club 16U,USPHL 16U,139530,1,0,2.0,10,2,1,,,,,,,,,,,,,,,,,
0,20152016,Kimball Union Academy,USHS-Prep,61132,16,5,,35,,21,,,,,,,,,,,,,,,,,
0,20152016,Team Orange,USA-S15,177663,0,0,,5,,0,,,,,,,,,,,,,,,,,
0,20162017,Kimball Union Academy,USHS-Prep,61132,19,7,,39,,26,,,,,,,,,,,,,,,,,
0,20162017,Team Grey,USA-S16,177914,1,1,,5,,2,,,,,,,,,,,,,,,,,
0,20172018,Youngstown Phantoms,USHL,27206,1,0,0.0,5,0,1,1.0,,,,,,,,,,,,,,,,
0,20172018,Kimball Union Academy,USHS-Prep,61132,29,6,,37,,35,,,,,,,,,,,,,,,,,
0,20172018,Team Columbia,USA-S17,177385,0,0,,5,,0,,,,,,,,,,,,,,,,,
0,20182019,Northeastern Univ.,NCAA,15210,12,1,8.0,39,8,13,21.0,,,,,,,,,,,,,,,,
0,20192020,Northeastern Univ.,NCAA,15210,18,3,20.0,33,20,21,0.0,,,,,,,,,,,,,,,,
0,20192020,USA U20,WJC-20,17276,0,1,2.0,5,2,1,4.0,,,,,,,,,,,,,,,,
0,20202021,Northeastern Univ.,NCAA,15210,13,6,8.0,19,8,19,-5.0,,,,,,,,,,,,,,,,
0,20212022,Montréal Canadiens,National Hockey League,1,0,1,8.0,10,8,1,3.0,162:48,9.0,10.0,0.0,0.0,04:30,155:40,0.0,11.1,0.0,0.0,0.0,0.0,02:38,11.0,190.0
0,20212022,Northeastern Univ.,NCAA,15210,15,5,14.0,39,14,20,11.0,,,,,,,,,,,,,,,,
