,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus,timeOnIce,shots,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20142015,Mid Isle Matrix Bantam AAA,PEIBAAA,92251,12,3,2,24,2,15,,,,,,,,,,,,,,,,,
0,20152016,Mid Isle Matrix U15 AAA,PEI U15,92963,25,19,16,30,16,44,,,,,,,,,,,,,,,,,
0,20152016,Team PEI U15 (ACC),ACC-U15,163901,0,0,2,5,2,0,,,,,,,,,,,,,,,,,
0,20162017,Charlottetown Knights U18 AAA,NBPEIMU18HL,48436,16,3,16,33,16,19,,,,,,,,,,,,,,,,,
0,20162017,Team Prince Edward Island,QGC-16,154205,0,1,2,5,2,1,,,,,,,,,,,,,,,,,
0,20172018,Summerside Western Capitals,MJAHL,22179,39,13,16,50,16,52,,,,,,,,,,,,,,,,,
0,20182019,Moncton Wildcats,QMJHL,9630,43,6,18,68,18,49,11.0,,,,,,,,,,,,,,,,
0,20182019,Canada U18,WJC-18,17193,2,1,0,7,0,3,5.0,,,,,,,,,,,,,,,,
0,20192020,Moncton Wildcats,QMJHL,9630,43,9,28,60,28,52,49.0,,,,,,,,,,,,,,,,
0,20202021,Moncton Wildcats,QMJHL,9630,11,5,14,13,14,16,-4.0,,,,,,,,,,,,,,,,
0,20202021,Val-d'Or Foreurs,QMJHL,9680,19,5,0,19,0,24,14.0,,,,,,,,,,,,,,,,
0,20202021,Canada U20,WJC-20,17216,0,1,0,2,0,1,1.0,,,,,,,,,,,,,,,,
0,20212022,Los Angeles Kings,National Hockey League,1,6,2,2,24,2,8,0.0,473:51,41.0,32.0,0.0,2.0,40:37,419:22,0.0,4.9,1.0,0.0,0.0,0.0,13:52,29.0,547.0
0,20212022,Ontario Reign,AHL,26957,38,4,28,46,28,42,18.0,,,,,,,,,,,,,,,,
