,season,team,league,sequenceNumber,timeOnIce,assists,goals,pim,games,powerPlayTimeOnIce,evenTimeOnIce,penaltyMinutes,faceOffPct,shortHandedTimeOnIce,points,shifts,powerPlayGoals,shortHandedGoals,plusMinus,shots,hits,powerPlayPoints,shotPct,gameWinningGoals,overTimeGoals,shortHandedPoints,blocked
0,20042005,Clarington,Minor-ON,1,00:00,59,53,38,69,00:00,00:00,38,0.0,00:00,112,0.0,,,,,,,,,,,
0,20052006,Owen Sound,OHL,1,,19,7,8,55,,,8,0.0,,26,,3.0,0.0,-2.0,,,,,,,,
0,20062007,Owen Sound,OHL,1,,15,11,8,27,,,8,0.0,,26,,1.0,3.0,-1.0,,,,,,,,
0,20062007,Windsor,OHL,2,,24,11,16,42,,,16,0.0,,35,,3.0,1.0,-24.0,,,,,,,,
0,20072008,Windsor,OHL,1,,67,29,32,67,,,32,,,96,,9.0,0.0,30.0,,,,,,,,
0,20082009,New York Islanders,National Hockey League,1,1052:46,18,7,16,68,216:16,832:55,16,41.14,03:35,25,1318.0,3.0,0.0,-14.0,74.0,47.0,11.0,9.46,0.0,0.0,0.0,43.0
0,20092010,New York Islanders,National Hockey League,1,1105:33,19,16,18,73,155:35,910:58,18,40.14,39:00,35,1420.0,3.0,1.0,5.0,112.0,67.0,10.0,14.29,2.0,2.0,1.0,36.0
0,20102011,New York Islanders,National Hockey League,1,1248:24,17,11,37,70,167:39,915:31,37,44.39,165:14,28,1531.0,5.0,0.0,-13.0,102.0,47.0,9.0,10.78,2.0,0.0,3.0,41.0
0,20102011,Bridgeport,AHL,2,,11,6,4,11,,,4,,,17,,3.0,1.0,5.0,25.0,,,24.0,1.0,,,
0,20112012,New York Islanders,National Hockey League,1,1217:37,19,13,32,80,96:43,994:57,32,43.89,125:57,32,1529.0,1.0,3.0,-10.0,104.0,64.0,4.0,12.5,1.0,0.0,3.0,35.0
0,20122013,New York Islanders,National Hockey League,1,622:24,8,11,6,38,48:57,539:15,6,46.67,34:12,19,794.0,0.0,0.0,7.0,76.0,24.0,2.0,14.47,1.0,0.0,0.0,22.0
0,20122013,Bietigheim,German-2,99,,8,3,16,6,,,16,,,11,,,,,,,,,,,,
0,20132014,New York Islanders,National Hockey League,1,1219:47,30,8,26,77,139:38,1044:51,26,49.56,35:18,38,1576.0,2.0,0.0,-8.0,98.0,44.0,10.0,8.16,1.0,0.0,0.0,29.0
0,20142015,New York Islanders,National Hockey League,1,1174:39,26,15,12,70,115:05,1048:12,12,45.45,11:22,41,1477.0,2.0,0.0,3.0,140.0,66.0,4.0,10.71,1.0,0.0,0.0,36.0
0,20152016,New York Islanders,National Hockey League,1,1283:48,20,12,22,81,115:53,1126:21,22,41.18,41:34,32,1678.0,4.0,0.0,-7.0,105.0,45.0,5.0,11.43,2.0,1.0,0.0,25.0
0,20162017,New York Islanders,National Hockey League,1,1506:28,43,13,12,82,232:35,1237:54,12,53.33,35:59,56,1840.0,3.0,0.0,5.0,173.0,37.0,12.0,7.51,1.0,1.0,0.0,53.0
0,20172018,New York Islanders,National Hockey League,1,1359:11,53,18,17,76,228:44,1110:30,17,22.0,19:57,71,1542.0,5.0,0.0,-20.0,151.0,12.0,31.0,11.92,3.0,1.0,0.0,33.0
0,20172018,Canada,WC,17155,,3,1,2,9,,,2,,,4,,,,0.0,,,,,,,,
0,20182019,New York Islanders,National Hockey League,1,1379:52,40,16,21,82,200:57,1176:05,21,51.47,02:50,56,1638.0,2.0,1.0,8.0,126.0,19.0,14.0,12.7,4.0,1.0,1.0,32.0
0,20192020,New York Islanders,National Hockey League,1,1149:06,29,14,10,68,122:18,929:08,10,50.0,97:40,43,1484.0,2.0,1.0,-12.0,94.0,20.0,9.0,14.9,2.0,0.0,1.0,48.0
0,20202021,New York Islanders,National Hockey League,1,944:59,27,8,4,54,108:44,785:11,4,43.75,51:04,35,1176.0,0.0,0.0,12.0,77.0,13.0,9.0,10.4,1.0,0.0,0.0,19.0
0,20212022,New York Islanders,National Hockey League,1,1249:50,30,14,6,74,114:23,1054:53,6,39.09,80:34,44,1600.0,2.0,0.0,-7.0,87.0,19.0,11.0,16.1,1.0,0.0,0.0,26.0
