,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,powerPlayGoals,gameWinningGoals,shortHandedGoals,shots,shotPct,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20092010,London Jr. Knights Midget AAA,AHMPL,54297,0,0,0,1,0,0.0,0,,,,,,,,,,,,,,,,
0,20102011,Whitby,ON-Jr.A,1,4,6,59,35,59,,10,4.0,1.0,0.0,,,,,,,,,,,,,
0,20112012,Oshawa,OHL,1,4,0,49,46,49,-9.0,4,0.0,0.0,0.0,,,,,,,,,,,,,
0,20122013,Oshawa,OHL,1,16,0,79,68,79,17.0,16,0.0,0.0,0.0,,,,,,,,,,,,,
0,20132014,Oshawa,OHL,1,10,2,83,56,83,7.0,12,0.0,0.0,0.0,,,,,,,,,,,,,
0,20142015,Oshawa,OHL,1,17,4,92,60,92,49.0,21,0.0,1.0,0.0,,,,,,,,,,,,,
0,20152016,Portland,AHL,1,1,0,7,10,7,-2.0,1,0.0,0.0,0.0,8.0,0.0,,,,,,,,,,,
0,20152016,Manchester,ECHL,2,11,1,80,54,80,10.0,12,0.0,,0.0,,,,,,,,,,,,,
0,20152016,Portland Pirates,AHL,887,1,0,7,10,7,-2.0,1,,,,,,,,,,,,,,,,
0,20152016,Manchester Monarchs,ECHL,1055,11,1,80,54,80,10.0,12,,,,,,,,,,,,,,,,
0,20162017,Springfield Thunderbirds,AHL,39667,10,3,96,72,96,-5.0,13,,,,,,,,,,,,,,,,
0,20172018,Springfield Thunderbirds,AHL,39667,9,1,67,66,67,-10.0,10,,,,,,,,,,,,,,,,
0,20182019,Florida Panthers,National Hockey League,1,1,1,28,37,28,-3.0,2,0.0,0.0,0.0,28.0,3.57,492:07,80.0,0.0,01:08,460:46,0.0,0.0,0.0,30:13,31.0,723.0
0,20182019,Springfield Thunderbirds,AHL,39667,0,3,34,22,34,1.0,3,,,,,,,,,,,,,,,,
0,20192020,Florida Panthers,National Hockey League,1,5,3,39,56,39,1.0,8,0.0,1.0,0.0,48.0,6.3,751:24,77.0,0.0,00:12,727:22,0.0,0.0,0.0,23:50,53.0,964.0
0,20202021,Ottawa Senators,National Hockey League,1,1,0,30,26,30,-1.0,1,0.0,0.0,0.0,8.0,0.0,367:40,71.0,0.0,00:39,311:57,0.0,0.0,0.0,55:04,40.0,500.0
0,20212022,Ottawa Senators,National Hockey League,1,6,0,32,46,32,-9.0,6,0.0,0.0,0.0,43.0,0.0,643:27,106.0,0.0,00:23,565:14,0.0,0.0,0.0,77:50,57.0,906.0
0,20212022,Boston Bruins,National Hockey League,2,0,0,5,6,5,2.0,0,0.0,0.0,0.0,2.0,0.0,95:49,12.0,0.0,00:37,78:56,0.0,0.0,0.0,16:16,5.0,134.0
