,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,powerPlayGoals,gameWinningGoals,shortHandedGoals,plusMinus,shots,shotPct,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20082009,Cgy. Royals,AMBHL,1,18,6,56,33,56,24,,,,,,,,,,,,,,,,,
0,20092010,Cgy. Royals,AMBHL,1,28,21,108,32,108,49,,,,,,,,,,,,,,,,,
0,20102011,Cgy. Royals,AMHL,1,22,17,11,30,11,39,,,,,,,,,,,,,,,,,
0,20102011,Prince Albert,WHL,2,0,0,4,5,4,0,0.0,0.0,0.0,-3.0,,,,,,,,,,,,,
0,20112012,Prince Albert,WHL,1,28,10,60,68,60,38,5.0,1.0,0.0,-2.0,,,,,,,,,,,,,
0,20122013,Prince Albert,WHL,1,32,15,91,70,91,47,5.0,4.0,1.0,14.0,,,,,,,,,,,,,
0,20122013,Canada,WJ18-A,2,4,3,4,7,4,7,2.0,1.0,0.0,10.0,11.0,27.27,,,,,,,,,,,
0,20132014,Prince Albert,WHL,1,45,28,59,59,59,73,11.0,,0.0,6.0,,,,,,,,,,,,,
0,20132014,Canada,WJC-A,2,2,1,4,7,4,3,0.0,0.0,0.0,3.0,10.0,,,,,,,,,,,,
0,20132014,St. John's,AHL,3,1,0,2,8,2,1,0.0,0.0,0.0,1.0,13.0,0.0,,,,,,,,,,,
0,20142015,Canada,WJC-A,1,3,1,0,7,0,4,1.0,0.0,0.0,9.0,18.0,,,,,,,,,,,,
0,20142015,Kelowna,WHL,2,11,6,34,20,34,17,1.0,1.0,0.0,10.0,,,,,,,,,,,,,
0,20142015,Prince Albert,WHL,3,14,7,28,27,28,21,1.0,1.0,0.0,-9.0,,,,,,,,,,,,,
0,20152016,Winnipeg Jets,National Hockey League,1,0,0,0,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0,15:54,1.0,0.0,00:09,15:45,0.0,0.0,0.0,00:00,2.0,23.0
0,20152016,Manitoba,AHL,2,19,3,47,57,47,22,1.0,0.0,0.0,-9.0,107.0,2.8,,,,,,,,,,,
0,20152016,Manitoba Moose,AHL,877,19,3,47,57,47,22,,,,-9.0,,,,,,,,,,,,,
0,20162017,Winnipeg Jets,National Hockey League,1,14,6,38,82,38,20,1.0,3.0,0.0,6.0,99.0,6.06,1598:16,145.0,1.0,50:55,1475:49,0.0,0.0,0.0,71:32,139.0,2066.0
0,20162017,Canada,WC,17155,1,0,6,10,6,1,,,,5.0,,,,,,,,,,,,,
0,20172018,Winnipeg Jets,National Hockey League,1,19,7,47,81,47,26,0.0,0.0,0.0,15.0,102.0,6.86,1656:43,139.0,1.0,26:31,1433:49,50.0,0.0,0.0,196:23,168.0,2001.0
0,20182019,Winnipeg Jets,National Hockey League,1,25,6,14,59,14,31,3.0,2.0,1.0,9.0,95.0,6.32,1321:54,55.0,10.0,103:24,1052:41,0.0,1.0,2.0,165:49,107.0,1439.0
0,20192020,Winnipeg Jets,National Hockey League,1,26,5,24,65,24,31,1.0,0.0,0.0,1.0,120.0,4.2,1480:04,34.0,12.0,113:30,1304:21,0.0,0.0,0.0,62:13,59.0,1756.0
0,20202021,Winnipeg Jets,National Hockey League,1,17,4,25,56,25,21,1.0,0.0,0.0,-1.0,116.0,3.4,1318:43,78.0,9.0,159:12,1094:47,0.0,0.0,0.0,64:44,86.0,1510.0
0,20212022,Winnipeg Jets,National Hockey League,1,25,12,66,79,66,37,6.0,3.0,0.0,-3.0,173.0,6.9,1869:02,150.0,15.0,200:49,1593:21,0.0,0.0,0.0,74:52,104.0,2109.0
