,season,team,league,sequenceNumber,savePercentage,goalAgainstAverage,games,timeOnIce,shutouts,ties,wins,losses,saves,shotsAgainst,goalsAgainst
0,20052006,Tappara U16,Jr. C SM-sarja,80112,0.898,4.25,4,,,,,,,,
0,20062007,Tappara U18,Jr. B SM-sarja,24979,0.893,3.91,11,,,,,,,,
0,20072008,Chadder's Midget Major AAA,Midget,31391,0.913,2.34,38,,,,,,,,
0,20082009,HIFK U20,Jr. A SM-liiga,24480,0.887,3.81,27,,,,,,,,
0,20092010,HIFK U20,Jr. A SM-liiga,24480,0.923,2.15,24,,,,,,,,
0,20102011,Sioux Falls,USHL,1,0.9,2.78,27,1576:00,1.0,0.0,14.0,13.0,657.0,730.0,73.0
0,20112012,U. of Denver,WCHA,1,0.934971,2.18,22,1236:00,2.0,3.0,9.0,8.0,647.0,692.0,45.0
0,20122013,U. of Denver,WCHA,1,,2.35,24,1428:00,3.0,5.0,13.0,6.0,,,56.0
0,20122013,St. John's,AHL,2,0.88,3.03,1,59:00,0.0,0.0,0.0,1.0,22.0,25.0,3.0
0,20132014,St. John's,AHL,1,,3.25,10,554:00,1.0,1.0,5.0,3.0,,,30.0
0,20132014,Ontario,ECHL,2,,3.01,27,1575:00,0.0,1.0,14.0,11.0,,,79.0
0,20142015,St. John's,AHL,1,0.856,4.2,4,186:00,0.0,0.0,2.0,1.0,77.0,90.0,13.0
0,20142015,Ontario,ECHL,2,0.916,2.41,43,2560:00,1.0,6.0,27.0,9.0,1122.0,1225.0,103.0
0,20142015,Ontario Reign,ECHL,27145,0.916,2.41,43,,,,,,,,
0,20142015,St. John's IceCaps,AHL,99687,0.856,4.2,4,,,,,,,,
0,20152016,Manitoba Moose,AHL,877,0.864,5.13,6,,,,,,,,
0,20152016,Tulsa Oilers,ECHL,7415,0.911,2.52,26,,,,,,,,
0,20162017,JYP,Liiga,909,0.934,1.74,16,,,,,,,,
0,20162017,SaiPa,Liiga,949,0.904,2.86,10,,,,,,,,
0,20162017,JYP-Akatemia,Mestis,106527,0.933,2.0,1,,,,,,,,
0,20172018,JYP,Liiga,909,0.909,2.3,38,,,,,,,,
0,20182019,Pelicans,Liiga,929,0.917,2.26,39,,,,,,,,
0,20182019,Finland,WC,17055,1.0,0.0,1,,,,,,,,
0,20192020,Admiral Vladivostok,KHL,151264,0.929,2.51,31,,,,,,,,
0,20202021,Metallurg Magnitogorsk,KHL,2374,0.935,1.9,30,,,,,,,,
0,20202021,Finland,WC,17055,0.943,1.39,7,,,,,,,,
0,20212022,Metallurg Magnitogorsk,KHL,2374,0.917,2.45,36,,,,,,,,
0,20212022,Finland,OG,16822,0.9,2.9,1,,,,,,,,
0,20212022,Finland,WC,17055,0.948,1.11,8,,,,,,,,
