,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus
0,20162017,TPS U16,U16 SM-sarja,81303,7,3,0,7,0,10,
0,20172018,TPS U20,U20 SM-sarja,20200,4,4,4,16,4,8,-3.0
0,20172018,TPS U18,U18 SM-sarja,25911,22,14,10,28,10,36,
0,20172018,Finland U17,WHC-17,61280,2,0,2,5,2,2,
0,20182019,TPS,Liiga,969,0,1,0,7,0,1,1.0
0,20182019,Finland U18,WJC-18,17093,1,1,2,5,2,2,-3.0
0,20182019,TPS U20,U20 SM-sarja,20200,9,13,28,36,28,22,11.0
0,20182019,Finland U18,Hlinka Gretzky Cup,158280,0,0,0,4,0,0,
0,20192020,TPS,Liiga,969,7,5,4,31,4,12,-6.0
0,20192020,TPS,Spengler Cup,1315,1,0,0,4,0,1,-1.0
0,20192020,TPS U20,U20 SM-sarja,20200,14,7,16,20,16,21,10.0
0,20202021,TPS,Liiga,969,34,8,36,55,36,42,7.0
0,20202021,Finland U20,WJC-20,17116,2,2,0,7,0,4,-1.0
0,20212022,TPS,Champions HL,592,2,0,0,3,0,2,-3.0
0,20212022,TPS,Liiga,969,23,9,8,41,8,32,7.0
0,20212022,Finland,EHT,68516,0,0,0,3,0,0,2.0
