,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus,timeOnIce,shots,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20142015,Minnetonka High,USHS-MN,28132,2,4,2.0,25,2,6,,,,,,,,,,,,,,,,,
0,20142015,MNBEL Canadiens,Bantam,258885,9,7,,16,,16,,,,,,,,,,,,,,,,,
0,20152016,Minnetonka High,USHS-MN,28148,11,5,12.0,25,12,16,,,,,,,,,,,,,,,,,
0,20152016,Team TDS Transportation,UMHSEHL,63768,0,0,0.0,2,0,0,,,,,,,,,,,,,,,,,
0,20152016,Team Kelly,USA-S15,178073,3,0,,5,,3,,,,,,,,,,,,,,,,,
0,20162017,U.S. National U18 Team,USDP,19564,1,0,0.0,1,0,1,,,,,,,,,,,,,,,,,
0,20162017,U.S. National U17 Team,USDP,19734,14,3,16.0,54,16,17,,,,,,,,,,,,,,,,,
0,20162017,USNTDP Juniors,USHL,52486,7,0,12.0,34,12,7,-29.0,,,,,,,,,,,,,,,,
0,20162017,USA U17,WHC-17,61270,1,0,0.0,5,0,1,,,,,,,,,,,,,,,,,
0,20172018,USA U18,WJC-18,17253,2,1,4.0,7,4,3,4.0,,,,,,,,,,,,,,,,
0,20172018,U.S. National U18 Team,USDP,19564,20,9,26.0,58,26,29,,,,,,,,,,,,,,,,,
0,20172018,USNTDP Juniors,USHL,52486,12,4,6.0,22,6,16,13.0,,,,,,,,,,,,,,,,
0,20182019,Univ. of Wisconsin,NCAA,5080,17,5,18.0,26,18,22,7.0,,,,,,,,,,,,,,,,
0,20182019,USA U20,WJC-20,17276,1,0,0.0,6,0,1,1.0,,,,,,,,,,,,,,,,
0,20192020,Univ. of Wisconsin,NCAA,5080,11,7,24.0,36,24,18,-7.0,,,,,,,,,,,,,,,,
0,20192020,USA U20,WJC-20,17276,2,0,2.0,5,2,2,1.0,,,,,,,,,,,,,,,,
0,20202021,New York Rangers,National Hockey League,1,7,5,20.0,53,20,12,9.0,1118:49,62.0,93.0,0.0,1.0,53:53,976:28,0.0,8.1,1.0,0.0,0.0,1.0,88:28,77.0,1398.0
0,20212022,New York Rangers,National Hockey League,1,13,7,24.0,82,24,20,23.0,1689:51,102.0,151.0,1.0,1.0,34:12,1534:14,0.0,6.9,2.0,1.0,0.0,0.0,121:25,95.0,2096.0
