,season,team,league,sequenceNumber,savePercentage,goalAgainstAverage,games,timeOnIce,shutouts,ties,wins,losses,shotsAgainst,goalsAgainst,saves,ot,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShots,evenShots,powerPlayShots,gamesStarted,powerPlaySavePercentage,evenStrengthSavePercentage,shortHandedSavePercentage
0,20052006,Long Island Gulls 18U,AYHL 18U,204032,0.905,3.29,15,,,,,,,,,,,,,,,,,,,
0,20062007,Suffolk PAL Juniors,MetJHL,60319,0.932,2.12,29,,,,,,,,,,,,,,,,,,,
0,20072008,Des Moines,USHL,1,,3.41,15,844:00,0.0,2.0,4.0,9.0,450.0,48.0,,,,,,,,,,,,
0,20082009,St. Louis,NAHL,1,,1.78,40,2393:00,7.0,4.0,30.0,5.0,1085.0,71.0,,,,,,,,,,,,
0,20092010,Union College,ECAC,1,,2.48,25,1478:00,1.0,3.0,12.0,8.0,694.0,61.0,,,,,,,,,,,,
0,20102011,Union College,ECAC,1,0.92,1.99,38,2266:00,3.0,3.0,25.0,10.0,942.0,75.0,867.0,,,,,,,,,,,
0,20112012,Albany,AHL,2,0.904,2.94,42,2347:00,3.0,3.0,17.0,20.0,1194.0,115.0,1079.0,,,,,,,,,,,
0,20122013,New Jersey Devils,National Hockey League,1,0.923077,2.330097,1,25:45,0.0,,0.0,0.0,13.0,1.0,12.0,0.0,1.0,0.0,11.0,0.0,12.0,1.0,0.0,100.0,91.66666666666666,
0,20122013,Albany,AHL,2,0.905,2.72,45,2644:00,2.0,6.0,21.0,17.0,1258.0,120.0,1138.0,,,,,,,,,,,
0,20132014,Albany,AHL,1,0.912,2.29,43,2519:00,4.0,5.0,24.0,13.0,1086.0,96.0,990.0,,,,,,,,,,,
0,20142015,New Jersey Devils,National Hockey League,1,0.914712,2.59338,19,925:26,0.0,,6.0,5.0,469.0,40.0,429.0,4.0,59.0,9.0,361.0,11.0,387.0,71.0,13.0,83.09859154929578,93.28165374677002,81.81818181818183
0,20142015,Albany,AHL,2,0.923,2.19,13,713:00,1.0,3.0,7.0,2.0,339.0,26.0,313.0,,,,,,,,,,,
0,20142015,Albany Devils,AHL,70157,0.923,2.19,13,,,,,,,,,,,,,,,,,,,
0,20152016,New Jersey Devils,National Hockey League,1,0.904132,2.805471,23,1240:26,2.0,,9.0,9.0,605.0,58.0,547.0,1.0,93.0,11.0,443.0,12.0,488.0,105.0,20.0,88.57142857142857,90.77868852459017,91.66666666666666
0,20152016,U.S.A.,WC-A,2,,3.25,5,350:00,0.0,0.0,1.0,4.0,147.0,19.0,,,,,,,,,,,,
0,20152016,USA,WC,17215,0.871,3.25,6,,,,,,,,,,,,,,,,,,,
0,20162017,New Jersey Devils,National Hockey League,1,0.916452,2.642127,26,1476:05,1.0,,8.0,13.0,778.0,65.0,713.0,3.0,125.0,14.0,574.0,17.0,618.0,143.0,23.0,87.41258741258741,92.88025889967638,82.35294117647058
0,20172018,New Jersey Devils,National Hockey League,1,0.912685,2.768146,41,2297:34,1.0,0.0,26.0,10.0,1214.0,106.0,1108.0,3.0,138.0,32.0,938.0,33.0,1026.0,155.0,38.0,89.03225806451613,91.42300194931774,96.96969696969697
0,20172018,USA,WC,17215,0.912,2.29,9,,,,,,,,,,,,,,,,,,,
0,20182019,New Jersey Devils,National Hockey League,1,0.891414,3.362342,41,2301:58,3.0,0.0,15.0,18.0,1188.0,129.0,1059.0,6.0,120.0,44.0,895.0,48.0,998.0,142.0,38.0,84.50704225352112,89.67935871743487,91.66666666666666
0,20192020,Montréal Canadiens,National Hockey League,1,0.875,4.2355,6,339:59,0.0,0.0,1.0,1.0,192.0,24.0,168.0,3.0,23.0,5.0,140.0,6.0,157.0,29.0,5.0,79.3103448275862,89.171974522293,83.33333333333334
0,20192020,Charlotte Checkers,AHL,2357,0.924,2.24,4,,,,,,,,,,,,,,,,,,,
0,20192020,Laval Rocket,AHL,222817,0.876,3.44,13,,,,,,,,,,,,,,,,,,,
0,20202021,New York Rangers,National Hockey League,1,0.898,2.5932,9,485:53,1.0,0.0,3.0,2.0,205.0,21.0,184.0,1.0,29.0,7.0,148.0,8.0,166.0,31.0,7.0,93.54838709677419,89.1566265060241,87.5
0,20202021,Hartford Wolf Pack,AHL,847,0.962,1.0,2,,,,,,,,,,,,,,,,,,,
0,20212022,New York Rangers,National Hockey League,1,0.935,2.0,1,60:00,0.0,0.0,1.0,0.0,31.0,2.0,29.0,0.0,3.0,0.0,26.0,1.0,27.0,3.0,1.0,100.0,96.29629629629629,0.0
0,20212022,Hartford Wolf Pack,AHL,847,0.904,2.94,37,,,,,,,,,,,,,,,,,,,
