,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus,timeOnIce,shots,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20152016,Toronto Marlboros U16 AAA,GTHL U16,82870,27,9,33,56,33,36,,,,,,,,,,,,,,,,,
0,20152016,Team GTHL Blue,OGC-16,154307,3,0,4,5,4,3,,,,,,,,,,,,,,,,,
0,20162017,Ottawa 67's,OHL,7738,3,1,53,57,53,4,-14.0,,,,,,,,,,,,,,,,
0,20162017,Canada Red U17,WHC-17,163770,1,0,6,5,6,1,,,,,,,,,,,,,,,,,
0,20172018,Ottawa 67's,OHL,7738,17,1,76,58,76,18,-21.0,,,,,,,,,,,,,,,,
0,20172018,Canada U18,WJC-18,17193,2,1,2,5,2,3,3.0,,,,,,,,,,,,,,,,
0,20172018,Canada U18,Hlinka Gretzky Cup,144760,1,1,6,5,6,2,,,,,,,,,,,,,,,,,
0,20182019,Ottawa 67's,OHL,7738,28,6,87,68,87,34,50.0,,,,,,,,,,,,,,,,
0,20192020,Ottawa 67's,OHL,7738,25,6,83,54,83,31,40.0,,,,,,,,,,,,,,,,
0,20192020,Canada U20,WJC-20,17216,1,0,6,7,6,1,4.0,,,,,,,,,,,,,,,,
0,20202021,New Jersey Devils,National Hockey League,1,2,0,0,7,0,2,0.0,118:25,5.0,18.0,0.0,0.0,00:15,110:48,0.0,0.0,0.0,0.0,0.0,0.0,07:22,6.0,154.0
0,20202021,Binghamton Devils,AHL,233827,4,1,12,27,12,5,-6.0,,,,,,,,,,,,,,,,
0,20212022,New Jersey Devils,National Hockey League,1,3,1,10,17,10,4,-6.0,267:40,16.0,28.0,0.0,0.0,01:12,249:19,0.0,6.3,0.0,0.0,0.0,0.0,17:09,15.0,362.0
0,20212022,Utica Comets,AHL,152247,13,3,52,54,52,16,15.0,,,,,,,,,,,,,,,,
